step 6083 	 return [0.00109585 0.00557919 0.00844719 0.00791126 0.00447853], ([0.00147996 0.00298711 0.0025079  0.00353139 0.00262645]) 	 loss 8.011E-01 	 horizons 19.0
step 6273 	 return [0.00138987 0.00665007 0.00779411 0.00772257 0.00461248], ([0.00145488 0.00280656 0.00182162 0.0033269  0.00177484]) 	 loss 7.978E-01 	 horizons 19.0
step 6463 	 return [0.00092316 0.00739049 0.00758545 0.00751858 0.00526684], ([0.00184986 0.00333706 0.00249627 0.00393385 0.00199553]) 	 loss 7.817E-01 	 horizons 19.0
step 6653 	 return [0.00062203 0.00758734 0.00834549 0.00795456 0.00366733], ([0.00097046 0.00356385 0.00151949 0.00274961 0.00255643]) 	 loss 7.537E-01 	 horizons 19.0
step 6843 	 return [0.00067757 0.01014341 0.00702051 0.00802804 0.00437201], ([0.00112101 0.0021446  0.00153924 0.00255402 0.00117402]) 	 loss 7.419E-01 	 horizons 19.0
step 7033 	 return [0.00100268 0.00897393 0.00973965 0.00774375 0.00490993], ([0.00161034 0.00380654 0.00131457 0.00366035 0.00292294]) 	 loss 7.482E-01 	 horizons 19.0
step 7223 	 return [0.00414348 0.00396123 0.00709164 0.00690464 0.00442199], ([0.00219651 0.00121848 0.00303427 0.00363485 0.00245408]) 	 loss 7.215E-01 	 horizons 19.0
step 7413 	 return [0.00285752 0.00606578 0.00584259 0.00729876 0.00477881], ([0.00179499 0.00235785 0.00344078 0.00192327 0.00236132]) 	 loss 7.462E-01 	 horizons 19.0
step 7603 	 return [0.00501513 0.00462321 0.00541559 0.00673496 0.00275353], ([0.00069589 0.00194573 0.00205674 0.00305616 0.00192256]) 	 loss 7.123E-01 	 horizons 19.0
step 7793 	 return [0.00365901 0.00430768 0.00515688 0.0073639  0.00550403], ([0.00226804 0.00120205 0.0025754  0.00345296 0.00264875]) 	 loss 6.919E-01 	 horizons 19.0
step 7983 	 return [0.00139089 0.00945804 0.00717432 0.00838931 0.00436356], ([0.00164451 0.00205732 0.00200379 0.00268887 0.00107904]) 	 loss 7.095E-01 	 horizons 19.0
step 8173 	 return [0.00377623 0.00446929 0.0061534  0.00694061 0.00388448], ([0.00112847 0.00237573 0.00252042 0.00334978 0.00231442]) 	 loss 6.849E-01 	 horizons 19.0
step 8363 	 return [0.00503702 0.0035279  0.00580474 0.00609312 0.00378256], ([0.00064514 0.00132615 0.00171357 0.0017152  0.00205972]) 	 loss 6.744E-01 	 horizons 19.0
step 8553 	 return [0.00027022 0.00941821 0.01008798 0.00946817 0.00703163], ([0.00081065 0.00247624 0.00207479 0.00340536 0.00211899]) 	 loss 6.709E-01 	 horizons 19.0
step 8743 	 return [0.00383573 0.00566116 0.00658902 0.00763963 0.0040806 ], ([0.00090143 0.00203105 0.00238713 0.0033888  0.00244277]) 	 loss 6.730E-01 	 horizons 19.0
step 8933 	 return [0.00047942 0.00958955 0.00920497 0.01014077 0.00640393], ([0.00095913 0.00250728 0.00251939 0.00200876 0.00161605]) 	 loss 6.426E-01 	 horizons 19.0
step 9123 	 return [0.00112265 0.01036399 0.01091586 0.00921762 0.00480722], ([0.00137952 0.00241971 0.00321735 0.00364337 0.0030421 ]) 	 loss 6.237E-01 	 horizons 19.0
step 9313 	 return [0.00202278 0.00934174 0.00942954 0.01006453 0.0052991 ], ([0.00181833 0.00240953 0.00189161 0.00250878 0.00128666]) 	 loss 6.501E-01 	 horizons 19.0
step 9503 	 return [0.00261523 0.00906161 0.00735846 0.00848071 0.00551743], ([0.00090686 0.00170099 0.00087409 0.00247532 0.00173145]) 	 loss 6.354E-01 	 horizons 19.0
step 9693 	 return [0.00500129 0.00531492 0.00603885 0.00744115 0.00415405], ([0.00099777 0.00276602 0.00171594 0.00225414 0.0018283 ]) 	 loss 6.479E-01 	 horizons 19.0
step 9883 	 return [0.00355513 0.00675851 0.00594601 0.00650423 0.00342414], ([0.00156081 0.0028177  0.00131544 0.00216188 0.00156119]) 	 loss 6.340E-01 	 horizons 19.0
