step 7588 	 return [0.00490824 0.00852352 0.00756104], ([0.00176279 0.00237833 0.00151041]) 	 loss 7.078E-01 	 horizons 19.0
step 7778 	 return [0.00482888 0.00895948 0.00741986], ([0.00191503 0.00249447 0.00194019]) 	 loss 7.066E-01 	 horizons 19.0
step 7968 	 return [0.00616572 0.00935386 0.00729012], ([0.00190809 0.00197206 0.002534  ]) 	 loss 6.687E-01 	 horizons 19.0
step 8158 	 return [0.00529718 0.0094384  0.00723371], ([0.00168547 0.00232933 0.00181798]) 	 loss 6.561E-01 	 horizons 19.0
step 8348 	 return [0.0045856  0.00851922 0.00852313], ([0.00191796 0.00232403 0.00157253]) 	 loss 6.237E-01 	 horizons 19.0
step 8538 	 return [0.00461505 0.01021427 0.00814509], ([0.00193268 0.00151139 0.00147395]) 	 loss 6.301E-01 	 horizons 19.0
step 8728 	 return [0.00469165 0.00929071 0.0085815 ], ([0.00301899 0.00107006 0.00179356]) 	 loss 5.992E-01 	 horizons 19.0
step 8918 	 return [0.00490391 0.00892363 0.00963678], ([0.00216985 0.00165266 0.00116882]) 	 loss 6.033E-01 	 horizons 19.0
step 9108 	 return [0.00487842 0.00919001 0.00770871], ([0.00207231 0.00118502 0.00188499]) 	 loss 5.989E-01 	 horizons 19.0
step 9298 	 return [0.00573712 0.00827163 0.00737998], ([0.00221219 0.00249133 0.00270487]) 	 loss 5.869E-01 	 horizons 19.0
step 9488 	 return [0.00508696 0.00985021 0.0081405 ], ([0.00167903 0.00163014 0.00163873]) 	 loss 5.989E-01 	 horizons 19.0
step 9678 	 return [0.00493842 0.00910271 0.00864373], ([0.00205741 0.00172644 0.00178704]) 	 loss 5.500E-01 	 horizons 19.0
step 9868 	 return [0.00483595 0.00933213 0.00822786], ([0.00263272 0.00148719 0.00185763]) 	 loss 5.489E-01 	 horizons 19.0
step 10058 	 return [0.00615885 0.00879673 0.00697749], ([0.00158897 0.00206395 0.00233939]) 	 loss 5.729E-01 	 horizons 19.0
step 10248 	 return [0.00462243 0.00778903 0.0071639 ], ([0.0018955  0.00171616 0.00183374]) 	 loss 5.420E-01 	 horizons 19.0
step 10438 	 return [0.00461937 0.00950338 0.0080335 ], ([0.00167961 0.00213114 0.00106393]) 	 loss 5.480E-01 	 horizons 19.0
step 10628 	 return [0.00622322 0.01033475 0.00825323], ([0.00173411 0.00193926 0.00142231]) 	 loss 5.118E-01 	 horizons 19.0
step 10818 	 return [0.00451445 0.00914183 0.00865317], ([0.00196316 0.00134652 0.00160665]) 	 loss 5.397E-01 	 horizons 19.0
step 11008 	 return [0.00504994 0.00968923 0.00886937], ([0.00209614 0.00204627 0.00074152]) 	 loss 4.835E-01 	 horizons 19.0
step 11198 	 return [0.00553724 0.009658   0.00887258], ([0.00180613 0.00148562 0.00205596]) 	 loss 5.027E-01 	 horizons 19.0
step 11388 	 return [0.0059114  0.01048865 0.00766489], ([0.00133465 0.00162409 0.00294089]) 	 loss 5.295E-01 	 horizons 19.0
step 11578 	 return [0.00560976 0.01077273 0.00897417], ([0.00197713 0.00133079 0.00128784]) 	 loss 5.185E-01 	 horizons 19.0
step 11768 	 return [0.00642082 0.01021465 0.00758628], ([0.00330256 0.00095979 0.00263757]) 	 loss 4.885E-01 	 horizons 19.0
step 11958 	 return [0.00810303 0.00946763 0.00595827], ([0.00270532 0.00154181 0.00221222]) 	 loss 4.982E-01 	 horizons 19.0
step 12148 	 return [0.00511336 0.01041952 0.00918448], ([0.00203531 0.00112373 0.00113452]) 	 loss 4.865E-01 	 horizons 19.0
step 12338 	 return [0.00544612 0.00933249 0.00723139], ([0.00154343 0.00163805 0.00165342]) 	 loss 4.673E-01 	 horizons 19.0
step 12528 	 return [0.00665521 0.01008354 0.0087275 ], ([0.00140971 0.00208651 0.00120622]) 	 loss 4.662E-01 	 horizons 19.0
step 12718 	 return [0.00596222 0.00981183 0.00848452], ([0.0025769  0.0014803  0.00258648]) 	 loss 4.551E-01 	 horizons 19.0
step 12908 	 return [0.00754958 0.00976853 0.00819237], ([0.00268194 0.0013365  0.0035464 ]) 	 loss 4.550E-01 	 horizons 19.0
step 13098 	 return [0.00596518 0.01067562 0.00852299], ([0.00187296 0.00170611 0.00193478]) 	 loss 4.639E-01 	 horizons 19.0
step 13288 	 return [0.00834357 0.00915539 0.00561766], ([0.00180815 0.00187913 0.00143646]) 	 loss 4.610E-01 	 horizons 19.0
step 13478 	 return [0.00576713 0.00961158 0.01013615], ([0.00200592 0.00162619 0.00133589]) 	 loss 4.586E-01 	 horizons 19.0
step 13668 	 return [0.00851927 0.01036598 0.00823974], ([0.00177727 0.00149871 0.00377582]) 	 loss 4.409E-01 	 horizons 19.0
step 13858 	 return [0.00643806 0.00983782 0.0096896 ], ([0.00242921 0.00150535 0.00219421]) 	 loss 4.551E-01 	 horizons 19.0
step 14048 	 return [0.0084964  0.0099502  0.00717011], ([0.00205968 0.0011641  0.00263515]) 	 loss 4.428E-01 	 horizons 19.0
step 14238 	 return [0.00779458 0.01062223 0.00981769], ([0.00073758 0.00113974 0.0020642 ]) 	 loss 4.329E-01 	 horizons 19.0
step 14428 	 return [0.00725618 0.0097096  0.00836144], ([0.0015737  0.00127414 0.00235749]) 	 loss 4.287E-01 	 horizons 19.0
step 14618 	 return [0.00642002 0.01033189 0.00912592], ([0.00211211 0.00135752 0.00149463]) 	 loss 4.122E-01 	 horizons 19.0
step 14808 	 return [0.00676876 0.01124092 0.00923184], ([0.0007756  0.00110105 0.0016827 ]) 	 loss 4.556E-01 	 horizons 19.0
step 14998 	 return [0.00738044 0.01061534 0.0091008 ], ([0.00079321 0.00092051 0.00255924]) 	 loss 4.131E-01 	 horizons 19.0
step 15188 	 return [0.0069327  0.01046759 0.00872424], ([0.00122405 0.00108565 0.0022316 ]) 	 loss 3.921E-01 	 horizons 19.0
step 15378 	 return [0.0074043  0.01074867 0.00782032], ([0.00191776 0.00123978 0.00265642]) 	 loss 4.226E-01 	 horizons 19.0
step 15568 	 return [0.00742581 0.01043361 0.00886482], ([0.00078647 0.00102337 0.00073526]) 	 loss 3.983E-01 	 horizons 19.0
step 15758 	 return [0.0073946  0.01093448 0.00968233], ([0.00128729 0.00104447 0.00147007]) 	 loss 3.945E-01 	 horizons 19.0
step 15948 	 return [0.0085757  0.01100926 0.00691861], ([0.00122554 0.00101482 0.00173959]) 	 loss 4.036E-01 	 horizons 19.0
step 16138 	 return [0.00676911 0.01168719 0.0106928 ], ([0.00112385 0.00111724 0.001505  ]) 	 loss 3.820E-01 	 horizons 19.0
step 16328 	 return [0.0067377  0.0106577  0.00855532], ([0.00129486 0.00110573 0.00129331]) 	 loss 3.901E-01 	 horizons 19.0
step 16518 	 return [0.00708199 0.01130311 0.01028848], ([0.0009039  0.00089005 0.00163153]) 	 loss 3.659E-01 	 horizons 19.0
step 16708 	 return [0.00727714 0.01063436 0.01077025], ([0.00062056 0.00102975 0.00184286]) 	 loss 3.590E-01 	 horizons 19.0
step 16898 	 return [0.00701347 0.01118562 0.01017036], ([0.00105702 0.00109702 0.00188596]) 	 loss 3.653E-01 	 horizons 19.0
step 17088 	 return [0.00716213 0.01096721 0.00888048], ([0.00146686 0.00065293 0.00081448]) 	 loss 3.527E-01 	 horizons 19.0
step 17278 	 return [0.00764458 0.01106923 0.00974517], ([0.00053968 0.00096667 0.00142062]) 	 loss 3.423E-01 	 horizons 19.0
step 17468 	 return [0.0076865  0.01091264 0.01131479], ([0.00041909 0.00128496 0.00125864]) 	 loss 3.369E-01 	 horizons 19.0
step 17658 	 return [0.00740563 0.01147837 0.01011531], ([0.00047608 0.00086628 0.00129636]) 	 loss 3.196E-01 	 horizons 19.0
step 17848 	 return [0.00753839 0.01143321 0.00957352], ([0.00079428 0.00074193 0.00144114]) 	 loss 3.169E-01 	 horizons 19.0
step 18038 	 return [0.00761481 0.01043347 0.00934826], ([0.0006589  0.00126981 0.00144667]) 	 loss 3.148E-01 	 horizons 19.0
step 18228 	 return [0.00721283 0.01149821 0.01082518], ([0.00077086 0.00122307 0.00161835]) 	 loss 3.066E-01 	 horizons 19.0
step 18418 	 return [0.00791638 0.01068349 0.01111806], ([0.00084361 0.00110607 0.00129698]) 	 loss 3.271E-01 	 horizons 19.0
step 18608 	 return [0.00739255 0.01129997 0.01052964], ([0.00044998 0.00073793 0.00117406]) 	 loss 3.084E-01 	 horizons 19.0
step 18798 	 return [0.00713038 0.01165119 0.01067471], ([0.00127544 0.00103965 0.00135453]) 	 loss 2.950E-01 	 horizons 19.0
step 18988 	 return [0.00714542 0.01151    0.01119277], ([0.0007218  0.00066854 0.00096094]) 	 loss 2.835E-01 	 horizons 19.0
step 19178 	 return [0.00763725 0.01126985 0.01089202], ([0.00081007 0.00081704 0.00136193]) 	 loss 2.950E-01 	 horizons 19.0
step 19368 	 return [0.00705907 0.01070912 0.01163804], ([0.00067777 0.00135687 0.00132762]) 	 loss 3.406E-01 	 horizons 19.0
step 19558 	 return [0.00753355 0.0113901  0.01194101], ([0.00089182 0.00081294 0.00087398]) 	 loss 3.091E-01 	 horizons 19.0
step 19748 	 return [0.00694635 0.01070706 0.01196925], ([0.00097678 0.00057576 0.00147338]) 	 loss 3.017E-01 	 horizons 19.0
step 19938 	 return [0.00764663 0.01062842 0.01179786], ([0.00076251 0.00099685 0.00148053]) 	 loss 3.013E-01 	 horizons 19.0
step 20128 	 return [0.00801367 0.01060179 0.01156559], ([0.00089534 0.00096436 0.00156171]) 	 loss 2.836E-01 	 horizons 19.0
step 20318 	 return [0.00717528 0.01078204 0.01245864], ([0.00146253 0.00074766 0.00075119]) 	 loss 3.006E-01 	 horizons 19.0
step 20508 	 return [0.00838511 0.01064026 0.01155725], ([0.00088343 0.00130825 0.0016265 ]) 	 loss 2.973E-01 	 horizons 19.0
step 20698 	 return [0.00751546 0.01076237 0.01177788], ([0.00049505 0.00093981 0.00137269]) 	 loss 2.962E-01 	 horizons 19.0
step 20888 	 return [0.00793098 0.01104449 0.01141053], ([0.00069237 0.00091399 0.0012055 ]) 	 loss 2.978E-01 	 horizons 19.0
