step 3060 	 return [0.         0.         0.0022509  0.00425064 0.00680989], ([0.         0.         0.00135863 0.00093571 0.00143855]) 	 loss 6.843E-01 	 horizons 9.0
step 3150 	 return [0.         0.00075717 0.00907517 0.00369248 0.00240328], ([0.         0.00137886 0.00140076 0.0006388  0.00212852]) 	 loss 6.505E-01 	 horizons 9.0
step 3240 	 return [0.         0.00360392 0.0074012  0.00266174 0.        ], ([0.         0.00155537 0.00120589 0.00105437 0.        ]) 	 loss 6.246E-01 	 horizons 9.0
step 3330 	 return [0.00174431 0.00298011 0.00044025 0.00054682 0.        ], ([0.00092147 0.0007028  0.00023607 0.00028663 0.        ]) 	 loss 6.137E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00598526 0.00468287 0.00547683], ([0.         0.         0.00146479 0.00148291 0.00173854]) 	 loss 6.101E-01 	 horizons 9.0
step 3510 	 return [0.00219242 0.00558856 0.00099565 0.00117565 0.        ], ([0.00061911 0.00086195 0.0003468  0.00021437 0.        ]) 	 loss 5.601E-01 	 horizons 9.0
step 3600 	 return [0.         0.         0.00086733 0.0042765  0.00825454], ([0.         0.         0.00101635 0.00047334 0.00074011]) 	 loss 5.458E-01 	 horizons 9.0
step 3690 	 return [0.00174991 0.00534863 0.00088786 0.00111915 0.        ], ([0.00078107 0.00195956 0.00039303 0.00020237 0.        ]) 	 loss 5.272E-01 	 horizons 9.0
step 3780 	 return [0.00269595 0.00220902 0.00052084 0.0007547  0.        ], ([0.00111083 0.0010071  0.00019116 0.00040157 0.        ]) 	 loss 5.340E-01 	 horizons 9.0
step 3870 	 return [0.00231331 0.00380741 0.00062125 0.00093916 0.        ], ([0.00108451 0.00168442 0.00035522 0.00036399 0.        ]) 	 loss 5.296E-01 	 horizons 9.0
step 3960 	 return [0.         0.         0.00169406 0.00378793 0.00784957], ([0.         0.         0.00108843 0.00061766 0.00235213]) 	 loss 5.095E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.00700856 0.00417044 0.00439984], ([0.         0.         0.00143224 0.00117579 0.00084622]) 	 loss 5.353E-01 	 horizons 9.0
step 4140 	 return [0.00240752 0.00480881 0.00077662 0.00111172 0.        ], ([0.00098099 0.00202081 0.00033685 0.00018703 0.        ]) 	 loss 4.717E-01 	 horizons 9.0
step 4230 	 return [0.00270209 0.00341908 0.00044066 0.00084284 0.        ], ([7.1906450e-04 9.5831702e-04 9.6832024e-05 3.7560225e-04 0.0000000e+00]) 	 loss 4.494E-01 	 horizons 9.0
step 4320 	 return [0.         0.00754091 0.00360947 0.00150028 0.        ], ([0.         0.00110594 0.00226721 0.00012573 0.        ]) 	 loss 4.666E-01 	 horizons 9.0
step 4410 	 return [0.         0.00111527 0.01001328 0.00426125 0.00094859], ([0.         0.00183386 0.00153471 0.00120318 0.00145969]) 	 loss 4.312E-01 	 horizons 9.0
step 4500 	 return [0.         0.00019648 0.0099543  0.00377378 0.0022652 ], ([0.         0.00058945 0.00107983 0.00090915 0.00206629]) 	 loss 4.079E-01 	 horizons 9.0
step 4590 	 return [0.         0.         0.00444023 0.00480239 0.0066572 ], ([0.         0.         0.00119872 0.0013236  0.00186985]) 	 loss 4.208E-01 	 horizons 9.0
step 4680 	 return [0.         0.         0.00719761 0.00462136 0.00476833], ([0.         0.         0.00106415 0.00129614 0.00060664]) 	 loss 4.139E-01 	 horizons 9.0
step 4770 	 return [0.         0.         0.00053471 0.00452714 0.00778539], ([0.         0.         0.00043761 0.00065023 0.00236058]) 	 loss 3.776E-01 	 horizons 9.0
step 4860 	 return [0.00347237 0.00238041 0.00046192 0.00083106 0.        ], ([0.00049037 0.00105859 0.00011188 0.00037392 0.        ]) 	 loss 3.779E-01 	 horizons 9.0
step 4950 	 return [0.00299931 0.00386771 0.00074657 0.00108796 0.        ], ([0.00039707 0.0011636  0.00032004 0.00028412 0.        ]) 	 loss 3.665E-01 	 horizons 9.0
step 5040 	 return [0.00234144 0.00612821 0.00105062 0.00126972 0.        ], ([0.00051052 0.00103886 0.00037278 0.00023433 0.        ]) 	 loss 3.525E-01 	 horizons 9.0
step 5130 	 return [0.00246115 0.00613557 0.00107263 0.0009343  0.        ], ([0.00050067 0.00121085 0.00068642 0.00041386 0.        ]) 	 loss 3.483E-01 	 horizons 9.0
step 5220 	 return [0.00322195 0.00162613 0.00047102 0.0007273  0.        ], ([1.2141489e-03 7.2628603e-04 8.6787273e-05 2.3261059e-04 0.0000000e+00]) 	 loss 3.379E-01 	 horizons 9.0
step 5310 	 return [0.         0.0036591  0.00831104 0.00318926 0.00058686], ([0.         0.00199005 0.00124263 0.00060908 0.00117371]) 	 loss 2.985E-01 	 horizons 9.0
step 5400 	 return [0.00287661 0.00322495 0.00081593 0.00087409 0.        ], ([0.00042151 0.00125808 0.00029369 0.00041785 0.        ]) 	 loss 2.810E-01 	 horizons 9.0
step 5490 	 return [0.         0.00194984 0.0102613  0.00407064 0.00029343], ([0.         0.0018781  0.00177558 0.00081143 0.00088028]) 	 loss 2.911E-01 	 horizons 9.0
step 5580 	 return [0.00207603 0.00688531 0.00113707 0.00121487 0.        ], ([0.0002459  0.00056752 0.0003615  0.00037498 0.        ]) 	 loss 2.880E-01 	 horizons 9.0
step 5670 	 return [0.         0.00851426 0.0039968  0.00129214 0.        ], ([0.         0.00058519 0.00080776 0.00030053 0.        ]) 	 loss 2.732E-01 	 horizons 9.0
step 5760 	 return [0.         0.         0.00443253 0.00392337 0.00788799], ([0.         0.         0.00122087 0.00198813 0.00235499]) 	 loss 2.918E-01 	 horizons 9.0
step 5850 	 return [0.00328221 0.00141916 0.00056459 0.00076398 0.        ], ([0.00115186 0.00079739 0.00018151 0.00015947 0.        ]) 	 loss 2.450E-01 	 horizons 9.0
step 5940 	 return [0.         0.00404853 0.00840105 0.0037075  0.        ], ([0.         0.00076727 0.00110027 0.00025827 0.        ]) 	 loss 2.766E-01 	 horizons 9.0
step 6030 	 return [0.00194961 0.00722999 0.00120905 0.00119174 0.        ], ([0.00076283 0.0005511  0.0006885  0.00015994 0.        ]) 	 loss 2.388E-01 	 horizons 9.0
step 6120 	 return [0.00216771 0.00662173 0.0012781  0.00119893 0.        ], ([0.00054747 0.00079381 0.00058697 0.00036703 0.        ]) 	 loss 2.444E-01 	 horizons 9.0
step 6210 	 return [0.         0.         0.00509048 0.00543758 0.00657293], ([0.         0.         0.00103493 0.0008472  0.00163296]) 	 loss 2.171E-01 	 horizons 9.0
step 6300 	 return [0.0029352  0.00504932 0.00073519 0.00097286 0.        ], ([0.00043169 0.00116733 0.00034374 0.00037436 0.        ]) 	 loss 2.390E-01 	 horizons 9.0
step 6390 	 return [0.00324244 0.00343742 0.00059306 0.00107857 0.        ], ([0.0004177  0.00118359 0.00017211 0.00034776 0.        ]) 	 loss 2.276E-01 	 horizons 9.0
step 6480 	 return [0.         0.         0.00321427 0.00536951 0.00652946], ([0.         0.         0.00058374 0.00055789 0.00108095]) 	 loss 2.061E-01 	 horizons 9.0
step 6570 	 return [0.00123514 0.00819745 0.00132005 0.00092606 0.        ], ([0.000633   0.00057617 0.00109318 0.00039326 0.        ]) 	 loss 1.963E-01 	 horizons 9.0
step 6660 	 return [0.         0.         0.00618598 0.00726112 0.00586671], ([0.0000000e+00 0.0000000e+00 5.6599154e-05 8.9457666e-04 3.8885968e-04]) 	 loss 2.110E-01 	 horizons 9.0
step 6750 	 return [0.         0.00792423 0.0024217  0.00150256 0.        ], ([0.         0.00032595 0.00102246 0.00016403 0.        ]) 	 loss 2.024E-01 	 horizons 9.0
step 6840 	 return [0.         0.         0.00361058 0.00477157 0.00757212], ([0.         0.         0.00041099 0.00154647 0.0015691 ]) 	 loss 1.815E-01 	 horizons 9.0
step 6930 	 return [0.         0.00436007 0.00794884 0.00363624 0.        ], ([0.         0.0010698  0.00036516 0.00053599 0.        ]) 	 loss 1.793E-01 	 horizons 9.0
step 7020 	 return [0.         0.         0.0038844  0.00246763 0.00938516], ([0.         0.         0.00053    0.00161853 0.00120673]) 	 loss 1.532E-01 	 horizons 9.0
step 7110 	 return [0.         0.00195557 0.0100524  0.00403394 0.0008893 ], ([0.         0.00187754 0.00216804 0.00091325 0.00181622]) 	 loss 1.912E-01 	 horizons 9.0
step 7200 	 return [0.         0.00386282 0.00837837 0.00390015 0.        ], ([0.         0.00098342 0.00114453 0.00028054 0.        ]) 	 loss 1.572E-01 	 horizons 9.0
step 7290 	 return [0.         0.00804934 0.00464481 0.00117437 0.        ], ([0.         0.00052574 0.00121626 0.00051921 0.        ]) 	 loss 1.644E-01 	 horizons 9.0
step 7380 	 return [0.00294327 0.00507547 0.00103189 0.00099169 0.        ], ([0.00031849 0.00065623 0.0002831  0.00023219 0.        ]) 	 loss 1.684E-01 	 horizons 9.0
step 7470 	 return [0.00233877 0.00746155 0.00060035 0.00081767 0.        ], ([0.00061146 0.0007049  0.00032511 0.00043711 0.        ]) 	 loss 1.864E-01 	 horizons 9.0
step 7560 	 return [0.         0.         0.00145452 0.00252577 0.0108242 ], ([0.         0.         0.00067156 0.0012784  0.00156471]) 	 loss 1.902E-01 	 horizons 9.0
step 7650 	 return [0.00241904 0.00697698 0.00073849 0.00105333 0.        ], ([0.00011424 0.00103787 0.00036494 0.00015172 0.        ]) 	 loss 1.844E-01 	 horizons 9.0
step 7740 	 return [0.         0.00400268 0.00805483 0.00378209 0.0008893 ], ([0.         0.00100654 0.00126002 0.00029952 0.00181622]) 	 loss 1.951E-01 	 horizons 9.0
step 7830 	 return [0.00032004 0.00877724 0.00274767 0.00110621 0.        ], ([0.00048887 0.0007231  0.00149992 0.00048398 0.        ]) 	 loss 1.906E-01 	 horizons 9.0
step 7920 	 return [0.00021445 0.00868623 0.00340631 0.00120946 0.        ], ([0.00042889 0.00052544 0.00053765 0.00034267 0.        ]) 	 loss 1.660E-01 	 horizons 9.0
step 8010 	 return [0.0032931  0.00375562 0.00070607 0.0010811  0.        ], ([0.00012713 0.00107406 0.00027694 0.00019669 0.        ]) 	 loss 1.840E-01 	 horizons 9.0
step 8100 	 return [0.00199279 0.0045532  0.00139567 0.00158983 0.00049785], ([0.00077613 0.00165284 0.0001917  0.00077175 0.00149355]) 	 loss 1.724E-01 	 horizons 9.0
step 8190 	 return [0.00403498 0.00465306 0.00040029 0.00059095 0.        ], ([2.3699820e-04 4.5014982e-04 3.2852909e-05 2.0106514e-04 0.0000000e+00]) 	 loss 1.780E-01 	 horizons 9.0
step 8280 	 return [0.         0.         0.00270354 0.00206052 0.0107994 ], ([0.         0.         0.0009952  0.00061793 0.00052457]) 	 loss 1.654E-01 	 horizons 9.0
step 8370 	 return [0.00214002 0.00730123 0.00098083 0.00113173 0.        ], ([0.00072753 0.00088681 0.00041332 0.0004413  0.        ]) 	 loss 1.699E-01 	 horizons 9.0
step 8460 	 return [0.         0.         0.00444069 0.00461751 0.00784071], ([0.0000000e+00 0.0000000e+00 2.9836738e-05 4.5895006e-04 6.5539687e-05]) 	 loss 1.883E-01 	 horizons 9.0
step 8550 	 return [0.00371515 0.00556897 0.00039612 0.00055329 0.        ], ([2.7983947e-04 8.7678817e-04 7.5510987e-05 3.0920486e-04 0.0000000e+00]) 	 loss 1.587E-01 	 horizons 9.0
step 8640 	 return [0.00305838 0.006374   0.0004418  0.00069743 0.        ], ([6.4851710e-04 8.6406473e-04 8.9131514e-05 4.0925542e-04 0.0000000e+00]) 	 loss 1.526E-01 	 horizons 9.0
step 8730 	 return [0.         0.00041341 0.00359885 0.00197561 0.00839744], ([0.         0.00082682 0.00198809 0.00087027 0.00421591]) 	 loss 1.754E-01 	 horizons 9.0
step 8820 	 return [0.         0.00952429 0.00372437 0.00137469 0.        ], ([0.         0.00057484 0.00077664 0.00033579 0.        ]) 	 loss 1.767E-01 	 horizons 9.0
step 8910 	 return [0.         0.00959968 0.00373678 0.00098241 0.        ], ([0.         0.00064063 0.0007932  0.00052144 0.        ]) 	 loss 1.821E-01 	 horizons 9.0
step 9000 	 return [0.00203579 0.00748441 0.00141418 0.00120792 0.        ], ([0.00051228 0.00063997 0.00081576 0.00038764 0.        ]) 	 loss 1.679E-01 	 horizons 9.0
step 9090 	 return [0.         0.         0.00463642 0.00427977 0.01022776], ([0.         0.         0.00050715 0.00064874 0.00190954]) 	 loss 1.785E-01 	 horizons 9.0
