step 7663 	 return [0.00414406 0.00783216 0.00756259], ([0.00191173 0.00098336 0.00154579]) 	 loss 7.311E-01 	 horizons 19.0
step 7853 	 return [0.00350621 0.00800242 0.00637738], ([0.00241975 0.00176746 0.00252815]) 	 loss 7.523E-01 	 horizons 19.0
step 8043 	 return [0.0048157  0.00838999 0.00724491], ([0.0020045  0.00150151 0.00179127]) 	 loss 7.502E-01 	 horizons 19.0
step 8233 	 return [0.00369453 0.00803897 0.00568964], ([0.00160997 0.00286326 0.00248093]) 	 loss 7.912E-01 	 horizons 19.0
step 8423 	 return [0.00382593 0.00805702 0.00739438], ([0.00082403 0.00208795 0.00195714]) 	 loss 7.438E-01 	 horizons 19.0
step 8613 	 return [0.00383184 0.00841462 0.00656794], ([0.00175079 0.00228793 0.00187534]) 	 loss 7.178E-01 	 horizons 19.0
step 8803 	 return [0.0049717  0.00749954 0.00698726], ([0.00244734 0.00137798 0.00135248]) 	 loss 7.027E-01 	 horizons 19.0
step 8993 	 return [0.00423558 0.00909769 0.009068  ], ([0.00180011 0.00156828 0.0010599 ]) 	 loss 7.088E-01 	 horizons 19.0
step 9183 	 return [0.00367913 0.00840544 0.00731217], ([0.00139215 0.00251439 0.00228623]) 	 loss 6.628E-01 	 horizons 19.0
step 9373 	 return [0.00536254 0.00942487 0.00615464], ([0.00160536 0.00198452 0.00180955]) 	 loss 7.059E-01 	 horizons 19.0
step 9563 	 return [0.00453601 0.00933862 0.00790952], ([0.00212773 0.00133303 0.00152874]) 	 loss 6.974E-01 	 horizons 19.0
step 9753 	 return [0.00511316 0.00918487 0.00866119], ([0.00256804 0.00163989 0.00123543]) 	 loss 6.838E-01 	 horizons 19.0
step 9943 	 return [0.00563217 0.00906509 0.00780889], ([0.00176594 0.00182264 0.00204729]) 	 loss 6.461E-01 	 horizons 19.0
step 10133 	 return [0.00510307 0.00982752 0.00711269], ([0.00151391 0.00184993 0.00150025]) 	 loss 6.645E-01 	 horizons 19.0
step 10323 	 return [0.00596752 0.00919535 0.00671079], ([0.0017306  0.00292214 0.00310264]) 	 loss 6.850E-01 	 horizons 19.0
step 10513 	 return [0.00397265 0.00956799 0.00835842], ([0.00207037 0.00116243 0.00172663]) 	 loss 6.493E-01 	 horizons 19.0
step 10703 	 return [0.00580113 0.01014854 0.0072721 ], ([0.00214441 0.00182612 0.00228586]) 	 loss 6.270E-01 	 horizons 19.0
step 10893 	 return [0.00403395 0.00837346 0.00798745], ([0.00251881 0.00237086 0.00285881]) 	 loss 6.591E-01 	 horizons 19.0
step 11083 	 return [0.0047147  0.00976344 0.00839293], ([0.00183153 0.00149028 0.00107625]) 	 loss 6.096E-01 	 horizons 19.0
step 11273 	 return [0.00516121 0.01049812 0.00832865], ([0.00112018 0.00182486 0.0012978 ]) 	 loss 6.074E-01 	 horizons 19.0
step 11463 	 return [0.00513271 0.00933169 0.00809698], ([0.00206163 0.00079619 0.00242337]) 	 loss 5.886E-01 	 horizons 19.0
step 11653 	 return [0.0046995  0.00977224 0.00830932], ([0.00149403 0.00164142 0.00232624]) 	 loss 5.916E-01 	 horizons 19.0
step 11843 	 return [0.00651531 0.00998774 0.00684495], ([0.00300549 0.00173984 0.0022076 ]) 	 loss 5.588E-01 	 horizons 19.0
step 12033 	 return [0.00553867 0.00944561 0.00775778], ([0.00184958 0.00174163 0.00164104]) 	 loss 5.680E-01 	 horizons 19.0
step 12223 	 return [0.00431524 0.00888928 0.00961778], ([0.00172363 0.001207   0.00122222]) 	 loss 5.505E-01 	 horizons 19.0
step 12413 	 return [0.00613025 0.01005042 0.00703612], ([0.00163672 0.00149663 0.00253902]) 	 loss 5.504E-01 	 horizons 19.0
step 12603 	 return [0.00573712 0.00999351 0.0084454 ], ([0.00124318 0.0016444  0.00100364]) 	 loss 5.219E-01 	 horizons 19.0
step 12793 	 return [0.00648366 0.01083043 0.00799115], ([0.0014386  0.00134321 0.00154763]) 	 loss 5.419E-01 	 horizons 19.0
step 12983 	 return [0.00833717 0.01041497 0.00736016], ([0.00210913 0.00129776 0.00227127]) 	 loss 5.330E-01 	 horizons 19.0
step 13173 	 return [0.0059372  0.01029007 0.00772941], ([0.00237717 0.00124962 0.00251761]) 	 loss 5.149E-01 	 horizons 19.0
step 13363 	 return [0.00741297 0.01095878 0.00779032], ([0.00181743 0.00102567 0.00158915]) 	 loss 5.149E-01 	 horizons 19.0
step 13553 	 return [0.00674848 0.00986539 0.0081903 ], ([0.00088234 0.00095529 0.00123669]) 	 loss 5.144E-01 	 horizons 19.0
step 13743 	 return [0.00524397 0.00960138 0.00910733], ([0.00140392 0.001294   0.0010738 ]) 	 loss 4.817E-01 	 horizons 19.0
step 13933 	 return [0.00699221 0.01040935 0.00847021], ([0.00215498 0.00114358 0.00185526]) 	 loss 5.298E-01 	 horizons 19.0
