step 3690 	 return [0.00025459 0.00422357 0.00120418], ([0.00043952 0.00073551 0.00151768]) 	 loss 5.927E-01 	 horizons 9.0
step 3780 	 return [0.         0.00401447 0.00560213], ([0.         0.00086286 0.00019939]) 	 loss 5.637E-01 	 horizons 9.0
step 3870 	 return [0.00172078 0.00110982 0.00055596], ([0.0008376  0.00063204 0.00051765]) 	 loss 5.683E-01 	 horizons 9.0
step 3960 	 return [0.00125602 0.00243928 0.00016786], ([0.00070844 0.00052509 0.00033637]) 	 loss 5.633E-01 	 horizons 9.0
step 4050 	 return [0.00252014 0.00121477 0.00051172], ([0.00052953 0.00044498 0.00024799]) 	 loss 5.187E-01 	 horizons 9.0
step 4140 	 return [0.0018812  0.00255397 0.00031658], ([0.0009108  0.00073593 0.0003498 ]) 	 loss 5.261E-01 	 horizons 9.0
step 4230 	 return [0.         0.00452865 0.00526201], ([0.         0.00069735 0.00028145]) 	 loss 5.807E-01 	 horizons 9.0
step 4320 	 return [0.00140269 0.00277736 0.00059532], ([0.00043435 0.00074948 0.00039132]) 	 loss 5.227E-01 	 horizons 9.0
step 4410 	 return [0.         0.00425759 0.00519602], ([0.         0.00091217 0.00083157]) 	 loss 5.070E-01 	 horizons 9.0
step 4500 	 return [0.00134432 0.00247272 0.00045668], ([0.00047348 0.00062252 0.00064   ]) 	 loss 4.959E-01 	 horizons 9.0
step 4590 	 return [0.         0.00478635 0.005284  ], ([0.         0.00059674 0.00050339]) 	 loss 4.785E-01 	 horizons 9.0
step 4680 	 return [0.         0.00487733 0.00540274], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 4.371E-01 	 horizons 9.0
step 4770 	 return [0.00246481 0.00169782 0.00059802], ([0.00045546 0.00048355 0.00032045]) 	 loss 4.388E-01 	 horizons 9.0
step 4860 	 return [0.00135539 0.00316104 0.00035342], ([0.00044734 0.00053131 0.00043336]) 	 loss 4.752E-01 	 horizons 9.0
step 4950 	 return [0.00224074 0.00280372 0.00076312], ([0.00072581 0.00078095 0.000394  ]) 	 loss 4.578E-01 	 horizons 9.0
step 5040 	 return [0.00165102 0.0032554  0.00086923], ([0.00101144 0.00076371 0.00086858]) 	 loss 4.808E-01 	 horizons 9.0
step 5130 	 return [0.00173091 0.00203439 0.00049389], ([0.00066962 0.00041743 0.00030647]) 	 loss 4.643E-01 	 horizons 9.0
step 5220 	 return [0.00145089 0.00285494 0.00044047], ([0.00071376 0.00060716 0.00044224]) 	 loss 4.975E-01 	 horizons 9.0
