step 6138 	 return [0.00182519 0.00530513 0.00639151 0.00751692 0.00477163], ([0.00231118 0.00179901 0.0025021  0.0043662  0.0037459 ]) 	 loss 7.493E-01 	 horizons 19.0
step 6328 	 return [0.0007458  0.00459975 0.00467504 0.00639128 0.00404298], ([0.00119639 0.00157574 0.0019461  0.00222    0.00197207]) 	 loss 7.398E-01 	 horizons 19.0
step 6518 	 return [0.00090769 0.00574661 0.00455276 0.00830621 0.00350573], ([0.00164668 0.00264641 0.00164183 0.00246054 0.00099378]) 	 loss 7.346E-01 	 horizons 19.0
step 6708 	 return [0.00631559 0.00799579 0.00561801 0.0048821  0.00153527], ([0.00381142 0.00182565 0.00250473 0.00423122 0.00244506]) 	 loss 7.220E-01 	 horizons 19.0
step 6898 	 return [0.00300949 0.00570868 0.00490356 0.00582027 0.00350798], ([0.00306604 0.0020614  0.00210664 0.00413975 0.00299845]) 	 loss 7.147E-01 	 horizons 19.0
step 7088 	 return [0.00099439 0.00683697 0.00564693 0.00708817 0.00457234], ([0.00168866 0.00260317 0.00163321 0.00356418 0.00159222]) 	 loss 7.105E-01 	 horizons 19.0
step 7278 	 return [0.00217441 0.00589861 0.00555995 0.00770182 0.00510848], ([0.00210549 0.00242637 0.00158767 0.00458982 0.00206733]) 	 loss 7.075E-01 	 horizons 19.0
step 7468 	 return [0.00719671 0.0064598  0.00609824 0.00565616 0.00154716], ([0.00239528 0.00333038 0.00277858 0.00378443 0.00239287]) 	 loss 6.929E-01 	 horizons 19.0
step 7658 	 return [0.00073382 0.00737289 0.00622673 0.00958208 0.00418936], ([0.0013657  0.00217318 0.00186365 0.00449436 0.00240979]) 	 loss 6.666E-01 	 horizons 19.0
step 7848 	 return [0.00127862 0.00520085 0.00475215 0.00337965 0.00337547], ([0.00207504 0.00335443 0.00147943 0.0033318  0.00196554]) 	 loss 6.619E-01 	 horizons 19.0
step 8038 	 return [0.00576606 0.00836704 0.00540807 0.00314621 0.        ], ([0.00317612 0.00175704 0.00183997 0.00136893 0.        ]) 	 loss 6.447E-01 	 horizons 19.0
step 8228 	 return [0.00146494 0.00828282 0.00638918 0.00950801 0.00470673], ([0.00219268 0.00212526 0.00233269 0.00443239 0.00306993]) 	 loss 6.409E-01 	 horizons 19.0
step 8418 	 return [0.00010449 0.00626617 0.00475484 0.00526204 0.00319903], ([0.00031347 0.00414167 0.00198608 0.00498296 0.00208057]) 	 loss 6.211E-01 	 horizons 19.0
step 8608 	 return [0.00226787 0.00808202 0.00785687 0.01035175 0.00629377], ([0.0023638  0.00250089 0.00167065 0.0045856  0.00259492]) 	 loss 6.513E-01 	 horizons 19.0
step 8798 	 return [0.00367889 0.0077037  0.00674467 0.00727405 0.00283671], ([0.0029039  0.00294348 0.0019881  0.00391847 0.00263025]) 	 loss 6.184E-01 	 horizons 19.0
step 8988 	 return [0.00205532 0.00549319 0.00679336 0.01188978 0.00625477], ([0.00265147 0.00216444 0.00091847 0.00287761 0.00196038]) 	 loss 6.040E-01 	 horizons 19.0
step 9178 	 return [0.00036824 0.00757287 0.0068846  0.00842304 0.00591193], ([0.00110473 0.00194579 0.00161659 0.00421136 0.00323043]) 	 loss 5.804E-01 	 horizons 19.0
step 9368 	 return [0.00159871 0.00885157 0.00819148 0.01061915 0.00474761], ([0.00261578 0.00312504 0.00147165 0.00373284 0.00219963]) 	 loss 5.702E-01 	 horizons 19.0
step 9558 	 return [0.0006388  0.01084393 0.00650323 0.01121574 0.00487816], ([0.00141913 0.00250841 0.00212577 0.00398004 0.00229964]) 	 loss 5.995E-01 	 horizons 19.0
step 9748 	 return [0.00179619 0.00845202 0.00657855 0.00795607 0.00523332], ([0.00214262 0.00330682 0.00172624 0.00320323 0.00204551]) 	 loss 5.602E-01 	 horizons 19.0
step 9938 	 return [0.00055321 0.00867983 0.0083243  0.01113682 0.0050194 ], ([0.00103625 0.00272331 0.00204422 0.00416646 0.0014443 ]) 	 loss 5.643E-01 	 horizons 19.0
step 10128 	 return [0.0004867  0.0085554  0.00700562 0.00961424 0.00583832], ([0.00110984 0.00239663 0.00098987 0.00378277 0.00211301]) 	 loss 5.352E-01 	 horizons 19.0
step 10318 	 return [0.00834341 0.00926045 0.00638205 0.00383316 0.        ], ([0.00142269 0.00154049 0.00253853 0.00109352 0.        ]) 	 loss 5.541E-01 	 horizons 19.0
step 10508 	 return [0.00106024 0.01078724 0.00746182 0.01086892 0.00608168], ([0.00163167 0.0036492  0.00174121 0.00371416 0.00298806]) 	 loss 5.280E-01 	 horizons 19.0
step 10698 	 return [0.00174928 0.01156417 0.00763407 0.01305115 0.00608236], ([0.00215554 0.0023802  0.00081102 0.00293812 0.00142918]) 	 loss 5.063E-01 	 horizons 19.0
step 10888 	 return [0.00111094 0.00853108 0.00717034 0.01335946 0.00780331], ([0.00173057 0.00224369 0.00220334 0.00208692 0.00230202]) 	 loss 4.915E-01 	 horizons 19.0
step 11078 	 return [0.00143754 0.00909718 0.00683429 0.00908024 0.0052399 ], ([0.00262662 0.00339083 0.00110203 0.00337512 0.00287951]) 	 loss 5.288E-01 	 horizons 19.0
step 11268 	 return [0.00120644 0.01075128 0.00883709 0.01230004 0.00578793], ([0.0016329  0.002783   0.00180175 0.00285181 0.00212772]) 	 loss 4.878E-01 	 horizons 19.0
step 11458 	 return [0.00225389 0.00677885 0.00794119 0.01410093 0.00824348], ([0.00251507 0.00177085 0.0011163  0.00318751 0.00266861]) 	 loss 4.657E-01 	 horizons 19.0
step 11648 	 return [0.00179346 0.01144813 0.00789808 0.01213467 0.00616216], ([0.00214148 0.00319582 0.001441   0.0027199  0.00288093]) 	 loss 4.662E-01 	 horizons 19.0
step 11838 	 return [0.00056406 0.01122865 0.00847121 0.01228961 0.00730505], ([0.00112812 0.00103927 0.00128944 0.00217013 0.00160026]) 	 loss 4.483E-01 	 horizons 19.0
step 12028 	 return [0.00097352 0.01071602 0.00741969 0.01205338 0.00687988], ([0.00146074 0.00192767 0.00155082 0.00214127 0.00182337]) 	 loss 4.444E-01 	 horizons 19.0
step 12218 	 return [0.00206705 0.01089609 0.00758063 0.01304915 0.00731801], ([0.0018135  0.00165496 0.00138496 0.0020638  0.00264636]) 	 loss 4.350E-01 	 horizons 19.0
step 12408 	 return [0.00332168 0.00853829 0.00684065 0.01328058 0.00669012], ([0.00250574 0.00220114 0.00119762 0.001478   0.00226302]) 	 loss 4.412E-01 	 horizons 19.0
step 12598 	 return [0.00074427 0.01043193 0.00842362 0.01237129 0.00567601], ([0.0013915  0.00306283 0.00210091 0.00384553 0.00357827]) 	 loss 4.329E-01 	 horizons 19.0
step 12788 	 return [0.00527692 0.00850289 0.00787136 0.01066894 0.00436054], ([0.00198845 0.00371965 0.00159861 0.00289128 0.00322989]) 	 loss 4.602E-01 	 horizons 19.0
step 12978 	 return [0.00270826 0.00857634 0.0066737  0.01140637 0.00602662], ([0.00201197 0.00280061 0.00143217 0.00213969 0.00129137]) 	 loss 4.757E-01 	 horizons 19.0
step 13168 	 return [0.00044074 0.01154425 0.00892521 0.01247361 0.00653643], ([0.00081127 0.00251747 0.00218566 0.00222713 0.00162671]) 	 loss 4.844E-01 	 horizons 19.0
step 13358 	 return [0.00418566 0.00870377 0.00730136 0.01240269 0.00675951], ([0.00255749 0.00211365 0.0013958  0.00243735 0.00103667]) 	 loss 4.760E-01 	 horizons 19.0
step 13548 	 return [0.00201249 0.00913741 0.00760825 0.01433747 0.00759148], ([0.00188592 0.00210492 0.00184348 0.00319036 0.00169551]) 	 loss 4.642E-01 	 horizons 19.0
step 13738 	 return [0.0038287  0.00828814 0.007347   0.01368264 0.00650053], ([0.00174106 0.00199658 0.00116132 0.00184595 0.0012752 ]) 	 loss 4.418E-01 	 horizons 19.0
step 13928 	 return [0.00242573 0.01096584 0.0087549  0.01272014 0.00647621], ([0.0016194  0.00160355 0.00160524 0.00182326 0.00115804]) 	 loss 4.492E-01 	 horizons 19.0
step 14118 	 return [0.00273248 0.00809348 0.00761359 0.01290789 0.00652555], ([0.00284318 0.00374446 0.00100402 0.0028454  0.0025586 ]) 	 loss 4.167E-01 	 horizons 19.0
step 14308 	 return [0.0018091  0.01094618 0.00768506 0.01480263 0.00688844], ([0.00137383 0.00180957 0.00159307 0.00213402 0.00298083]) 	 loss 4.178E-01 	 horizons 19.0
step 14498 	 return [0.00367858 0.00732508 0.00779979 0.01424708 0.00741822], ([0.00155064 0.00253077 0.00146333 0.00211993 0.00207608]) 	 loss 3.998E-01 	 horizons 19.0
step 14688 	 return [0.00142322 0.01186494 0.00757881 0.01052576 0.00601357], ([0.00139104 0.00290174 0.00180169 0.00413112 0.00224379]) 	 loss 3.932E-01 	 horizons 19.0
step 14878 	 return [0.00126135 0.0123265  0.00738363 0.01045933 0.00637405], ([0.00123072 0.00314025 0.0014406  0.00377209 0.00220616]) 	 loss 3.730E-01 	 horizons 19.0
step 15068 	 return [0.00375988 0.00973379 0.00715017 0.01110343 0.00730644], ([0.00138168 0.00132902 0.00185872 0.00205804 0.00134234]) 	 loss 3.862E-01 	 horizons 19.0
step 15258 	 return [0.00030287 0.01144181 0.01025585 0.01320328 0.0075788 ], ([0.00090862 0.00190559 0.00194858 0.00198301 0.00278549]) 	 loss 3.503E-01 	 horizons 19.0
step 15448 	 return [0.00447571 0.01103224 0.00892686 0.00872728 0.0080733 ], ([0.00112195 0.00166081 0.00102843 0.00123283 0.00118364]) 	 loss 3.550E-01 	 horizons 19.0
