step 3690 	 return [0.00077783 0.00343265 0.00032704], ([0.00039587 0.00053269 0.00098113]) 	 loss 6.363E-01 	 horizons 9.0
step 3780 	 return [0.00208058 0.00159092 0.00021166], ([0.00089294 0.00076239 0.0003643 ]) 	 loss 6.343E-01 	 horizons 9.0
step 3870 	 return [0.00090163 0.00329691 0.00011451], ([0.00065842 0.00092472 0.00034354]) 	 loss 6.317E-01 	 horizons 9.0
step 3960 	 return [0.00054597 0.00189087 0.00206675], ([0.00052497 0.00021955 0.00103619]) 	 loss 6.145E-01 	 horizons 9.0
step 4050 	 return [0.00160708 0.00184233 0.00054289], ([0.00076913 0.00072812 0.00057425]) 	 loss 6.135E-01 	 horizons 9.0
step 4140 	 return [0.00170855 0.00306981 0.        ], ([0.00035889 0.00070123 0.        ]) 	 loss 6.041E-01 	 horizons 9.0
step 4230 	 return [0.         0.00399729 0.00495789], ([0.         0.00078723 0.00071814]) 	 loss 6.273E-01 	 horizons 9.0
step 4320 	 return [0.00112765 0.00307417 0.        ], ([0.00054144 0.00064596 0.        ]) 	 loss 6.002E-01 	 horizons 9.0
step 4410 	 return [0.00119857 0.00221891 0.00115252], ([0.00015564 0.00047777 0.00082739]) 	 loss 6.172E-01 	 horizons 9.0
step 4500 	 return [0.         0.00412398 0.00483932], ([0.         0.00068097 0.0008643 ]) 	 loss 6.003E-01 	 horizons 9.0
step 4590 	 return [0.00046316 0.00355511 0.00176892], ([0.00050318 0.00049166 0.00178526]) 	 loss 5.944E-01 	 horizons 9.0
step 4680 	 return [0.00022049 0.00375783 0.00412518], ([0.00044116 0.00077815 0.00101079]) 	 loss 6.083E-01 	 horizons 9.0
step 4770 	 return [0.         0.00420429 0.00508491], ([0.         0.00080326 0.00073857]) 	 loss 6.192E-01 	 horizons 9.0
step 4860 	 return [0.00138803 0.00241331 0.00152912], ([0.00035636 0.00045079 0.00115705]) 	 loss 5.756E-01 	 horizons 9.0
step 4950 	 return [0.         0.00350739 0.00456754], ([0.         0.00091772 0.00107103]) 	 loss 5.305E-01 	 horizons 9.0
step 5040 	 return [0.         0.00460606 0.00515442], ([0.         0.00067438 0.0003271 ]) 	 loss 5.727E-01 	 horizons 9.0
step 5130 	 return [0.         0.00417864 0.00477142], ([0.         0.00050059 0.000919  ]) 	 loss 5.402E-01 	 horizons 9.0
step 5220 	 return [0.00155929 0.00325671 0.00042737], ([0.00059128 0.00048024 0.00100727]) 	 loss 4.875E-01 	 horizons 9.0
step 5310 	 return [0.00165832 0.0033243  0.        ], ([0.0007084  0.00062341 0.        ]) 	 loss 4.981E-01 	 horizons 9.0
step 5400 	 return [0.         0.00416273 0.00548293], ([0.         0.00054831 0.00033824]) 	 loss 4.736E-01 	 horizons 9.0
step 5490 	 return [0.00245664 0.00178082 0.00036915], ([0.00084092 0.0006038  0.00044058]) 	 loss 4.501E-01 	 horizons 9.0
step 5580 	 return [2.0806738e-03 2.6466944e-03 9.5396383e-05], ([0.00061089 0.00044252 0.00028619]) 	 loss 4.738E-01 	 horizons 9.0
step 5670 	 return [0.00137808 0.00178744 0.00121262], ([0.00035917 0.00038105 0.00077148]) 	 loss 4.544E-01 	 horizons 9.0
step 5760 	 return [0.00203206 0.00266197 0.        ], ([0.00048454 0.00028326 0.        ]) 	 loss 4.033E-01 	 horizons 9.0
step 5850 	 return [0.00055997 0.00335509 0.00371491], ([0.00056012 0.00045676 0.00054226]) 	 loss 4.163E-01 	 horizons 9.0
step 5940 	 return [1.7773497e-03 2.9120005e-03 9.1799331e-05], ([0.0005638  0.00024904 0.0002754 ]) 	 loss 4.249E-01 	 horizons 9.0
step 6030 	 return [0.00102277 0.00369567 0.0007318 ], ([0.00075464 0.00063991 0.00125272]) 	 loss 3.992E-01 	 horizons 9.0
step 6120 	 return [2.4327922e-03 2.5132135e-03 6.1267601e-05], ([0.00070876 0.00081139 0.0001838 ]) 	 loss 4.182E-01 	 horizons 9.0
step 6210 	 return [2.0611794e-03 2.8139784e-03 6.7564346e-05], ([0.00044508 0.0005306  0.00020269]) 	 loss 3.965E-01 	 horizons 9.0
step 6300 	 return [0.00239848 0.00279221 0.        ], ([0.00039723 0.00039905 0.        ]) 	 loss 3.612E-01 	 horizons 9.0
step 6390 	 return [0.00278558 0.00264799 0.00040244], ([0.00080784 0.00042957 0.00049772]) 	 loss 3.835E-01 	 horizons 9.0
step 6480 	 return [0.0023542  0.00236735 0.00029926], ([0.0004332  0.00053495 0.00046324]) 	 loss 3.748E-01 	 horizons 9.0
step 6570 	 return [0.         0.00563048 0.0042546 ], ([0.         0.00047858 0.00046221]) 	 loss 3.842E-01 	 horizons 9.0
step 6660 	 return [0.00247753 0.00272201 0.00043577], ([0.00061592 0.00028524 0.00054364]) 	 loss 3.415E-01 	 horizons 9.0
step 6750 	 return [0.00259027 0.00306053 0.00016689], ([0.00100146 0.0003269  0.00033424]) 	 loss 3.694E-01 	 horizons 9.0
step 6840 	 return [0.00064218 0.00450867 0.00062848], ([0.00035274 0.00077346 0.00125704]) 	 loss 4.020E-01 	 horizons 9.0
step 6930 	 return [0.         0.00470416 0.00557292], ([0.         0.00056454 0.00033624]) 	 loss 3.823E-01 	 horizons 9.0
step 7020 	 return [0.001443   0.00139379 0.00154929], ([0.00022016 0.0003406  0.00030036]) 	 loss 4.008E-01 	 horizons 9.0
step 7110 	 return [0.00319371 0.00254599 0.0003925 ], ([0.00081039 0.00052554 0.00048883]) 	 loss 3.596E-01 	 horizons 9.0
step 7200 	 return [0.00132235 0.00232479 0.00202444], ([0.00035055 0.00048332 0.00089391]) 	 loss 3.695E-01 	 horizons 9.0
step 7290 	 return [0.00253397 0.00239393 0.00037024], ([0.00088834 0.00082992 0.00049578]) 	 loss 3.348E-01 	 horizons 9.0
step 7380 	 return [0.00247297 0.00301099 0.00062008], ([0.00091198 0.00042235 0.00104618]) 	 loss 3.591E-01 	 horizons 9.0
step 7470 	 return [0.00151008 0.00275943 0.00136589], ([0.00043552 0.00044638 0.00137198]) 	 loss 3.682E-01 	 horizons 9.0
step 7560 	 return [0.0012428  0.00240834 0.00222705], ([0.00035856 0.00042657 0.00094606]) 	 loss 3.495E-01 	 horizons 9.0
step 7650 	 return [0.00136404 0.00191004 0.00110481], ([3.4245195e-06 6.7264307e-05 3.0169036e-04]) 	 loss 3.167E-01 	 horizons 9.0
step 7740 	 return [0.00109328 0.00283485 0.00307145], ([3.3471544e-05 2.4137837e-04 1.4944472e-04]) 	 loss 3.028E-01 	 horizons 9.0
step 7830 	 return [0.00108131 0.00259467 0.00291591], ([2.6411461e-05 2.0425512e-04 2.2498672e-04]) 	 loss 3.119E-01 	 horizons 9.0
step 7920 	 return [0.         0.00416159 0.00576733], ([0.         0.00076551 0.00033475]) 	 loss 2.986E-01 	 horizons 9.0
step 8010 	 return [0.00319394 0.00225486 0.00038013], ([0.00065744 0.00038649 0.00048579]) 	 loss 2.698E-01 	 horizons 9.0
step 8100 	 return [0.00238262 0.00276589 0.00064749], ([0.0005915  0.00025679 0.00080344]) 	 loss 2.639E-01 	 horizons 9.0
step 8190 	 return [0.00357886 0.00149339 0.00030236], ([0.00026359 0.00042724 0.00034541]) 	 loss 2.728E-01 	 horizons 9.0
step 8280 	 return [0.00289396 0.0029705  0.00030473], ([0.00073325 0.00056631 0.0004714 ]) 	 loss 2.634E-01 	 horizons 9.0
step 8370 	 return [0.00295163 0.0021963  0.00086885], ([0.00025378 0.00023278 0.00033206]) 	 loss 2.645E-01 	 horizons 9.0
step 8460 	 return [0.00308713 0.00225506 0.0007992 ], ([0.00045133 0.00027786 0.00042495]) 	 loss 2.645E-01 	 horizons 9.0
step 8550 	 return [0.00329132 0.00247012 0.00069235], ([0.00029056 0.00038973 0.0004691 ]) 	 loss 2.635E-01 	 horizons 9.0
step 8640 	 return [0.00122451 0.00331231 0.00295566], ([0.00088502 0.00049165 0.00145857]) 	 loss 2.449E-01 	 horizons 9.0
step 8730 	 return [0.00331723 0.00209007 0.00070773], ([0.00030568 0.00048767 0.00047567]) 	 loss 2.213E-01 	 horizons 9.0
step 8820 	 return [0.0001127  0.00333391 0.00574494], ([0.00033811 0.00052675 0.00069513]) 	 loss 2.145E-01 	 horizons 9.0
step 8910 	 return [0.00317307 0.00219146 0.00078088], ([0.00021686 0.00014156 0.00035472]) 	 loss 2.197E-01 	 horizons 9.0
step 9000 	 return [0.         0.00495362 0.00545495], ([0.0000000e+00 4.5427123e-06 1.6716057e-04]) 	 loss 2.267E-01 	 horizons 9.0
step 9090 	 return [0.00010841 0.00367268 0.00481945], ([0.00032523 0.00027022 0.00066361]) 	 loss 1.876E-01 	 horizons 9.0
step 9180 	 return [0.         0.00450817 0.00603905], ([0.         0.00037103 0.00043051]) 	 loss 2.361E-01 	 horizons 9.0
step 9270 	 return [0.         0.00437852 0.00593928], ([0.         0.00043199 0.00044882]) 	 loss 1.857E-01 	 horizons 9.0
