step 7673 	 return [0.00480489 0.00863118 0.00577585], ([0.00266329 0.00168374 0.00290464]) 	 loss 7.877E-01 	 horizons 19.0
step 7863 	 return [0.00518156 0.00980299 0.00714312], ([0.00184316 0.0015183  0.00169898]) 	 loss 7.711E-01 	 horizons 19.0
step 8053 	 return [0.00560652 0.00945327 0.00858811], ([0.00191273 0.00191163 0.00325426]) 	 loss 7.399E-01 	 horizons 19.0
step 8243 	 return [0.00496494 0.00759611 0.00711093], ([0.00179794 0.00230774 0.00282983]) 	 loss 7.485E-01 	 horizons 19.0
step 8433 	 return [0.00530391 0.00884809 0.00673864], ([0.00179796 0.00247263 0.00291339]) 	 loss 7.363E-01 	 horizons 19.0
step 8623 	 return [0.00375241 0.00914369 0.00817749], ([0.00152192 0.00132506 0.00216917]) 	 loss 7.612E-01 	 horizons 19.0
step 8813 	 return [0.00552247 0.00904645 0.00638584], ([0.00206176 0.00269841 0.00299183]) 	 loss 7.561E-01 	 horizons 19.0
step 9003 	 return [0.00641796 0.0095567  0.00486321], ([0.00286943 0.00319437 0.00279508]) 	 loss 7.348E-01 	 horizons 19.0
step 9193 	 return [0.0078523  0.0093868  0.00385022], ([0.00158575 0.00276069 0.00197494]) 	 loss 7.187E-01 	 horizons 19.0
step 9383 	 return [0.00626011 0.01018138 0.00776259], ([0.00359315 0.00119466 0.00254127]) 	 loss 7.116E-01 	 horizons 19.0
step 9573 	 return [0.00777694 0.01016082 0.00641717], ([0.00315521 0.0025433  0.00289726]) 	 loss 7.038E-01 	 horizons 19.0
step 9763 	 return [0.0054135  0.00818077 0.00820537], ([0.00274561 0.00301988 0.00375409]) 	 loss 7.075E-01 	 horizons 19.0
step 9953 	 return [0.00649234 0.00975357 0.00714346], ([0.00164552 0.00185167 0.00206134]) 	 loss 6.774E-01 	 horizons 19.0
step 10143 	 return [0.00487016 0.00996493 0.00843486], ([0.00173887 0.00168473 0.00283365]) 	 loss 6.805E-01 	 horizons 19.0
step 10333 	 return [0.00419667 0.00973278 0.00897665], ([0.00122462 0.00157796 0.00130183]) 	 loss 6.774E-01 	 horizons 19.0
step 10523 	 return [0.0067169  0.00871952 0.00451464], ([0.00158749 0.00174768 0.0014781 ]) 	 loss 6.557E-01 	 horizons 19.0
step 10713 	 return [0.00758582 0.00977667 0.00661705], ([0.00218265 0.00162209 0.00244157]) 	 loss 6.390E-01 	 horizons 19.0
step 10903 	 return [0.00684564 0.01002836 0.00724048], ([0.00161759 0.00147338 0.00360267]) 	 loss 6.445E-01 	 horizons 19.0
step 11093 	 return [0.00594369 0.01056603 0.00796074], ([0.0024779  0.0014359  0.00236143]) 	 loss 6.292E-01 	 horizons 19.0
step 11283 	 return [0.00694974 0.00997736 0.00689442], ([0.00234512 0.00154704 0.00263484]) 	 loss 6.214E-01 	 horizons 19.0
step 11473 	 return [0.00797157 0.01037413 0.0060164 ], ([0.00297801 0.00147423 0.00257919]) 	 loss 6.053E-01 	 horizons 19.0
step 11663 	 return [0.00567302 0.01074319 0.00738254], ([0.00225123 0.00119728 0.0021638 ]) 	 loss 5.964E-01 	 horizons 19.0
step 11853 	 return [0.0057555  0.0100514  0.00823184], ([0.0024672  0.00092892 0.00266564]) 	 loss 6.025E-01 	 horizons 19.0
step 12043 	 return [0.00661174 0.01062054 0.00772292], ([0.00171154 0.00137958 0.00296616]) 	 loss 5.884E-01 	 horizons 19.0
step 12233 	 return [0.00540057 0.00970505 0.0088707 ], ([0.00143786 0.00107289 0.0016228 ]) 	 loss 5.695E-01 	 horizons 19.0
step 12423 	 return [0.00676193 0.01070506 0.00847854], ([0.00211306 0.00122006 0.00145766]) 	 loss 5.574E-01 	 horizons 19.0
step 12613 	 return [0.00614397 0.01019894 0.00854209], ([0.00155244 0.00183514 0.00303382]) 	 loss 5.329E-01 	 horizons 19.0
step 12803 	 return [0.00657803 0.01092991 0.00878934], ([0.0014149  0.00092452 0.00212053]) 	 loss 5.236E-01 	 horizons 19.0
step 12993 	 return [0.00933653 0.01018545 0.00525292], ([0.00283777 0.00109611 0.00220739]) 	 loss 5.850E-01 	 horizons 19.0
step 13183 	 return [0.00687288 0.01147692 0.00770449], ([0.00217884 0.00171074 0.00287576]) 	 loss 5.459E-01 	 horizons 19.0
step 13373 	 return [0.00740845 0.01054462 0.00705668], ([0.00218457 0.00165627 0.00260148]) 	 loss 5.282E-01 	 horizons 19.0
