step 7580 	 return [0.00317952 0.00638303 0.00499084], ([0.00228373 0.00248328 0.00294462]) 	 loss 7.105E-01 	 horizons 19.0
step 7770 	 return [0.00446131 0.00754127 0.00594099], ([0.00154731 0.00247246 0.00146383]) 	 loss 6.856E-01 	 horizons 19.0
step 7960 	 return [0.00444191 0.00834161 0.00608674], ([0.00173783 0.00115909 0.00253583]) 	 loss 7.114E-01 	 horizons 19.0
step 8150 	 return [0.0040688  0.00669707 0.0046352 ], ([0.00117808 0.00252114 0.00173251]) 	 loss 6.875E-01 	 horizons 19.0
step 8340 	 return [0.00460302 0.00903913 0.00785894], ([0.00088821 0.0023688  0.00155494]) 	 loss 6.997E-01 	 horizons 19.0
step 8530 	 return [0.0040992  0.00807394 0.00745163], ([0.0009967  0.00160983 0.00197809]) 	 loss 6.765E-01 	 horizons 19.0
step 8720 	 return [0.00455091 0.00982533 0.00817721], ([0.00153758 0.00147183 0.00162194]) 	 loss 6.703E-01 	 horizons 19.0
step 8910 	 return [0.00389575 0.00944138 0.00831004], ([0.00130511 0.00159247 0.00219858]) 	 loss 6.470E-01 	 horizons 19.0
step 9100 	 return [0.00405885 0.0092265  0.00863875], ([0.00145149 0.00155236 0.00223787]) 	 loss 6.666E-01 	 horizons 19.0
step 9290 	 return [0.00519494 0.01015596 0.00796434], ([0.00108033 0.00083666 0.00205918]) 	 loss 6.384E-01 	 horizons 19.0
step 9480 	 return [0.00525652 0.00966676 0.00733833], ([0.00041338 0.00193574 0.00122559]) 	 loss 6.287E-01 	 horizons 19.0
step 9670 	 return [0.00376077 0.00785009 0.00730343], ([0.00233402 0.00186669 0.00097745]) 	 loss 6.436E-01 	 horizons 19.0
step 9860 	 return [0.00429679 0.00911805 0.00772858], ([0.00187942 0.00165838 0.0026397 ]) 	 loss 6.538E-01 	 horizons 19.0
step 10050 	 return [0.00457337 0.00969539 0.0071444 ], ([0.00163736 0.00176368 0.0021662 ]) 	 loss 6.222E-01 	 horizons 19.0
step 10240 	 return [0.00516084 0.00937133 0.0075889 ], ([0.00110228 0.00216191 0.00097496]) 	 loss 5.939E-01 	 horizons 19.0
step 10430 	 return [0.00572066 0.01000716 0.00743296], ([0.00087763 0.0018719  0.0015391 ]) 	 loss 5.764E-01 	 horizons 19.0
step 10620 	 return [0.00540127 0.00978217 0.00750385], ([0.00112592 0.00121781 0.00199663]) 	 loss 5.922E-01 	 horizons 19.0
