step 3060 	 return [0.00119283 0.00463526 0.00145204 0.00111602 0.        ], ([0.00107307 0.00176383 0.00091672 0.00113093 0.        ]) 	 loss 5.523E-01 	 horizons 9.0
step 3150 	 return [0.00010635 0.00596447 0.00452873 0.00137115 0.        ], ([0.00031905 0.0013257  0.00113873 0.0003236  0.        ]) 	 loss 4.984E-01 	 horizons 9.0
step 3240 	 return [0.         0.         0.0034939  0.00474877 0.00835549], ([0.         0.         0.00130004 0.00132385 0.00188621]) 	 loss 5.166E-01 	 horizons 9.0
step 3330 	 return [0.00241046 0.00531133 0.00076141 0.00112461 0.        ], ([0.0011243  0.00275681 0.00042374 0.0002293  0.        ]) 	 loss 5.208E-01 	 horizons 9.0
step 3420 	 return [0.0023207  0.0040224  0.00064367 0.0011419  0.        ], ([0.00079872 0.00230142 0.00026835 0.00040893 0.        ]) 	 loss 4.991E-01 	 horizons 9.0
step 3510 	 return [0.         0.00649384 0.00441221 0.00172369 0.00013883], ([0.         0.00232363 0.0011106  0.0010182  0.00041649]) 	 loss 4.800E-01 	 horizons 9.0
step 3600 	 return [0.00209846 0.00633143 0.00142107 0.00105391 0.        ], ([0.00111992 0.00145882 0.0009367  0.0002377  0.        ]) 	 loss 4.706E-01 	 horizons 9.0
step 3690 	 return [0.00013852 0.00026903 0.00283459 0.0035059  0.00912083], ([0.00041557 0.00080708 0.00170285 0.0014807  0.00396313]) 	 loss 4.675E-01 	 horizons 9.0
step 3780 	 return [0.         0.         0.00608036 0.00495256 0.00640494], ([0.         0.         0.00014748 0.00092393 0.00114579]) 	 loss 4.881E-01 	 horizons 9.0
step 3870 	 return [0.00054924 0.00660676 0.00315344 0.00129934 0.        ], ([0.00089013 0.00095003 0.00101662 0.00017386 0.        ]) 	 loss 4.269E-01 	 horizons 9.0
step 3960 	 return [0.         0.         0.00574443 0.00559422 0.00617143], ([0.         0.         0.00073446 0.00060893 0.00116206]) 	 loss 4.019E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.00310375 0.00400239 0.01014523], ([0.         0.         0.0012679  0.00164636 0.0030214 ]) 	 loss 4.182E-01 	 horizons 9.0
step 4140 	 return [0.00316576 0.00582438 0.00094013 0.00095915 0.        ], ([0.00044673 0.00121373 0.00075456 0.00028426 0.        ]) 	 loss 4.057E-01 	 horizons 9.0
step 4230 	 return [0.         0.00562079 0.00456165 0.00133725 0.0001578 ], ([0.         0.0021308  0.00099324 0.00068499 0.00047339]) 	 loss 3.867E-01 	 horizons 9.0
step 4320 	 return [0.         0.         0.00601871 0.00494833 0.00644759], ([0.         0.         0.00014825 0.0005923  0.00061933]) 	 loss 3.824E-01 	 horizons 9.0
step 4410 	 return [0.         0.         0.00601543 0.004949   0.00605254], ([0.         0.         0.00015264 0.00081077 0.000645  ]) 	 loss 3.511E-01 	 horizons 9.0
step 4500 	 return [0.         0.00614372 0.00520026 0.00165571 0.00013883], ([0.         0.00216482 0.00067321 0.00103564 0.00041649]) 	 loss 3.744E-01 	 horizons 9.0
