step 7660 	 return [0.00513806 0.00884292 0.00743337], ([0.00205472 0.00115034 0.00116117]) 	 loss 7.245E-01 	 horizons 19.0
step 7850 	 return [0.00533627 0.00844275 0.00730343], ([0.00139061 0.00311247 0.00236385]) 	 loss 7.154E-01 	 horizons 19.0
step 8040 	 return [0.00573611 0.00797037 0.00563183], ([0.0010955  0.00242271 0.0020485 ]) 	 loss 7.114E-01 	 horizons 19.0
step 8230 	 return [0.00579282 0.00949263 0.00750962], ([0.00116559 0.00183589 0.0015834 ]) 	 loss 7.036E-01 	 horizons 19.0
step 8420 	 return [0.00553078 0.00855736 0.00617167], ([0.00089834 0.00180854 0.00152542]) 	 loss 6.860E-01 	 horizons 19.0
step 8610 	 return [0.00650498 0.00854777 0.00630721], ([0.00202019 0.00193471 0.00256068]) 	 loss 6.956E-01 	 horizons 19.0
step 8800 	 return [0.00620519 0.00911009 0.00732333], ([0.00145415 0.00078586 0.00106297]) 	 loss 6.982E-01 	 horizons 19.0
step 8990 	 return [0.00623386 0.01057107 0.00785654], ([0.00059903 0.00170423 0.00147835]) 	 loss 6.688E-01 	 horizons 19.0
step 9180 	 return [0.00664195 0.009537   0.00597683], ([0.00259189 0.001628   0.00242021]) 	 loss 6.439E-01 	 horizons 19.0
step 9370 	 return [0.00646551 0.00945727 0.00616217], ([0.00171901 0.00191835 0.00229098]) 	 loss 6.402E-01 	 horizons 19.0
step 9560 	 return [0.00600427 0.01030954 0.00720462], ([0.00188179 0.00145028 0.00254181]) 	 loss 6.225E-01 	 horizons 19.0
step 9750 	 return [0.00687096 0.01075036 0.00658079], ([0.00117442 0.00228585 0.00112902]) 	 loss 6.306E-01 	 horizons 19.0
step 9940 	 return [0.00701661 0.01020327 0.00754163], ([0.00141083 0.00189053 0.00178246]) 	 loss 5.953E-01 	 horizons 19.0
step 10130 	 return [0.00718766 0.01116945 0.00753551], ([0.00177776 0.00183099 0.00309991]) 	 loss 6.217E-01 	 horizons 19.0
step 10320 	 return [0.00680464 0.01029116 0.00777948], ([0.00101527 0.00120987 0.00120266]) 	 loss 5.828E-01 	 horizons 19.0
step 10510 	 return [0.00647859 0.0099566  0.00857522], ([0.00195328 0.00144639 0.0032562 ]) 	 loss 5.672E-01 	 horizons 19.0
step 10700 	 return [0.00732249 0.01116545 0.00816549], ([0.00136202 0.00108219 0.00170333]) 	 loss 5.576E-01 	 horizons 19.0
step 10890 	 return [0.00661668 0.01054904 0.00805533], ([0.00144016 0.00193201 0.00178034]) 	 loss 5.566E-01 	 horizons 19.0
step 11080 	 return [0.00716256 0.01094677 0.00771773], ([0.00176542 0.00185756 0.00310603]) 	 loss 5.449E-01 	 horizons 19.0
step 11270 	 return [0.00693865 0.01091499 0.00796016], ([0.00130544 0.00211227 0.00141423]) 	 loss 5.564E-01 	 horizons 19.0
step 11460 	 return [0.00618699 0.01088657 0.00724011], ([0.0012507  0.00194342 0.00187382]) 	 loss 5.496E-01 	 horizons 19.0
step 11650 	 return [0.00793947 0.0113314  0.00856309], ([0.00182269 0.00163018 0.00275987]) 	 loss 5.192E-01 	 horizons 19.0
step 11840 	 return [0.00657918 0.0117375  0.00809207], ([0.0012706  0.00183855 0.00152211]) 	 loss 4.950E-01 	 horizons 19.0
step 12030 	 return [0.00789768 0.01165366 0.00834041], ([0.00223253 0.0016149  0.0032342 ]) 	 loss 5.207E-01 	 horizons 19.0
step 12220 	 return [0.00774689 0.01100433 0.00856301], ([0.00136585 0.00128069 0.00204603]) 	 loss 4.945E-01 	 horizons 19.0
step 12410 	 return [0.00711374 0.01029965 0.00808609], ([0.00107739 0.00133294 0.00164606]) 	 loss 4.985E-01 	 horizons 19.0
step 12600 	 return [0.00729813 0.01116591 0.00832138], ([0.00160459 0.00142099 0.00247085]) 	 loss 4.784E-01 	 horizons 19.0
step 12790 	 return [0.00711418 0.01063152 0.00913225], ([0.00124416 0.00207743 0.00151221]) 	 loss 4.962E-01 	 horizons 19.0
step 12980 	 return [0.00862364 0.01199764 0.00485472], ([0.0019342  0.00149051 0.0022854 ]) 	 loss 4.583E-01 	 horizons 19.0
step 13170 	 return [0.0078902  0.01229703 0.00793221], ([0.00098214 0.00196455 0.00349381]) 	 loss 4.390E-01 	 horizons 19.0
step 13360 	 return [0.00850851 0.01237064 0.00648951], ([0.00187951 0.00131737 0.00343519]) 	 loss 4.429E-01 	 horizons 19.0
