step 7656 	 return [0.00471146 0.00672127 0.00550113], ([0.00139816 0.00199078 0.00274107]) 	 loss 7.191E-01 	 horizons 19.0
step 7846 	 return [0.00434409 0.00678319 0.00690852], ([0.00183277 0.00173395 0.00324423]) 	 loss 6.968E-01 	 horizons 19.0
step 8036 	 return [0.00338207 0.00704645 0.0062477 ], ([0.00101019 0.00148018 0.00224485]) 	 loss 7.070E-01 	 horizons 19.0
step 8226 	 return [0.00462114 0.00660746 0.00508031], ([0.00230145 0.00211549 0.00215495]) 	 loss 7.216E-01 	 horizons 19.0
step 8416 	 return [0.00404357 0.0092931  0.00767394], ([0.00095648 0.00204772 0.00228188]) 	 loss 7.105E-01 	 horizons 19.0
step 8606 	 return [0.00317269 0.00727487 0.00803968], ([0.00132222 0.0017703  0.00259053]) 	 loss 7.295E-01 	 horizons 19.0
step 8796 	 return [0.00353387 0.00843703 0.00780147], ([0.00124504 0.0017425  0.00198739]) 	 loss 7.271E-01 	 horizons 19.0
step 8986 	 return [0.00268962 0.0068635  0.00779744], ([0.00193443 0.00209013 0.00291928]) 	 loss 6.861E-01 	 horizons 19.0
step 9176 	 return [0.00389306 0.00838405 0.00576053], ([0.00171943 0.00221291 0.00219242]) 	 loss 6.906E-01 	 horizons 19.0
step 9366 	 return [0.00432361 0.00855952 0.00817619], ([0.002609   0.00172495 0.00223419]) 	 loss 6.875E-01 	 horizons 19.0
step 9556 	 return [0.00535086 0.00867082 0.00716681], ([0.00146556 0.00159918 0.00104331]) 	 loss 6.614E-01 	 horizons 19.0
step 9746 	 return [0.0033599  0.00802603 0.00831925], ([0.00179312 0.00208393 0.00205874]) 	 loss 6.370E-01 	 horizons 19.0
step 9936 	 return [0.003112   0.00947833 0.00892398], ([0.00085751 0.00191137 0.00180666]) 	 loss 6.860E-01 	 horizons 19.0
step 10126 	 return [0.00516411 0.00892768 0.00586051], ([0.00278114 0.00221185 0.00236693]) 	 loss 6.534E-01 	 horizons 19.0
step 10316 	 return [0.00442654 0.00750101 0.00622151], ([0.00120925 0.0021582  0.00219419]) 	 loss 6.407E-01 	 horizons 19.0
