step 7632 	 return [0.00415625 0.00814183 0.0077318 ], ([0.00190949 0.00134904 0.00154733]) 	 loss 7.311E-01 	 horizons 19.0
step 7822 	 return [0.00587136 0.00941907 0.00712291], ([0.00152717 0.00203513 0.00149729]) 	 loss 7.325E-01 	 horizons 19.0
step 8012 	 return [0.00487814 0.00926191 0.00726843], ([0.00153782 0.00209855 0.00225793]) 	 loss 7.175E-01 	 horizons 19.0
step 8202 	 return [0.00530999 0.01032021 0.00728264], ([0.00179474 0.00107073 0.000669  ]) 	 loss 7.266E-01 	 horizons 19.0
step 8392 	 return [0.00636369 0.00913358 0.00521227], ([0.00204008 0.00303456 0.00233802]) 	 loss 7.160E-01 	 horizons 19.0
step 8582 	 return [0.00653468 0.01003485 0.00667792], ([0.00181066 0.00145291 0.00284538]) 	 loss 7.211E-01 	 horizons 19.0
step 8772 	 return [0.00593519 0.01020191 0.00868682], ([0.00153512 0.00099361 0.00118524]) 	 loss 6.950E-01 	 horizons 19.0
step 8962 	 return [0.00627295 0.00997909 0.00756221], ([0.00141683 0.00125273 0.00159087]) 	 loss 7.123E-01 	 horizons 19.0
step 9152 	 return [0.00715445 0.00946188 0.00575176], ([0.00260071 0.00200171 0.00227346]) 	 loss 6.879E-01 	 horizons 19.0
step 9342 	 return [0.00624631 0.00997699 0.00789937], ([0.00131704 0.00082205 0.0014253 ]) 	 loss 6.627E-01 	 horizons 19.0
step 9532 	 return [0.00563833 0.00847874 0.00729102], ([0.00192747 0.00180986 0.00181636]) 	 loss 6.617E-01 	 horizons 19.0
step 9722 	 return [0.00586046 0.0100111  0.0082717 ], ([0.00149486 0.00179768 0.00189351]) 	 loss 6.719E-01 	 horizons 19.0
step 9912 	 return [0.00610421 0.00971693 0.0070837 ], ([0.00189156 0.00122852 0.00131464]) 	 loss 6.497E-01 	 horizons 19.0
step 10102 	 return [0.00722834 0.01090457 0.00720664], ([0.00195263 0.00169107 0.00113709]) 	 loss 6.563E-01 	 horizons 19.0
step 10292 	 return [0.0068205  0.01117065 0.00699284], ([0.00149737 0.0007704  0.00191321]) 	 loss 6.427E-01 	 horizons 19.0
step 10482 	 return [0.00606819 0.00871952 0.00604884], ([0.00180117 0.00314343 0.00251295]) 	 loss 6.243E-01 	 horizons 19.0
step 10672 	 return [0.00688651 0.00960337 0.00734432], ([0.00221565 0.00094869 0.00234886]) 	 loss 6.143E-01 	 horizons 19.0
step 10862 	 return [0.00673519 0.01114552 0.00770751], ([0.00185944 0.00227606 0.00177029]) 	 loss 6.178E-01 	 horizons 19.0
step 11052 	 return [0.00710109 0.01112796 0.00711764], ([0.00160208 0.00101323 0.00224655]) 	 loss 5.972E-01 	 horizons 19.0
step 11242 	 return [0.00603198 0.01168946 0.00794599], ([0.00155202 0.00146493 0.00149956]) 	 loss 5.831E-01 	 horizons 19.0
step 11432 	 return [0.00754002 0.01140957 0.00714618], ([0.00105747 0.00106338 0.00224192]) 	 loss 5.462E-01 	 horizons 19.0
step 11622 	 return [0.00661785 0.01109405 0.00839242], ([0.00099208 0.0013867  0.00158595]) 	 loss 5.593E-01 	 horizons 19.0
step 11812 	 return [0.00807484 0.01232798 0.00602335], ([0.00102098 0.00112464 0.00073806]) 	 loss 5.096E-01 	 horizons 19.0
step 12002 	 return [0.00732715 0.01129572 0.00720779], ([0.00059941 0.0012704  0.00124016]) 	 loss 5.347E-01 	 horizons 19.0
step 12192 	 return [0.00803892 0.01185445 0.00614331], ([0.00071467 0.00080027 0.00111653]) 	 loss 5.067E-01 	 horizons 19.0
step 12382 	 return [0.00750889 0.01222874 0.00728515], ([0.00125754 0.00173624 0.00171023]) 	 loss 5.033E-01 	 horizons 19.0
step 12572 	 return [0.007768   0.01267193 0.00734887], ([0.00062963 0.00101432 0.00133432]) 	 loss 4.980E-01 	 horizons 19.0
step 12762 	 return [0.00712573 0.01262489 0.00761204], ([0.00109268 0.00134709 0.00117546]) 	 loss 4.611E-01 	 horizons 19.0
step 12952 	 return [0.00791767 0.01117567 0.00804277], ([0.00077824 0.00108825 0.00170759]) 	 loss 4.897E-01 	 horizons 19.0
step 13142 	 return [0.00728954 0.01150734 0.0086119 ], ([0.00076583 0.00130545 0.00121725]) 	 loss 4.744E-01 	 horizons 19.0
step 13332 	 return [0.00729933 0.01089081 0.00831324], ([0.00087323 0.00060674 0.00099251]) 	 loss 4.532E-01 	 horizons 19.0
step 13522 	 return [0.00749449 0.0111082  0.00814953], ([0.00067109 0.00099402 0.0010747 ]) 	 loss 4.502E-01 	 horizons 19.0
step 13712 	 return [0.00750724 0.01200082 0.00752871], ([0.00085501 0.00109104 0.00105454]) 	 loss 4.326E-01 	 horizons 19.0
step 13902 	 return [0.00753061 0.01211194 0.00818955], ([0.00093599 0.00113747 0.00137815]) 	 loss 4.319E-01 	 horizons 19.0
step 14092 	 return [0.00718054 0.01095525 0.0090713 ], ([0.00085294 0.00109223 0.00121494]) 	 loss 4.253E-01 	 horizons 19.0
step 14282 	 return [0.0075861  0.011242   0.00681788], ([0.00084583 0.00131875 0.00151324]) 	 loss 4.232E-01 	 horizons 19.0
step 14472 	 return [0.00746184 0.01139739 0.0087905 ], ([0.00058473 0.00127992 0.00127642]) 	 loss 4.177E-01 	 horizons 19.0
step 14662 	 return [0.00797775 0.01271587 0.00678332], ([0.00081263 0.00089454 0.00111056]) 	 loss 4.187E-01 	 horizons 19.0
step 14852 	 return [0.00783716 0.01228997 0.00744302], ([0.00073651 0.00092914 0.00116286]) 	 loss 3.739E-01 	 horizons 19.0
step 15042 	 return [0.00679907 0.01079179 0.00919142], ([0.00048848 0.00078583 0.0012701 ]) 	 loss 3.810E-01 	 horizons 19.0
step 15232 	 return [0.00840876 0.01285469 0.00642221], ([0.00070889 0.0008753  0.00042571]) 	 loss 4.149E-01 	 horizons 19.0
step 15422 	 return [0.00803277 0.01168742 0.00769089], ([0.00084299 0.00108556 0.00197127]) 	 loss 3.970E-01 	 horizons 19.0
step 15612 	 return [0.00831461 0.0130791  0.00825182], ([0.00084049 0.00109574 0.00119402]) 	 loss 3.747E-01 	 horizons 19.0
step 15802 	 return [0.00770047 0.01130316 0.00899156], ([0.00080757 0.00082905 0.00119361]) 	 loss 3.671E-01 	 horizons 19.0
step 15992 	 return [0.00752475 0.01171156 0.00871239], ([0.00061648 0.00093603 0.00094424]) 	 loss 3.577E-01 	 horizons 19.0
step 16182 	 return [0.00759855 0.01047467 0.00970367], ([0.00073575 0.00136903 0.00200252]) 	 loss 3.750E-01 	 horizons 19.0
step 16372 	 return [0.00822317 0.01305616 0.00751579], ([0.00083227 0.00083501 0.00085931]) 	 loss 3.531E-01 	 horizons 19.0
step 16562 	 return [0.00826165 0.0116814  0.00793142], ([0.00100882 0.00063039 0.00189567]) 	 loss 3.670E-01 	 horizons 19.0
step 16752 	 return [0.00757625 0.01257962 0.00721422], ([0.00069294 0.00058971 0.00096189]) 	 loss 3.636E-01 	 horizons 19.0
step 16942 	 return [0.00805241 0.01119142 0.00883678], ([0.00130341 0.00152868 0.00197489]) 	 loss 3.543E-01 	 horizons 19.0
step 17132 	 return [0.00803431 0.01174465 0.00923162], ([0.00100762 0.00131965 0.00195532]) 	 loss 3.348E-01 	 horizons 19.0
step 17322 	 return [0.00801309 0.01164466 0.00908088], ([0.00079425 0.00109209 0.00093086]) 	 loss 3.468E-01 	 horizons 19.0
step 17512 	 return [0.00812484 0.01149452 0.00821638], ([0.00062701 0.00048991 0.0012146 ]) 	 loss 3.246E-01 	 horizons 19.0
step 17702 	 return [0.00789371 0.01187289 0.00903859], ([0.00053726 0.00087105 0.00130314]) 	 loss 3.228E-01 	 horizons 19.0
step 17892 	 return [0.00776065 0.01136702 0.00963674], ([0.00062235 0.00067351 0.00125585]) 	 loss 3.045E-01 	 horizons 19.0
step 18082 	 return [0.00865468 0.0121977  0.00927357], ([0.00096541 0.00101284 0.00145416]) 	 loss 3.169E-01 	 horizons 19.0
step 18272 	 return [0.00884691 0.01164171 0.00902007], ([0.0007465  0.00127175 0.00162398]) 	 loss 2.890E-01 	 horizons 19.0
step 18462 	 return [0.00880174 0.01214544 0.00788999], ([0.00084628 0.00122434 0.00114756]) 	 loss 3.106E-01 	 horizons 19.0
step 18652 	 return [0.00782619 0.01177014 0.00985647], ([0.00055861 0.00098623 0.001646  ]) 	 loss 2.878E-01 	 horizons 19.0
step 18842 	 return [0.00860197 0.01252987 0.00884229], ([0.00089952 0.00146589 0.00097477]) 	 loss 2.750E-01 	 horizons 19.0
step 19032 	 return [0.00880408 0.0118045  0.01014468], ([0.00066175 0.0010308  0.00213021]) 	 loss 2.664E-01 	 horizons 19.0
step 19222 	 return [0.00824438 0.0124056  0.00918196], ([0.00087034 0.00120277 0.00108145]) 	 loss 2.731E-01 	 horizons 19.0
step 19412 	 return [0.00856636 0.01192136 0.01014939], ([0.00078068 0.00105462 0.00167258]) 	 loss 2.756E-01 	 horizons 19.0
step 19602 	 return [0.00952654 0.0119276  0.00973573], ([0.00051295 0.00129545 0.00225938]) 	 loss 2.588E-01 	 horizons 19.0
step 19792 	 return [0.00815712 0.01208137 0.00984164], ([0.00069846 0.00062668 0.00118935]) 	 loss 2.447E-01 	 horizons 19.0
step 19982 	 return [0.00830654 0.01181829 0.01002732], ([0.00073301 0.00102906 0.00158466]) 	 loss 2.514E-01 	 horizons 19.0
step 20172 	 return [0.00913198 0.01297793 0.00867385], ([0.00093643 0.00157934 0.0012266 ]) 	 loss 2.431E-01 	 horizons 19.0
step 20362 	 return [0.0062617 0.009279  0.0114575], ([0.00091075 0.00105221 0.0013033 ]) 	 loss 2.409E-01 	 horizons 19.0
step 20552 	 return [0.00917993 0.01221934 0.00967604], ([0.00069949 0.00129673 0.00131952]) 	 loss 2.402E-01 	 horizons 19.0
step 20742 	 return [0.00832402 0.01137492 0.01076894], ([0.00071544 0.00100982 0.00197418]) 	 loss 2.449E-01 	 horizons 19.0
step 20932 	 return [0.00935886 0.01172869 0.00995824], ([0.00079421 0.00127933 0.00184841]) 	 loss 2.434E-01 	 horizons 19.0
step 21122 	 return [0.00949195 0.01227302 0.00857796], ([0.00064234 0.00138122 0.00173868]) 	 loss 2.068E-01 	 horizons 19.0
step 21312 	 return [0.00876446 0.01211481 0.00827289], ([0.0004492  0.00058691 0.00067273]) 	 loss 1.958E-01 	 horizons 19.0
step 21502 	 return [0.0080604  0.01046112 0.01115971], ([0.00098014 0.00065386 0.00100075]) 	 loss 1.932E-01 	 horizons 19.0
step 21692 	 return [0.01050591 0.01200746 0.0102472 ], ([0.00017904 0.00023643 0.00059846]) 	 loss 2.004E-01 	 horizons 19.0
step 21882 	 return [0.00755992 0.01137276 0.01154815], ([0.00105293 0.00103874 0.0005311 ]) 	 loss 1.924E-01 	 horizons 19.0
step 22072 	 return [0.00967587 0.01284407 0.00867573], ([0.00073749 0.00088515 0.00113605]) 	 loss 2.022E-01 	 horizons 19.0
step 22262 	 return [0.0090924  0.01200008 0.00969677], ([0.00118304 0.00066869 0.000887  ]) 	 loss 2.011E-01 	 horizons 19.0
step 22452 	 return [0.00941737 0.01217712 0.00992159], ([0.00048619 0.00025866 0.00086838]) 	 loss 2.124E-01 	 horizons 19.0
step 22642 	 return [0.00989253 0.01287211 0.00986334], ([0.00031676 0.00088377 0.0011637 ]) 	 loss 2.039E-01 	 horizons 19.0
step 22832 	 return [0.01013276 0.01258715 0.00988769], ([0.00082575 0.00116398 0.00109718]) 	 loss 2.049E-01 	 horizons 19.0
