step 7641 	 return [0.00393579 0.00884147 0.00840615], ([0.00182064 0.00200627 0.00264331]) 	 loss 7.786E-01 	 horizons 19.0
step 7831 	 return [0.00399726 0.00868434 0.0078265 ], ([0.00204142 0.00275789 0.00312264]) 	 loss 7.814E-01 	 horizons 19.0
step 8021 	 return [0.00470861 0.00848636 0.00673181], ([0.00206779 0.00230273 0.00214475]) 	 loss 7.824E-01 	 horizons 19.0
step 8211 	 return [0.00636866 0.00776952 0.00639617], ([0.0025519  0.0020305  0.00306715]) 	 loss 7.759E-01 	 horizons 19.0
step 8401 	 return [0.00550811 0.00929845 0.00734635], ([0.00228122 0.0013302  0.0025308 ]) 	 loss 7.406E-01 	 horizons 19.0
step 8591 	 return [0.0038291  0.00825839 0.0084043 ], ([0.00205736 0.00164923 0.00122917]) 	 loss 7.425E-01 	 horizons 19.0
step 8781 	 return [0.00589957 0.00916042 0.0076858 ], ([0.00178583 0.0020939  0.00188123]) 	 loss 7.144E-01 	 horizons 19.0
step 8971 	 return [0.00367885 0.00943041 0.00760755], ([0.00120224 0.00134458 0.00240825]) 	 loss 7.341E-01 	 horizons 19.0
step 9161 	 return [0.00503063 0.01000516 0.00932458], ([0.0021859  0.00120191 0.0014008 ]) 	 loss 6.921E-01 	 horizons 19.0
step 9351 	 return [0.00554912 0.00863026 0.00791904], ([0.00184031 0.00216483 0.00298314]) 	 loss 7.312E-01 	 horizons 19.0
step 9541 	 return [0.00728929 0.00526156 0.00505426], ([0.00196543 0.00239669 0.00320992]) 	 loss 6.723E-01 	 horizons 19.0
step 9731 	 return [0.00510704 0.00983355 0.00748672], ([0.00168002 0.00107808 0.00122888]) 	 loss 6.403E-01 	 horizons 19.0
step 9921 	 return [0.00695593 0.01068861 0.00827259], ([0.00188025 0.00119473 0.00285906]) 	 loss 6.635E-01 	 horizons 19.0
step 10111 	 return [0.00460467 0.00912483 0.00783754], ([0.00186008 0.00254357 0.00271813]) 	 loss 6.589E-01 	 horizons 19.0
step 10301 	 return [0.00655837 0.00714364 0.00670113], ([0.00103842 0.00262234 0.0019085 ]) 	 loss 6.437E-01 	 horizons 19.0
step 10491 	 return [0.00526735 0.00929448 0.00863297], ([0.00157312 0.00152982 0.00168094]) 	 loss 6.448E-01 	 horizons 19.0
step 10681 	 return [0.00425481 0.01010797 0.00916523], ([0.00140234 0.00158279 0.00168794]) 	 loss 6.192E-01 	 horizons 19.0
step 10871 	 return [0.0049918  0.01028962 0.00901734], ([0.00164282 0.00191853 0.00129617]) 	 loss 6.041E-01 	 horizons 19.0
step 11061 	 return [0.00639701 0.01060358 0.00698177], ([0.0019009  0.00138644 0.00324683]) 	 loss 6.232E-01 	 horizons 19.0
step 11251 	 return [0.00585248 0.01016796 0.00885528], ([0.00168242 0.0022077  0.00205261]) 	 loss 5.955E-01 	 horizons 19.0
step 11441 	 return [0.00591826 0.01044419 0.00976743], ([0.00128131 0.00188415 0.00193741]) 	 loss 5.680E-01 	 horizons 19.0
step 11631 	 return [0.00523599 0.01023716 0.00910636], ([0.0021888  0.00117976 0.00234742]) 	 loss 5.734E-01 	 horizons 19.0
step 11821 	 return [0.00761604 0.00584548 0.00476859], ([0.00201209 0.00220773 0.00220381]) 	 loss 5.573E-01 	 horizons 19.0
step 12011 	 return [0.00600259 0.01045962 0.0091674 ], ([0.00131598 0.00146039 0.00150507]) 	 loss 5.345E-01 	 horizons 19.0
step 12201 	 return [0.00600131 0.00998747 0.00895295], ([0.00178168 0.00103749 0.00201031]) 	 loss 5.472E-01 	 horizons 19.0
step 12391 	 return [0.00551223 0.01091548 0.00918057], ([0.00167426 0.00170425 0.00159431]) 	 loss 5.198E-01 	 horizons 19.0
step 12581 	 return [0.00571112 0.01077646 0.0090803 ], ([0.00194334 0.0013146  0.0019846 ]) 	 loss 5.225E-01 	 horizons 19.0
step 12771 	 return [0.00615211 0.01045086 0.0082891 ], ([0.00217777 0.00180817 0.0013326 ]) 	 loss 5.038E-01 	 horizons 19.0
step 12961 	 return [0.00590243 0.0110464  0.00901397], ([0.00196322 0.00158369 0.00117438]) 	 loss 5.029E-01 	 horizons 19.0
step 13151 	 return [0.00611739 0.01005162 0.01007504], ([0.00164575 0.00145115 0.00211497]) 	 loss 5.106E-01 	 horizons 19.0
step 13341 	 return [0.00614174 0.01136905 0.00806164], ([0.00181977 0.00279408 0.00244283]) 	 loss 4.784E-01 	 horizons 19.0
step 13531 	 return [0.00631064 0.0100606  0.00976895], ([0.00167815 0.00147435 0.0016416 ]) 	 loss 4.839E-01 	 horizons 19.0
step 13721 	 return [0.00550987 0.01054123 0.00954015], ([0.00188766 0.00151561 0.00064897]) 	 loss 4.698E-01 	 horizons 19.0
step 13911 	 return [0.00671547 0.01124262 0.01000407], ([0.00180273 0.00151031 0.00179313]) 	 loss 4.716E-01 	 horizons 19.0
step 14101 	 return [0.00546101 0.01034537 0.00924002], ([0.00215446 0.00157646 0.00219239]) 	 loss 4.540E-01 	 horizons 19.0
step 14291 	 return [0.00598879 0.01071527 0.01046048], ([0.00126653 0.00160717 0.00201833]) 	 loss 4.381E-01 	 horizons 19.0
step 14481 	 return [0.00635053 0.01083279 0.00933777], ([0.00164207 0.00136016 0.00175496]) 	 loss 4.307E-01 	 horizons 19.0
step 14671 	 return [0.00707622 0.0109265  0.00996762], ([0.00156697 0.00214619 0.00215293]) 	 loss 4.408E-01 	 horizons 19.0
step 14861 	 return [0.00640093 0.01145054 0.01043562], ([0.00167061 0.00197844 0.00165426]) 	 loss 4.175E-01 	 horizons 19.0
step 15051 	 return [0.00536986 0.00956864 0.01023351], ([0.00178742 0.00102272 0.00117681]) 	 loss 4.087E-01 	 horizons 19.0
step 15241 	 return [0.00581769 0.01137403 0.01094887], ([0.00122284 0.00115636 0.00173929]) 	 loss 4.112E-01 	 horizons 19.0
step 15431 	 return [0.00683089 0.01094109 0.01060469], ([0.00183126 0.00178581 0.00120879]) 	 loss 3.956E-01 	 horizons 19.0
step 15621 	 return [0.00723547 0.01169027 0.00942138], ([0.00181212 0.00243842 0.00347853]) 	 loss 3.812E-01 	 horizons 19.0
step 15811 	 return [0.00784957 0.0106444  0.01117827], ([0.00087491 0.00193318 0.00154481]) 	 loss 3.683E-01 	 horizons 19.0
step 16001 	 return [0.00704476 0.01063259 0.00886482], ([0.00062844 0.00107236 0.00117149]) 	 loss 4.111E-01 	 horizons 19.0
step 16191 	 return [0.00680258 0.01058836 0.01125831], ([0.00084521 0.00147032 0.0012911 ]) 	 loss 3.895E-01 	 horizons 19.0
