step 7693 	 return [0.00425994 0.00796325 0.00811551], ([0.00170649 0.00174347 0.00264618]) 	 loss 8.172E-01 	 horizons 19.0
step 7883 	 return [0.00353926 0.00813915 0.00785383], ([0.00113508 0.00191314 0.00174634]) 	 loss 8.054E-01 	 horizons 19.0
step 8073 	 return [0.00386626 0.00837732 0.00746459], ([0.00198082 0.00205176 0.00164261]) 	 loss 7.728E-01 	 horizons 19.0
step 8263 	 return [0.00417492 0.00831637 0.00742131], ([0.00286338 0.001973   0.00214104]) 	 loss 7.670E-01 	 horizons 19.0
step 8453 	 return [0.00477293 0.00699563 0.0063057 ], ([0.00210466 0.00225983 0.00265169]) 	 loss 7.644E-01 	 horizons 19.0
step 8643 	 return [0.0045432  0.00800684 0.00690142], ([0.00229773 0.00298655 0.00233893]) 	 loss 7.557E-01 	 horizons 19.0
step 8833 	 return [0.00348668 0.00764996 0.00787421], ([0.00240076 0.00194286 0.00181965]) 	 loss 7.324E-01 	 horizons 19.0
step 9023 	 return [0.00485911 0.0078036  0.00626557], ([0.00213282 0.00320702 0.00307631]) 	 loss 7.165E-01 	 horizons 19.0
step 9213 	 return [0.00386465 0.00950414 0.00785638], ([0.00185074 0.0010917  0.00093341]) 	 loss 6.984E-01 	 horizons 19.0
step 9403 	 return [0.00455693 0.00855769 0.00895578], ([0.00204596 0.0015407  0.00173001]) 	 loss 7.411E-01 	 horizons 19.0
step 9593 	 return [0.00389835 0.00854614 0.00843687], ([0.00173902 0.00129507 0.00184501]) 	 loss 7.077E-01 	 horizons 19.0
step 9783 	 return [0.00406666 0.00815941 0.00734911], ([0.00157824 0.00116215 0.00259033]) 	 loss 7.083E-01 	 horizons 19.0
step 9973 	 return [0.00344728 0.00810649 0.00849325], ([0.00131206 0.00103085 0.00140558]) 	 loss 7.064E-01 	 horizons 19.0
step 10163 	 return [0.00380593 0.00940847 0.00797564], ([0.00170828 0.00081338 0.0012886 ]) 	 loss 7.001E-01 	 horizons 19.0
step 10353 	 return [0.00548666 0.0089827  0.00690047], ([0.00213787 0.00256211 0.00359783]) 	 loss 7.017E-01 	 horizons 19.0
step 10543 	 return [0.00531384 0.00813551 0.00659532], ([0.002449   0.00229392 0.00319828]) 	 loss 6.818E-01 	 horizons 19.0
step 10733 	 return [0.00640538 0.00791065 0.00804917], ([0.00311751 0.00115131 0.00281874]) 	 loss 6.709E-01 	 horizons 19.0
step 10923 	 return [0.00400055 0.00887367 0.008683  ], ([0.00230183 0.0013513  0.00241337]) 	 loss 6.438E-01 	 horizons 19.0
step 11113 	 return [0.00473359 0.00973295 0.0093776 ], ([0.00163737 0.00188443 0.00190441]) 	 loss 6.605E-01 	 horizons 19.0
step 11303 	 return [0.00648446 0.00910499 0.00837132], ([0.00200884 0.00201975 0.00255787]) 	 loss 6.542E-01 	 horizons 19.0
step 11493 	 return [0.0039318  0.00954592 0.00932366], ([0.00160792 0.00141407 0.00182967]) 	 loss 6.424E-01 	 horizons 19.0
step 11683 	 return [0.00426702 0.01045843 0.00927986], ([0.00299186 0.00139839 0.00226009]) 	 loss 6.137E-01 	 horizons 19.0
step 11873 	 return [0.00388365 0.00916445 0.01069358], ([0.00155701 0.0015901  0.00229136]) 	 loss 6.183E-01 	 horizons 19.0
step 12063 	 return [0.00620973 0.00731817 0.00727677], ([0.00209325 0.00113305 0.00185358]) 	 loss 5.876E-01 	 horizons 19.0
step 12253 	 return [0.0046245  0.01062276 0.01033303], ([0.00189483 0.0016427  0.00073418]) 	 loss 5.815E-01 	 horizons 19.0
step 12443 	 return [0.00463365 0.01002379 0.00947498], ([0.00239985 0.00131608 0.00192097]) 	 loss 5.827E-01 	 horizons 19.0
step 12633 	 return [0.003761   0.00981469 0.00912717], ([0.00195937 0.00136053 0.00167677]) 	 loss 5.701E-01 	 horizons 19.0
step 12823 	 return [0.0073652  0.0085955  0.00645283], ([0.00191018 0.00210589 0.00224652]) 	 loss 5.608E-01 	 horizons 19.0
step 13013 	 return [0.00358312 0.01022385 0.01040435], ([0.00093579 0.00138761 0.00140337]) 	 loss 5.379E-01 	 horizons 19.0
step 13203 	 return [0.00385922 0.01014971 0.01012455], ([0.00223053 0.00171794 0.00138932]) 	 loss 5.309E-01 	 horizons 19.0
step 13393 	 return [0.00559154 0.01061828 0.00987661], ([0.00217148 0.00154407 0.00096814]) 	 loss 5.336E-01 	 horizons 19.0
step 13583 	 return [0.0039768  0.01047842 0.01015376], ([0.00204253 0.0014039  0.00127608]) 	 loss 5.320E-01 	 horizons 19.0
step 13773 	 return [0.00420753 0.01032809 0.01017996], ([0.00226786 0.00172978 0.00114883]) 	 loss 5.356E-01 	 horizons 19.0
step 13963 	 return [0.00334816 0.01000507 0.00998298], ([0.00160993 0.00117104 0.00138042]) 	 loss 5.105E-01 	 horizons 19.0
step 14153 	 return [0.00616644 0.0111372  0.00909239], ([0.0019458 0.0017207 0.0015184]) 	 loss 5.297E-01 	 horizons 19.0
step 14343 	 return [0.00467303 0.0103891  0.01042538], ([0.00195735 0.00140527 0.00161804]) 	 loss 5.306E-01 	 horizons 19.0
step 14533 	 return [0.00486053 0.01063391 0.00932573], ([0.00185867 0.00155546 0.00172946]) 	 loss 5.529E-01 	 horizons 19.0
step 14723 	 return [0.00546627 0.01052082 0.00935031], ([0.00109432 0.00212163 0.00155069]) 	 loss 5.275E-01 	 horizons 19.0
step 14913 	 return [0.00686464 0.01111278 0.01014932], ([0.00215208 0.00149865 0.00165356]) 	 loss 5.140E-01 	 horizons 19.0
step 15103 	 return [0.00538892 0.01046181 0.00960129], ([0.00142836 0.00144368 0.00097143]) 	 loss 5.168E-01 	 horizons 19.0
step 15293 	 return [0.00594239 0.00977292 0.01060657], ([0.0018309  0.00096525 0.00117873]) 	 loss 5.177E-01 	 horizons 19.0
step 15483 	 return [0.00641413 0.01109682 0.01085049], ([0.00162417 0.00161217 0.00196525]) 	 loss 4.819E-01 	 horizons 19.0
step 15673 	 return [0.00812471 0.00975562 0.00760722], ([0.00176425 0.00166818 0.00185279]) 	 loss 4.770E-01 	 horizons 19.0
step 15863 	 return [0.00703697 0.01119509 0.00928438], ([0.00171985 0.00198288 0.00135495]) 	 loss 4.806E-01 	 horizons 19.0
step 16053 	 return [0.00669856 0.01105182 0.0109188 ], ([0.00156937 0.00149996 0.00190572]) 	 loss 4.507E-01 	 horizons 19.0
step 16243 	 return [0.00672551 0.01085734 0.00944804], ([0.00176849 0.00142715 0.00203671]) 	 loss 4.584E-01 	 horizons 19.0
step 16433 	 return [0.00622703 0.01264323 0.01040273], ([0.0009554  0.00081924 0.00075703]) 	 loss 4.617E-01 	 horizons 19.0
step 16623 	 return [0.00677496 0.01110572 0.00982464], ([0.00112294 0.00188215 0.00170419]) 	 loss 4.556E-01 	 horizons 19.0
step 16813 	 return [0.00615457 0.01108098 0.00991785], ([0.00180596 0.00141479 0.00118113]) 	 loss 4.280E-01 	 horizons 19.0
step 17003 	 return [0.00759982 0.01083007 0.00962747], ([0.00161669 0.00210376 0.00174361]) 	 loss 4.314E-01 	 horizons 19.0
step 17193 	 return [0.0062311  0.01146399 0.00999589], ([0.00117864 0.00187071 0.00110791]) 	 loss 4.346E-01 	 horizons 19.0
step 17383 	 return [0.00771422 0.01196502 0.00951623], ([0.00084336 0.00114648 0.0012932 ]) 	 loss 4.325E-01 	 horizons 19.0
step 17573 	 return [0.00645112 0.01216254 0.0111551 ], ([0.00087202 0.00146943 0.00168439]) 	 loss 4.227E-01 	 horizons 19.0
step 17763 	 return [0.00787111 0.01143642 0.01006105], ([0.00135528 0.00117272 0.00233787]) 	 loss 4.044E-01 	 horizons 19.0
step 17953 	 return [0.00614542 0.01179232 0.01133246], ([0.00054909 0.00104602 0.00124463]) 	 loss 4.057E-01 	 horizons 19.0
step 18143 	 return [0.00574042 0.0118449  0.01060415], ([0.00087158 0.0016677  0.00156895]) 	 loss 4.141E-01 	 horizons 19.0
step 18333 	 return [0.00623316 0.01150926 0.01158785], ([0.00036142 0.00147042 0.00136134]) 	 loss 3.907E-01 	 horizons 19.0
step 18523 	 return [0.00921907 0.01062183 0.00925709], ([0.00039083 0.00062767 0.0021606 ]) 	 loss 3.745E-01 	 horizons 19.0
step 18713 	 return [0.00609899 0.0111571  0.01099993], ([0.00112053 0.00137173 0.00162911]) 	 loss 3.801E-01 	 horizons 19.0
step 18903 	 return [0.00713165 0.01280636 0.01101062], ([0.00070477 0.00131627 0.00158624]) 	 loss 3.697E-01 	 horizons 19.0
step 19093 	 return [0.00872174 0.01230176 0.00910417], ([0.00134371 0.00154886 0.0019851 ]) 	 loss 3.705E-01 	 horizons 19.0
step 19283 	 return [0.00707312 0.01079686 0.01248529], ([0.00086678 0.00141725 0.00117972]) 	 loss 3.601E-01 	 horizons 19.0
step 19473 	 return [0.00764859 0.01156262 0.0103862 ], ([0.00041956 0.00159643 0.00107543]) 	 loss 3.549E-01 	 horizons 19.0
step 19663 	 return [0.00812411 0.0105673  0.01095629], ([0.00108629 0.00048193 0.00127827]) 	 loss 3.237E-01 	 horizons 19.0
step 19853 	 return [0.00810046 0.01181212 0.01058494], ([0.00098241 0.00192504 0.00135342]) 	 loss 3.292E-01 	 horizons 19.0
step 20043 	 return [0.00725814 0.01224903 0.01124129], ([0.00077497 0.0014747  0.00122355]) 	 loss 3.334E-01 	 horizons 19.0
step 20233 	 return [0.00738526 0.01270171 0.01081529], ([0.00018816 0.00126772 0.00148087]) 	 loss 3.333E-01 	 horizons 19.0
step 20423 	 return [0.00764926 0.01161504 0.01084504], ([0.00077158 0.00176573 0.00091465]) 	 loss 3.030E-01 	 horizons 19.0
step 20613 	 return [0.00666652 0.01155658 0.01162551], ([0.00088451 0.00136887 0.00126518]) 	 loss 3.179E-01 	 horizons 19.0
step 20803 	 return [0.00696592 0.01143382 0.01180855], ([0.00110879 0.00169809 0.00102803]) 	 loss 2.931E-01 	 horizons 19.0
step 20993 	 return [0.00654903 0.01211636 0.01202871], ([0.0008276 0.0008542 0.0008431]) 	 loss 3.519E-01 	 horizons 19.0
