step 6168 	 return [0.00348769 0.00345043 0.00691371 0.00756341 0.00561931], ([0.00133875 0.00231354 0.00172567 0.00427127 0.00331357]) 	 loss 7.873E-01 	 horizons 19.0
step 6358 	 return [0.00465751 0.00535202 0.00755089 0.00625834 0.0042025 ], ([0.00107423 0.00277896 0.00290454 0.00363056 0.00288489]) 	 loss 7.815E-01 	 horizons 19.0
step 6548 	 return [0.00103546 0.00760018 0.00643302 0.00754556 0.00512269], ([0.00159554 0.00191082 0.00173189 0.00393599 0.00265877]) 	 loss 7.558E-01 	 horizons 19.0
step 6738 	 return [0.00507478 0.00495472 0.00780116 0.00584638 0.00242025], ([0.00154044 0.00260603 0.00182987 0.00328036 0.002205  ]) 	 loss 7.547E-01 	 horizons 19.0
step 6928 	 return [0.00441248 0.0039442  0.00956004 0.00988728 0.00493791], ([0.00161559 0.00267132 0.0025725  0.00432959 0.00338371]) 	 loss 7.511E-01 	 horizons 19.0
step 7118 	 return [0.00547976 0.00640656 0.00797166 0.00574392 0.00138832], ([0.00139629 0.00215999 0.00317314 0.00326478 0.00183319]) 	 loss 7.532E-01 	 horizons 19.0
step 7308 	 return [9.0588816e-03 4.7157933e-03 3.6573801e-03 2.9806368e-04 5.1847903e-05], ([0.00173049 0.00120165 0.00162655 0.00064016 0.0001037 ]) 	 loss 7.384E-01 	 horizons 19.0
step 7498 	 return [0.00394878 0.00549261 0.00819507 0.00657097 0.00423483], ([0.00112028 0.00201385 0.00236396 0.00313662 0.00322098]) 	 loss 6.825E-01 	 horizons 19.0
step 7688 	 return [0.00071947 0.00797784 0.00656102 0.00870671 0.00364088], ([0.00100554 0.00238293 0.00232235 0.00294554 0.00334394]) 	 loss 7.002E-01 	 horizons 19.0
step 7878 	 return [0.00390531 0.00432634 0.00784725 0.00788234 0.00583624], ([0.00103115 0.00246379 0.00174184 0.00294296 0.00325104]) 	 loss 7.420E-01 	 horizons 19.0
step 8068 	 return [0.0010309  0.0067996  0.00515357 0.00572595 0.00497903], ([0.00152801 0.00256707 0.00211041 0.00298355 0.00086068]) 	 loss 7.221E-01 	 horizons 19.0
