step 6168 	 return [0.00303892 0.00395301 0.0050802  0.00435126 0.00365329], ([0.00308908 0.0021251  0.00311216 0.00411794 0.00370059]) 	 loss 6.878E-01 	 horizons 19.0
step 6358 	 return [0.00430557 0.00424492 0.00554814 0.0055336  0.00236344], ([0.00307265 0.00254722 0.00364162 0.00505874 0.00331629]) 	 loss 6.658E-01 	 horizons 19.0
step 6548 	 return [0.00163357 0.00702162 0.00532596 0.00777134 0.00493639], ([0.00154874 0.00277454 0.00218496 0.00242097 0.00108223]) 	 loss 6.693E-01 	 horizons 19.0
step 6738 	 return [0.00206691 0.00716032 0.00701202 0.01052572 0.00476461], ([0.00169357 0.00298972 0.0022046  0.00361175 0.00302805]) 	 loss 6.498E-01 	 horizons 19.0
step 6928 	 return [0.00139749 0.00576266 0.00641574 0.00931788 0.00520362], ([0.00215935 0.00244676 0.00198079 0.00335191 0.00318548]) 	 loss 6.683E-01 	 horizons 19.0
step 7118 	 return [0.00241309 0.00316203 0.00584413 0.00696773 0.00513321], ([0.00184735 0.0014472  0.00185555 0.00351402 0.00307543]) 	 loss 6.545E-01 	 horizons 19.0
step 7308 	 return [0.00099233 0.00791983 0.00678492 0.00842074 0.00549235], ([0.00154321 0.00253463 0.0029902  0.00178338 0.00161856]) 	 loss 6.622E-01 	 horizons 19.0
step 7498 	 return [0.00372148 0.00538517 0.00721899 0.0055464  0.00494948], ([0.00261435 0.0025032  0.00271152 0.00310516 0.00312572]) 	 loss 6.475E-01 	 horizons 19.0
step 7688 	 return [0.00085316 0.00718331 0.00562864 0.00931842 0.00511617], ([0.0012528  0.00230546 0.00187036 0.00390184 0.00241518]) 	 loss 6.292E-01 	 horizons 19.0
step 7878 	 return [0.00376133 0.00559796 0.00678812 0.00789332 0.0056968 ], ([0.00287805 0.00240689 0.00304397 0.003753   0.00375788]) 	 loss 6.019E-01 	 horizons 19.0
step 8068 	 return [0.00226002 0.00596261 0.01055662 0.00883428 0.00731563], ([0.00197729 0.00265682 0.00238534 0.0043217  0.00444753]) 	 loss 6.152E-01 	 horizons 19.0
step 8258 	 return [0.00355378 0.00523593 0.00739543 0.01120307 0.00569623], ([0.0013606  0.00251261 0.00225825 0.00459145 0.00385836]) 	 loss 6.285E-01 	 horizons 19.0
step 8448 	 return [0.00169179 0.00851394 0.00882435 0.00897    0.00659965], ([0.00159979 0.00174644 0.00341939 0.00426905 0.00356376]) 	 loss 5.910E-01 	 horizons 19.0
step 8638 	 return [0.00040617 0.00913584 0.0069421  0.00956665 0.00619474], ([0.0008307  0.0024949  0.00146007 0.0025988  0.00277682]) 	 loss 5.969E-01 	 horizons 19.0
step 8828 	 return [0.00132163 0.00556243 0.00729276 0.00876179 0.00578796], ([0.00163188 0.0023501  0.00240155 0.0025453  0.00284536]) 	 loss 5.815E-01 	 horizons 19.0
step 9018 	 return [0.00516875 0.00295089 0.00694891 0.00634564 0.00479542], ([0.00292006 0.00129792 0.00297497 0.00396252 0.00367403]) 	 loss 5.642E-01 	 horizons 19.0
step 9208 	 return [0.00062012 0.00878163 0.00762838 0.00845821 0.00626397], ([0.00124921 0.00139205 0.00168542 0.00272144 0.00167286]) 	 loss 5.446E-01 	 horizons 19.0
step 9398 	 return [0.00144963 0.00954399 0.00849629 0.01044413 0.00490572], ([0.00145363 0.00207581 0.00163299 0.00265996 0.00163688]) 	 loss 5.623E-01 	 horizons 19.0
step 9588 	 return [0.00103768 0.00907311 0.00816607 0.01161617 0.00533177], ([0.00153792 0.0028761  0.00225558 0.00222895 0.00261548]) 	 loss 5.391E-01 	 horizons 19.0
step 9778 	 return [0.00407747 0.00586889 0.00888331 0.00866672 0.00573556], ([0.00101018 0.00187047 0.0029187  0.00428561 0.00459983]) 	 loss 5.332E-01 	 horizons 19.0
step 9968 	 return [0.00509888 0.00605244 0.00773979 0.00609209 0.00380427], ([0.00180216 0.00222944 0.00332984 0.00465895 0.00286841]) 	 loss 5.629E-01 	 horizons 19.0
step 10158 	 return [0.00466752 0.00530368 0.01026979 0.00758596 0.00641287], ([0.00185127 0.0029068  0.0027623  0.00404576 0.00329959]) 	 loss 5.520E-01 	 horizons 19.0
step 10348 	 return [0.0063856  0.0049266  0.00539855 0.00532259 0.00256964], ([0.00336699 0.00148636 0.00377864 0.00497322 0.00334887]) 	 loss 4.994E-01 	 horizons 19.0
step 10538 	 return [0.00436732 0.00430815 0.01003453 0.01174589 0.00591478], ([0.00063651 0.00210743 0.00250086 0.003096   0.00311769]) 	 loss 5.056E-01 	 horizons 19.0
step 10728 	 return [0.00447422 0.00705081 0.00834623 0.01010532 0.00579506], ([0.00082135 0.00131754 0.00114324 0.00363656 0.00192878]) 	 loss 4.890E-01 	 horizons 19.0
step 10918 	 return [0.00318761 0.00870114 0.00917337 0.00957381 0.00765249], ([0.00126715 0.00138039 0.00185909 0.00360807 0.00385534]) 	 loss 4.733E-01 	 horizons 19.0
step 11108 	 return [0.00436144 0.00765829 0.00828388 0.00938033 0.00597886], ([0.0011     0.00195645 0.00267357 0.0057533  0.00319511]) 	 loss 4.685E-01 	 horizons 19.0
step 11298 	 return [0.00604459 0.00586395 0.00800892 0.00837744 0.00522868], ([0.00233115 0.00216705 0.0035706  0.00565932 0.00485495]) 	 loss 4.745E-01 	 horizons 19.0
step 11488 	 return [0.00291801 0.00929581 0.00993238 0.01050442 0.00557001], ([0.00102185 0.00240962 0.00121664 0.00312987 0.00267297]) 	 loss 4.418E-01 	 horizons 19.0
step 11678 	 return [0.00112155 0.01066014 0.0099045  0.01044605 0.00408558], ([0.00139143 0.00137952 0.00213897 0.00354864 0.00253003]) 	 loss 4.115E-01 	 horizons 19.0
step 11868 	 return [0.00422967 0.00649796 0.00910655 0.0108383  0.00575039], ([0.00054325 0.00205968 0.00171737 0.0037308  0.00267579]) 	 loss 4.065E-01 	 horizons 19.0
step 12058 	 return [0.00528236 0.0039256  0.01115669 0.00898124 0.00593853], ([0.00150811 0.00117283 0.00256665 0.00467928 0.00382415]) 	 loss 3.916E-01 	 horizons 19.0
step 12248 	 return [0.00034347 0.01053992 0.00602527 0.00906126 0.00694972], ([0.0010304  0.00244567 0.00218241 0.00266365 0.00277152]) 	 loss 3.961E-01 	 horizons 19.0
step 12438 	 return [0.00304263 0.00932681 0.01064168 0.00967132 0.00792204], ([0.00118877 0.00143766 0.00221956 0.00332751 0.00307461]) 	 loss 4.071E-01 	 horizons 19.0
step 12628 	 return [0.00336335 0.00966915 0.00982792 0.00987219 0.00852146], ([0.00043292 0.00072502 0.00167308 0.00385316 0.00294341]) 	 loss 3.801E-01 	 horizons 19.0
step 12818 	 return [0.00596671 0.00438517 0.00948    0.01014695 0.00364038], ([0.00206608 0.00145194 0.00400092 0.00520503 0.0029229 ]) 	 loss 3.836E-01 	 horizons 19.0
step 13008 	 return [0.00685591 0.00377527 0.00496564 0.00525889 0.00325841], ([0.00262537 0.00097812 0.00273953 0.00536261 0.00358721]) 	 loss 3.793E-01 	 horizons 19.0
step 13198 	 return [0.00057668 0.00847015 0.00812468 0.00898293 0.00635023], ([0.00107107 0.00169541 0.00096005 0.00184605 0.00090921]) 	 loss 3.826E-01 	 horizons 19.0
step 13388 	 return [0.00357155 0.00894886 0.00879324 0.01341006 0.005108  ], ([0.00136173 0.00165303 0.00196886 0.00269692 0.00334519]) 	 loss 3.462E-01 	 horizons 19.0
step 13578 	 return [0.00348869 0.01036111 0.00834265 0.01290967 0.00637438], ([0.00066497 0.00158955 0.00194498 0.00276097 0.00303636]) 	 loss 3.253E-01 	 horizons 19.0
step 13768 	 return [0.00931463 0.0041645  0.00370574 0.00130619 0.00022805], ([0.00128585 0.00053163 0.00283557 0.0026349  0.00068414]) 	 loss 3.202E-01 	 horizons 19.0
step 13958 	 return [0.00410726 0.00839004 0.00985447 0.01315016 0.00719709], ([0.00063464 0.00182805 0.00226807 0.00342766 0.00356853]) 	 loss 3.092E-01 	 horizons 19.0
step 14148 	 return [0.00306535 0.00858442 0.00956252 0.00866347 0.00776496], ([0.00130747 0.00209428 0.00260171 0.00312111 0.00388748]) 	 loss 2.866E-01 	 horizons 19.0
step 14338 	 return [0.00381072 0.00985776 0.00926004 0.0119556  0.00611212], ([0.00072836 0.00142864 0.00172668 0.00327276 0.00264177]) 	 loss 3.105E-01 	 horizons 19.0
step 14528 	 return [0.00471979 0.00497963 0.00828398 0.0150443  0.0063434 ], ([0.00054414 0.00221717 0.00160449 0.0025545  0.00384699]) 	 loss 2.729E-01 	 horizons 19.0
step 14718 	 return [0.00552419 0.00508294 0.00892024 0.0120062  0.00622209], ([0.00125484 0.00259323 0.00232136 0.00427026 0.00369072]) 	 loss 2.953E-01 	 horizons 19.0
step 14908 	 return [0.00486662 0.0041115  0.00846355 0.01522502 0.00906513], ([0.0006841  0.00179624 0.0016557  0.00201318 0.00288865]) 	 loss 3.097E-01 	 horizons 19.0
step 15098 	 return [0.00572746 0.00426198 0.0078392  0.01063563 0.00749833], ([0.00204919 0.00110092 0.00263628 0.00523508 0.0042691 ]) 	 loss 2.594E-01 	 horizons 19.0
step 15288 	 return [0.00239494 0.00824118 0.01037149 0.00976718 0.00853973], ([0.00129223 0.001764   0.00139954 0.00344135 0.00246109]) 	 loss 3.123E-01 	 horizons 19.0
step 15478 	 return [0.0041939  0.00732801 0.00906309 0.01062315 0.00938384], ([0.00159099 0.00227793 0.00231265 0.00240595 0.00317616]) 	 loss 3.200E-01 	 horizons 19.0
step 15668 	 return [0.00503395 0.00308737 0.00754006 0.01544354 0.01091285], ([0.00082064 0.00076207 0.00161353 0.00248253 0.00314487]) 	 loss 3.403E-01 	 horizons 19.0
step 15858 	 return [0.00314015 0.00968771 0.01007693 0.0124532  0.00940483], ([0.00025655 0.00082682 0.00147288 0.00118484 0.0027528 ]) 	 loss 3.388E-01 	 horizons 19.0
step 16048 	 return [0.00519172 0.00607805 0.00949193 0.01420108 0.00681944], ([0.00053559 0.00214322 0.00199509 0.00223033 0.00219191]) 	 loss 3.225E-01 	 horizons 19.0
step 16238 	 return [0.0043065  0.01050756 0.00691052 0.01347719 0.0066927 ], ([0.00073793 0.00191694 0.00114839 0.00183613 0.00187362]) 	 loss 3.527E-01 	 horizons 19.0
step 16428 	 return [0.00474387 0.00911289 0.00919878 0.01574058 0.00645085], ([0.000567   0.00200039 0.00119269 0.00186529 0.00220871]) 	 loss 3.767E-01 	 horizons 19.0
