step 3060 	 return [0.00023976 0.00758611 0.00255933 0.00130464 0.        ], ([0.00071927 0.00135545 0.0010474  0.0002602  0.        ]) 	 loss 4.308E-01 	 horizons 9.0
step 3150 	 return [0.00029326 0.00015247 0.0005712  0.00089477 0.        ], ([8.7977620e-04 4.5741902e-04 7.5342607e-05 5.0894145e-05 0.0000000e+00]) 	 loss 4.519E-01 	 horizons 9.0
step 3240 	 return [0.         0.         0.00429076 0.00453478 0.00604202], ([0.         0.         0.00122478 0.001653   0.00202395]) 	 loss 4.418E-01 	 horizons 9.0
step 3330 	 return [0.         0.         0.00264055 0.00363498 0.00659084], ([0.         0.         0.00111737 0.0017438  0.00253429]) 	 loss 4.608E-01 	 horizons 9.0
step 3420 	 return [0.00128685 0.00165346 0.00044665 0.00061577 0.        ], ([0.00147324 0.00143494 0.00013247 0.00029812 0.        ]) 	 loss 4.496E-01 	 horizons 9.0
step 3510 	 return [0.         0.00714764 0.004666   0.00128645 0.        ], ([0.         0.00158817 0.00181596 0.00056001 0.        ]) 	 loss 4.343E-01 	 horizons 9.0
step 3600 	 return [0.         0.00692464 0.00364515 0.00110404 0.        ], ([0.         0.00140233 0.00106537 0.00031209 0.        ]) 	 loss 4.064E-01 	 horizons 9.0
step 3690 	 return [0.         0.         0.00805107 0.00511598 0.00124603], ([0.         0.         0.00143041 0.00029431 0.00196169]) 	 loss 3.760E-01 	 horizons 9.0
step 3780 	 return [0.         0.00276504 0.00826542 0.00205549 0.        ], ([0.         0.00194527 0.00143307 0.00141235 0.        ]) 	 loss 3.757E-01 	 horizons 9.0
step 3870 	 return [0.         0.         0.00457644 0.00561448 0.00609561], ([0.         0.         0.00127565 0.0008474  0.00114877]) 	 loss 4.130E-01 	 horizons 9.0
step 3960 	 return [0.         0.         0.00734522 0.00449102 0.00331327], ([0.         0.         0.00141295 0.00098093 0.00236621]) 	 loss 3.655E-01 	 horizons 9.0
step 4050 	 return [0.         0.00120853 0.00923369 0.00267855 0.        ], ([0.         0.00189125 0.0014408  0.00108141 0.        ]) 	 loss 3.568E-01 	 horizons 9.0
step 4140 	 return [0.         0.0037334  0.00919775 0.000721   0.        ], ([0.         0.00186964 0.0015526  0.00013599 0.        ]) 	 loss 3.136E-01 	 horizons 9.0
step 4230 	 return [0.         0.         0.01009115 0.00378417 0.        ], ([0.         0.         0.00076141 0.00121004 0.        ]) 	 loss 3.057E-01 	 horizons 9.0
step 4320 	 return [0.         0.00833127 0.00413454 0.00123987 0.        ], ([0.         0.00076052 0.00061073 0.00037238 0.        ]) 	 loss 2.740E-01 	 horizons 9.0
step 4410 	 return [0.         0.00543792 0.00759265 0.00079798 0.        ], ([0.         0.00193563 0.00092457 0.00040272 0.        ]) 	 loss 2.686E-01 	 horizons 9.0
step 4500 	 return [0.00082331 0.00702005 0.00115345 0.00126893 0.        ], ([0.00141519 0.00109985 0.00077122 0.00022579 0.        ]) 	 loss 2.873E-01 	 horizons 9.0
step 4590 	 return [0.         0.00733451 0.00477287 0.00111658 0.        ], ([0.         0.00106109 0.00148362 0.00059757 0.        ]) 	 loss 2.915E-01 	 horizons 9.0
step 4680 	 return [0.00010708 0.00694629 0.00322229 0.00124532 0.        ], ([0.00032124 0.00093649 0.00079264 0.00034107 0.        ]) 	 loss 2.826E-01 	 horizons 9.0
step 4770 	 return [0.         0.         0.00610635 0.00611452 0.00481529], ([0.00000000e+00 0.00000000e+00 1.02795675e-05 6.47541165e-05
 2.10114758e-05]) 	 loss 2.716E-01 	 horizons 9.0
step 4860 	 return [0.         0.00058483 0.00436328 0.00486995 0.00312685], ([0.         0.00058497 0.00125004 0.00087696 0.00393382]) 	 loss 2.338E-01 	 horizons 9.0
step 4950 	 return [0.         0.         0.0060959  0.00504687 0.00729483], ([0.0000000e+00 0.0000000e+00 2.2440254e-05 8.5939464e-05 9.6035813e-04]) 	 loss 2.306E-01 	 horizons 9.0
step 5040 	 return [0.         0.00185488 0.01066758 0.00085842 0.        ], ([0.         0.00069198 0.00038873 0.00053508 0.        ]) 	 loss 2.316E-01 	 horizons 9.0
step 5130 	 return [0.         0.00705609 0.0064092  0.00107371 0.        ], ([0.         0.00077521 0.00136774 0.00041855 0.        ]) 	 loss 2.074E-01 	 horizons 9.0
step 5220 	 return [0.         0.00767845 0.00632477 0.00130343 0.        ], ([0.         0.00105235 0.00118166 0.00060548 0.        ]) 	 loss 1.846E-01 	 horizons 9.0
step 5310 	 return [0.         0.         0.00603568 0.00586922 0.00508901], ([0.         0.         0.00103045 0.00090314 0.0005639 ]) 	 loss 2.171E-01 	 horizons 9.0
step 5400 	 return [0.         0.         0.00875109 0.00524401 0.00048783], ([0.         0.         0.00105351 0.00054479 0.0014635 ]) 	 loss 1.941E-01 	 horizons 9.0
step 5490 	 return [0.004435   0.00310113 0.00036126 0.00053646 0.        ], ([5.8917556e-04 7.2455138e-04 5.4978886e-05 4.2459249e-04 0.0000000e+00]) 	 loss 2.019E-01 	 horizons 9.0
step 5580 	 return [0.         0.         0.0034894  0.00544431 0.00719961], ([0.         0.         0.00023892 0.00092011 0.00111349]) 	 loss 1.993E-01 	 horizons 9.0
step 5670 	 return [0.         0.0025354  0.01045451 0.00073215 0.        ], ([0.         0.00099699 0.00061252 0.0001321  0.        ]) 	 loss 2.073E-01 	 horizons 9.0
step 5760 	 return [0.         0.00777919 0.0062249  0.00108474 0.        ], ([0.         0.00133805 0.00168395 0.00060884 0.        ]) 	 loss 1.875E-01 	 horizons 9.0
step 5850 	 return [0.         0.00806271 0.00442756 0.00137588 0.        ], ([0.         0.00128528 0.00052588 0.000324   0.        ]) 	 loss 1.922E-01 	 horizons 9.0
step 5940 	 return [0.         0.00223781 0.01075911 0.00068833 0.        ], ([0.00000000e+00 8.78295046e-04 3.56720775e-05 1.01902536e-07
 0.00000000e+00]) 	 loss 1.839E-01 	 horizons 9.0
step 6030 	 return [0.         0.         0.00890391 0.0049633  0.00032026], ([0.         0.         0.00069149 0.00082827 0.00096077]) 	 loss 1.762E-01 	 horizons 9.0
step 6120 	 return [0.         0.00094759 0.00475937 0.00502682 0.00066863], ([0.         0.00047379 0.00151584 0.00046118 0.00200589]) 	 loss 1.548E-01 	 horizons 9.0
step 6210 	 return [0.         0.00815604 0.00592261 0.00116927 0.        ], ([0.         0.00131777 0.00111384 0.0006036  0.        ]) 	 loss 1.584E-01 	 horizons 9.0
step 6300 	 return [0.         0.00437736 0.00998816 0.00100345 0.        ], ([0.         0.00188047 0.00100464 0.00095233 0.        ]) 	 loss 1.745E-01 	 horizons 9.0
step 6390 	 return [0.00021343 0.00796947 0.00412982 0.00147502 0.        ], ([0.00042686 0.00081133 0.00086241 0.00054043 0.        ]) 	 loss 1.787E-01 	 horizons 9.0
step 6480 	 return [0.         0.00282426 0.01074422 0.00068844 0.        ], ([0.0000000e+00 1.3410156e-03 5.7675385e-05 6.8392410e-08 0.0000000e+00]) 	 loss 1.703E-01 	 horizons 9.0
step 6570 	 return [0.         0.00770743 0.00666919 0.00103573 0.        ], ([0.         0.00097558 0.00068032 0.00053945 0.        ]) 	 loss 1.365E-01 	 horizons 9.0
step 6660 	 return [0.0016187  0.00788927 0.00192266 0.00123361 0.        ], ([0.00110239 0.00135818 0.0008902  0.00017662 0.        ]) 	 loss 1.421E-01 	 horizons 9.0
step 6750 	 return [0.         0.         0.00503428 0.00541222 0.00732293], ([0.         0.         0.00131365 0.00039514 0.00051981]) 	 loss 1.489E-01 	 horizons 9.0
step 6840 	 return [0.         0.00413653 0.00944671 0.00076744 0.        ], ([0.         0.00152825 0.00071108 0.00018304 0.        ]) 	 loss 1.348E-01 	 horizons 9.0
step 6930 	 return [0.         0.         0.00398591 0.00597568 0.00632088], ([0.         0.         0.00112174 0.00015917 0.00073088]) 	 loss 1.418E-01 	 horizons 9.0
step 7020 	 return [0.00294949 0.00619065 0.00092529 0.00058812 0.        ], ([0.00195158 0.00226128 0.00072096 0.00044739 0.        ]) 	 loss 1.426E-01 	 horizons 9.0
step 7110 	 return [0.         0.00107118 0.0104507  0.00222419 0.        ], ([0.         0.00153733 0.00062827 0.00133299 0.        ]) 	 loss 1.804E-01 	 horizons 9.0
step 7200 	 return [0.00304177 0.00405772 0.00067284 0.00073779 0.        ], ([0.001506   0.00094002 0.00049709 0.00048586 0.        ]) 	 loss 1.656E-01 	 horizons 9.0
step 7290 	 return [0.         0.00891188 0.00614239 0.00083727 0.        ], ([0.         0.00044013 0.00043075 0.00028265 0.        ]) 	 loss 1.672E-01 	 horizons 9.0
