step 6118 	 return [0.0011331  0.00625172 0.00586985 0.0069559  0.00555296], ([0.00167397 0.00298599 0.00187058 0.00333746 0.00300238]) 	 loss 7.394E-01 	 horizons 19.0
step 6308 	 return [0.00037128 0.0070303  0.00559038 0.0072526  0.00483459], ([0.00111383 0.00337216 0.0019046  0.0036307  0.00174927]) 	 loss 7.242E-01 	 horizons 19.0
step 6498 	 return [0.00043172 0.00773968 0.00702158 0.00851053 0.00752766], ([0.00100391 0.0017333  0.00213918 0.00509566 0.00241958]) 	 loss 7.306E-01 	 horizons 19.0
step 6688 	 return [0.00059594 0.00994911 0.00748317 0.00799775 0.00639002], ([0.00120242 0.00111521 0.00181752 0.00240914 0.00242288]) 	 loss 7.322E-01 	 horizons 19.0
step 6878 	 return [0.00076414 0.00768619 0.00710571 0.00816617 0.00473249], ([0.00124269 0.00247261 0.0021617  0.00301691 0.00181821]) 	 loss 7.289E-01 	 horizons 19.0
step 7068 	 return [0.00113976 0.00672469 0.0059542  0.00582463 0.00517725], ([0.00162571 0.00345779 0.00202956 0.00300383 0.0018265 ]) 	 loss 7.152E-01 	 horizons 19.0
step 7258 	 return [0.000876   0.00691929 0.00560252 0.00696284 0.00355682], ([0.00158838 0.00124693 0.00205899 0.00307066 0.00245483]) 	 loss 6.978E-01 	 horizons 19.0
step 7448 	 return [0.0011231  0.00826995 0.00771732 0.0080156  0.00730603], ([0.00156469 0.00132078 0.00133889 0.00491647 0.00364821]) 	 loss 7.226E-01 	 horizons 19.0
step 7638 	 return [0.00113612 0.008083   0.00849869 0.00866157 0.00634962], ([0.0019981  0.00181167 0.00163259 0.00463169 0.00228066]) 	 loss 6.963E-01 	 horizons 19.0
step 7828 	 return [0.00196385 0.00995454 0.00842128 0.01125779 0.0059808 ], ([0.00165792 0.00196458 0.00307719 0.00434144 0.00308166]) 	 loss 6.735E-01 	 horizons 19.0
step 8018 	 return [0.00107993 0.01025789 0.00937108 0.01026091 0.00604211], ([0.00133259 0.00154347 0.00250165 0.00464591 0.00283277]) 	 loss 6.926E-01 	 horizons 19.0
step 8208 	 return [0.0022355  0.00697707 0.00649745 0.00814724 0.00656648], ([0.0020933  0.00243263 0.00223824 0.00414331 0.00310208]) 	 loss 7.076E-01 	 horizons 19.0
step 8398 	 return [0.0021963  0.00833673 0.00753287 0.01273881 0.00667905], ([0.00185518 0.00164171 0.00218677 0.00338118 0.00228757]) 	 loss 6.928E-01 	 horizons 19.0
step 8588 	 return [0.00078301 0.00828353 0.00609185 0.01245562 0.00643217], ([0.00130069 0.0019774  0.00126551 0.00278926 0.00298343]) 	 loss 6.906E-01 	 horizons 19.0
step 8778 	 return [0.00369576 0.00748593 0.00815378 0.00716714 0.00574932], ([0.00180243 0.00258662 0.00230456 0.00430352 0.00496062]) 	 loss 7.019E-01 	 horizons 19.0
step 8968 	 return [0.00196828 0.00841783 0.00867203 0.00908504 0.00913339], ([0.00218836 0.00274071 0.0027281  0.00456884 0.00359123]) 	 loss 7.109E-01 	 horizons 19.0
step 9158 	 return [0.00239329 0.00868918 0.00755092 0.00867888 0.00480936], ([0.00259624 0.00307633 0.00284499 0.00556645 0.00433296]) 	 loss 6.454E-01 	 horizons 19.0
step 9348 	 return [0.0047853  0.00524694 0.00442215 0.00799174 0.0039609 ], ([0.00128103 0.00184836 0.00237562 0.00615237 0.00313432]) 	 loss 6.436E-01 	 horizons 19.0
step 9538 	 return [0.00107907 0.00953761 0.0080329  0.01226786 0.00647169], ([0.00173802 0.00211904 0.00276906 0.00189263 0.0034783 ]) 	 loss 6.223E-01 	 horizons 19.0
step 9728 	 return [0.00470919 0.00465037 0.00703106 0.01037248 0.00523302], ([0.00119793 0.00260161 0.00373831 0.00730388 0.00447742]) 	 loss 5.822E-01 	 horizons 19.0
step 9918 	 return [0.00370069 0.00782369 0.00607918 0.010379   0.0048376 ], ([0.00180535 0.00279982 0.0025236  0.00525884 0.00281892]) 	 loss 5.985E-01 	 horizons 19.0
step 10108 	 return [0.00139734 0.0090844  0.00629604 0.01161821 0.00583338], ([0.00135603 0.00215828 0.00141037 0.00300642 0.00329039]) 	 loss 5.588E-01 	 horizons 19.0
step 10298 	 return [0.00068532 0.00925362 0.0094283  0.01059657 0.00782191], ([0.00127648 0.00191108 0.00275886 0.0035865  0.00313703]) 	 loss 5.773E-01 	 horizons 19.0
step 10488 	 return [0.00442032 0.00553448 0.00645963 0.00839928 0.00380004], ([0.00125671 0.00197553 0.00278626 0.0055791  0.00313498]) 	 loss 5.450E-01 	 horizons 19.0
step 10678 	 return [0.00400984 0.00481408 0.00726083 0.01109726 0.0076289 ], ([0.00086378 0.00137238 0.00246122 0.00525375 0.00372178]) 	 loss 5.381E-01 	 horizons 19.0
step 10868 	 return [0.0037118  0.00643195 0.00606325 0.01101543 0.00546198], ([0.0003551  0.00139546 0.0009663  0.0047838  0.00213319]) 	 loss 5.210E-01 	 horizons 19.0
step 11058 	 return [0.00476424 0.00445287 0.00525435 0.00998016 0.00593403], ([0.0012764  0.00126098 0.00283348 0.00661035 0.00497951]) 	 loss 5.296E-01 	 horizons 19.0
step 11248 	 return [0.         0.00944436 0.00768381 0.01082371 0.00732653], ([0.         0.00200372 0.00147717 0.00248313 0.00248895]) 	 loss 5.090E-01 	 horizons 19.0
step 11438 	 return [0.0054295  0.00538845 0.00566288 0.00491377 0.00196704], ([0.00225227 0.00175037 0.00306356 0.00487183 0.00380913]) 	 loss 5.056E-01 	 horizons 19.0
step 11628 	 return [0.00275518 0.00891215 0.00915023 0.01236792 0.00957985], ([0.00158982 0.00217864 0.00164334 0.00187946 0.00212883]) 	 loss 4.999E-01 	 horizons 19.0
step 11818 	 return [5.2832875e-05 8.9656450e-03 7.7033504e-03 1.2533185e-02 6.3277059e-03], ([0.00010579 0.00227617 0.00237562 0.00248565 0.00271193]) 	 loss 4.679E-01 	 horizons 19.0
step 12008 	 return [0.00174099 0.01092047 0.00814041 0.01228193 0.00568497], ([0.00127555 0.00146294 0.00139648 0.00168707 0.00172727]) 	 loss 4.903E-01 	 horizons 19.0
step 12198 	 return [0.00679011 0.00350737 0.00181937 0.00054312 0.00023332], ([9.607194e-04 3.312008e-04 6.446577e-04 3.915982e-04 7.777186e-05]) 	 loss 4.856E-01 	 horizons 19.0
step 12388 	 return [0.00646987 0.00339697 0.00160449 0.00041258 0.00025924], ([0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00 2.9103830e-11]) 	 loss 4.311E-01 	 horizons 19.0
step 12578 	 return [0.00340382 0.01130173 0.00676856 0.01359438 0.00805189], ([0.00044992 0.001415   0.00157499 0.00228906 0.00226439]) 	 loss 4.303E-01 	 horizons 19.0
step 12768 	 return [0.00033055 0.00980386 0.00952423 0.0064505  0.00749097], ([0.00072527 0.00294622 0.00199481 0.00204269 0.00419727]) 	 loss 4.859E-01 	 horizons 19.0
step 12958 	 return [0.00485256 0.0061876  0.00598861 0.00361837 0.00139134], ([0.0019513  0.00203189 0.00286953 0.00227399 0.00400249]) 	 loss 4.321E-01 	 horizons 19.0
step 13148 	 return [0.00256811 0.01007983 0.00852738 0.00982965 0.00775425], ([0.00087252 0.00113486 0.00103617 0.00358142 0.00075462]) 	 loss 4.430E-01 	 horizons 19.0
step 13338 	 return [0.00259491 0.01006153 0.00835938 0.0112756  0.0086958 ], ([0.00134144 0.00107887 0.00116083 0.00266403 0.00233868]) 	 loss 4.161E-01 	 horizons 19.0
step 13528 	 return [0.00374294 0.00665605 0.00805662 0.01108464 0.00748319], ([0.00048871 0.00167228 0.00106405 0.003339   0.00322621]) 	 loss 4.263E-01 	 horizons 19.0
step 13718 	 return [0.00344381 0.00915719 0.00883153 0.00810904 0.00779383], ([0.0005324  0.00280221 0.00131646 0.00294643 0.00360753]) 	 loss 4.223E-01 	 horizons 19.0
step 13908 	 return [0.00310517 0.00973198 0.00861473 0.01101839 0.00971218], ([0.00111035 0.0004394  0.00090162 0.00314349 0.00250157]) 	 loss 4.122E-01 	 horizons 19.0
step 14098 	 return [0.         0.00837786 0.01017396 0.00793644 0.01192115], ([0.         0.00230681 0.00071076 0.00233944 0.00073583]) 	 loss 4.045E-01 	 horizons 19.0
step 14288 	 return [0.00306747 0.00746136 0.00919955 0.00863202 0.00910442], ([0.00052937 0.00114539 0.00099851 0.00202224 0.00183213]) 	 loss 3.706E-01 	 horizons 19.0
step 14478 	 return [0.00028909 0.00998986 0.00896988 0.01087564 0.00766293], ([0.00086727 0.00290149 0.00114595 0.00344964 0.00383758]) 	 loss 3.746E-01 	 horizons 19.0
step 14668 	 return [5.5274410e-05 9.8309964e-03 1.0019082e-02 1.3092086e-02 8.5673854e-03], ([0.00016582 0.00147621 0.00200886 0.00282348 0.00281555]) 	 loss 3.609E-01 	 horizons 19.0
step 14858 	 return [0.00950657 0.00479959 0.00318298 0.00175432 0.        ], ([2.5310906e-04 4.5614957e-04 8.7124796e-04 5.5612032e-05 0.0000000e+00]) 	 loss 3.811E-01 	 horizons 19.0
step 15048 	 return [0.00374472 0.01008455 0.00791417 0.01298803 0.00857099], ([0.00038793 0.00046672 0.00144045 0.00207551 0.00192766]) 	 loss 3.408E-01 	 horizons 19.0
step 15238 	 return [0.00330049 0.01016766 0.00869295 0.01272902 0.00785881], ([0.00034897 0.00163542 0.00150207 0.00137948 0.00124472]) 	 loss 3.327E-01 	 horizons 19.0
step 15428 	 return [8.7115522e-03 4.1697742e-03 3.1086879e-03 1.3263137e-03 7.7771852e-05], ([0.00146752 0.00050592 0.00098473 0.00059818 0.0001188 ]) 	 loss 3.483E-01 	 horizons 19.0
step 15618 	 return [0.00355285 0.00732061 0.00838434 0.00814455 0.0113371 ], ([0.00040739 0.00114987 0.00058671 0.0014563  0.001424  ]) 	 loss 3.452E-01 	 horizons 19.0
step 15808 	 return [0.00313546 0.00960144 0.00817472 0.01163268 0.00888839], ([0.00029376 0.00091941 0.00107333 0.00229299 0.00181862]) 	 loss 3.096E-01 	 horizons 19.0
step 15998 	 return [0.00318467 0.0080533  0.00885158 0.00662651 0.00963053], ([0.00042787 0.00198356 0.00146396 0.00258404 0.00472578]) 	 loss 3.352E-01 	 horizons 19.0
step 16188 	 return [0.00360437 0.00799718 0.00889381 0.01248898 0.01021702], ([0.00051272 0.00179355 0.00112839 0.0020934  0.00156732]) 	 loss 3.242E-01 	 horizons 19.0
step 16378 	 return [0.00302166 0.00981882 0.00807956 0.01061203 0.00733476], ([0.00109345 0.00116781 0.00132332 0.00377257 0.00300694]) 	 loss 3.191E-01 	 horizons 19.0
step 16568 	 return [0.0003347  0.01095258 0.00822179 0.01078827 0.00666002], ([0.00070057 0.00236885 0.00166908 0.00363258 0.00228986]) 	 loss 3.338E-01 	 horizons 19.0
step 16758 	 return [0.00290641 0.00820712 0.00792627 0.0092287  0.00859021], ([0.00011338 0.00079054 0.00167175 0.0028625  0.00156473]) 	 loss 3.109E-01 	 horizons 19.0
step 16948 	 return [0.         0.01002117 0.00833631 0.01141152 0.00811396], ([0.         0.0025027  0.00133694 0.00420958 0.00314385]) 	 loss 2.820E-01 	 horizons 19.0
step 17138 	 return [0.0028761  0.00850415 0.0083101  0.00659295 0.0093106 ], ([0.00106737 0.00116816 0.00111179 0.00265222 0.00131659]) 	 loss 2.881E-01 	 horizons 19.0
step 17328 	 return [0.         0.00929335 0.00899983 0.01065649 0.00966342], ([0.         0.0020448  0.00059911 0.00267512 0.00198568]) 	 loss 2.811E-01 	 horizons 19.0
