step 3600 	 return [0.00227579 0.00293358 0.00025154], ([0.00056894 0.00053441 0.00038982]) 	 loss 6.329E-01 	 horizons 9.0
step 3690 	 return [0.00250776 0.00183038 0.00058616], ([0.00068265 0.00079976 0.000471  ]) 	 loss 5.908E-01 	 horizons 9.0
step 3780 	 return [0.         0.00490527 0.00341892], ([0.         0.00216524 0.00280809]) 	 loss 6.185E-01 	 horizons 9.0
step 3870 	 return [0.00157176 0.00532837 0.        ], ([0.00107676 0.0007957  0.        ]) 	 loss 5.942E-01 	 horizons 9.0
step 3960 	 return [0.00247222 0.00193015 0.00050264], ([0.00087045 0.00080159 0.00039431]) 	 loss 5.606E-01 	 horizons 9.0
step 4050 	 return [0.00282715 0.00138238 0.00053682], ([0.00064977 0.00057965 0.0003994 ]) 	 loss 5.667E-01 	 horizons 9.0
step 4140 	 return [0.00230148 0.00103882 0.00085602], ([0.00078361 0.00034197 0.00039827]) 	 loss 5.396E-01 	 horizons 9.0
step 4230 	 return [0.00255197 0.0018414  0.00085519], ([0.00062203 0.0006397  0.0003593 ]) 	 loss 5.663E-01 	 horizons 9.0
step 4320 	 return [1.628136e-03 4.854056e-03 9.918354e-05], ([0.00071606 0.00052083 0.00029755]) 	 loss 5.317E-01 	 horizons 9.0
step 4410 	 return [0.         0.0071121  0.00029444], ([0.         0.0008044  0.00088333]) 	 loss 5.856E-01 	 horizons 9.0
step 4500 	 return [0.00262996 0.00123422 0.00082187], ([0.00046912 0.00038423 0.00033045]) 	 loss 5.464E-01 	 horizons 9.0
step 4590 	 return [0.         0.00376711 0.00514618], ([0.         0.00138345 0.00176804]) 	 loss 5.199E-01 	 horizons 9.0
step 4680 	 return [0.00268083 0.00347357 0.00030421], ([0.00067508 0.00089765 0.00047694]) 	 loss 4.742E-01 	 horizons 9.0
step 4770 	 return [0.         0.0030233  0.00427482], ([0.         0.00052752 0.00149624]) 	 loss 4.680E-01 	 horizons 9.0
step 4860 	 return [0.00254066 0.00212239 0.00067569], ([0.00067062 0.00053951 0.00056813]) 	 loss 4.680E-01 	 horizons 9.0
step 4950 	 return [0.00029095 0.00696378 0.        ], ([0.00044446 0.00056143 0.        ]) 	 loss 4.761E-01 	 horizons 9.0
step 5040 	 return [3.863175e-05 7.407342e-03 0.000000e+00], ([0.0001159 0.000278  0.       ]) 	 loss 4.313E-01 	 horizons 9.0
