step 3060 	 return [0.00273505 0.00256865 0.00051597 0.00095249 0.        ], ([0.00110399 0.00200676 0.00010404 0.00026668 0.        ]) 	 loss 7.200E-01 	 horizons 9.0
step 3150 	 return [0.00022241 0.00081211 0.00098868 0.00338442 0.0010514 ], ([0.00066722 0.00209598 0.00067412 0.00083982 0.00189131]) 	 loss 6.926E-01 	 horizons 9.0
step 3240 	 return [0.         0.00107494 0.006539   0.00312248 0.0011745 ], ([0.         0.00206303 0.00255857 0.00134525 0.00235163]) 	 loss 6.582E-01 	 horizons 9.0
step 3330 	 return [0.         0.         0.00398631 0.00422106 0.00618399], ([0.         0.         0.00070128 0.00188344 0.00381667]) 	 loss 6.912E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00267589 0.00255303 0.01065634], ([0.         0.         0.0012989  0.00085134 0.00247823]) 	 loss 6.773E-01 	 horizons 9.0
step 3510 	 return [0.         0.00138085 0.00759205 0.00298263 0.00013883], ([0.         0.00262764 0.00199532 0.00105758 0.00041649]) 	 loss 6.425E-01 	 horizons 9.0
step 3600 	 return [0.00316171 0.00327434 0.00066543 0.00099416 0.        ], ([0.00085862 0.0015801  0.00030483 0.00032079 0.        ]) 	 loss 6.327E-01 	 horizons 9.0
step 3690 	 return [7.8875535e-05 3.1445925e-03 3.9869482e-03 2.6406497e-03 0.0000000e+00], ([0.00015775 0.00263259 0.00136507 0.00139654 0.        ]) 	 loss 6.337E-01 	 horizons 9.0
step 3780 	 return [0.         0.         0.00305576 0.00216266 0.01094268], ([0.         0.         0.00104318 0.00055174 0.00190965]) 	 loss 5.991E-01 	 horizons 9.0
step 3870 	 return [0.         0.00125604 0.00872268 0.00249166 0.        ], ([0.         0.00223843 0.00088845 0.00101675 0.        ]) 	 loss 5.624E-01 	 horizons 9.0
step 3960 	 return [0.00228465 0.00571909 0.00090351 0.00094013 0.        ], ([0.00123222 0.00119303 0.00039919 0.0005191  0.        ]) 	 loss 5.248E-01 	 horizons 9.0
step 4050 	 return [0.0017562  0.00433401 0.00062696 0.0009798  0.        ], ([0.00097809 0.00103758 0.00031228 0.00048201 0.        ]) 	 loss 5.217E-01 	 horizons 9.0
step 4140 	 return [0.00307432 0.00472726 0.00058776 0.00107043 0.        ], ([0.00058447 0.00107094 0.00018126 0.00035506 0.        ]) 	 loss 5.133E-01 	 horizons 9.0
step 4230 	 return [0.00164539 0.00638385 0.0007879  0.00071171 0.        ], ([0.00114566 0.00112299 0.00053626 0.00032792 0.        ]) 	 loss 4.653E-01 	 horizons 9.0
step 4320 	 return [0.00091314 0.0067287  0.0017677  0.00118448 0.        ], ([0.00111914 0.00086333 0.00088721 0.00044013 0.        ]) 	 loss 5.126E-01 	 horizons 9.0
step 4410 	 return [0.00149337 0.00682954 0.00205717 0.00122727 0.        ], ([0.00095819 0.00091304 0.00143453 0.00040857 0.        ]) 	 loss 4.653E-01 	 horizons 9.0
step 4500 	 return [0.00227105 0.00465376 0.00092118 0.00116918 0.        ], ([0.00094747 0.00204666 0.00031413 0.00038564 0.        ]) 	 loss 4.743E-01 	 horizons 9.0
step 4590 	 return [0.00247681 0.00636827 0.00100961 0.00147732 0.        ], ([0.00037542 0.00060387 0.00036038 0.00031259 0.        ]) 	 loss 4.255E-01 	 horizons 9.0
step 4680 	 return [0.0019449  0.00650187 0.00099154 0.00125402 0.        ], ([0.00080929 0.00097666 0.00068106 0.00051533 0.        ]) 	 loss 4.451E-01 	 horizons 9.0
step 4770 	 return [0.         0.         0.00239329 0.00267982 0.00960069], ([0.         0.         0.00085788 0.00046739 0.00138254]) 	 loss 4.301E-01 	 horizons 9.0
step 4860 	 return [0.         0.00021521 0.00670836 0.00381965 0.00107323], ([0.         0.00021541 0.00148762 0.00099682 0.00214915]) 	 loss 3.774E-01 	 horizons 9.0
step 4950 	 return [0.         0.         0.00659015 0.00385871 0.00656375], ([0.         0.         0.00134217 0.00114164 0.00195361]) 	 loss 3.897E-01 	 horizons 9.0
step 5040 	 return [0.         0.         0.00308308 0.00199641 0.01228481], ([0.         0.         0.00021353 0.00059706 0.00158709]) 	 loss 3.967E-01 	 horizons 9.0
