step 3060 	 return [0.         0.00058977 0.00827925 0.00612046 0.00162395], ([0.         0.00090089 0.00182243 0.00063789 0.00251909]) 	 loss 6.289E-01 	 horizons 9.0
step 3150 	 return [0.         0.00090189 0.00237959 0.00335141 0.0034004 ], ([0.         0.00184086 0.00264361 0.00123183 0.00251164]) 	 loss 5.931E-01 	 horizons 9.0
step 3240 	 return [0.0028744  0.00378377 0.00074235 0.0011149  0.        ], ([0.00089334 0.00155958 0.00029341 0.00021909 0.        ]) 	 loss 5.752E-01 	 horizons 9.0
step 3330 	 return [0.         0.         0.00266199 0.00353711 0.00859726], ([0.         0.         0.0012618  0.00051869 0.00202226]) 	 loss 5.657E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00643516 0.00694649 0.00486901], ([0.         0.         0.0008901  0.00101151 0.0019888 ]) 	 loss 5.628E-01 	 horizons 9.0
step 3510 	 return [0.         0.         0.00609478 0.00725798 0.00597404], ([0.         0.         0.00025566 0.00091027 0.00050075]) 	 loss 5.082E-01 	 horizons 9.0
step 3600 	 return [0.00232829 0.00641225 0.00115813 0.00150348 0.        ], ([0.00051789 0.00122501 0.00061007 0.00026979 0.        ]) 	 loss 4.953E-01 	 horizons 9.0
step 3690 	 return [0.00258216 0.00643716 0.00161973 0.00156749 0.        ], ([0.00047843 0.00103841 0.00057099 0.00026558 0.        ]) 	 loss 4.699E-01 	 horizons 9.0
step 3780 	 return [0.         0.         0.00589026 0.00705289 0.00589413], ([0.         0.         0.00081681 0.00127366 0.00047872]) 	 loss 4.365E-01 	 horizons 9.0
step 3870 	 return [0.         0.         0.0052688  0.00382224 0.00679609], ([0.         0.         0.00101838 0.00096026 0.00206128]) 	 loss 3.936E-01 	 horizons 9.0
step 3960 	 return [0.         0.         0.00426323 0.00471466 0.00706778], ([0.         0.         0.00150095 0.00112659 0.00263741]) 	 loss 3.876E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.0046589  0.00464669 0.00770553], ([0.         0.         0.00137321 0.00116193 0.00171991]) 	 loss 4.056E-01 	 horizons 9.0
step 4140 	 return [0.         0.         0.0034987  0.00374625 0.00920853], ([0.         0.         0.00139766 0.0012977  0.00225841]) 	 loss 3.830E-01 	 horizons 9.0
step 4230 	 return [0.         0.         0.00480376 0.00366969 0.00807843], ([0.         0.         0.00110759 0.00102523 0.00254455]) 	 loss 4.199E-01 	 horizons 9.0
step 4320 	 return [0.         0.         0.00617724 0.0074221  0.00614111], ([0.0000000e+00 0.0000000e+00 2.3878925e-05 7.7827758e-04 5.1895954e-04]) 	 loss 3.717E-01 	 horizons 9.0
step 4410 	 return [0.         0.         0.00395983 0.00333831 0.00837395], ([0.         0.         0.00145519 0.00129524 0.00216483]) 	 loss 3.704E-01 	 horizons 9.0
step 4500 	 return [0.         0.         0.00610392 0.00752498 0.00585099], ([0.         0.         0.00024384 0.00046964 0.00035139]) 	 loss 3.600E-01 	 horizons 9.0
step 4590 	 return [0.00305873 0.00408342 0.00135196 0.00142356 0.        ], ([0.00022522 0.00093123 0.00043428 0.0001985  0.        ]) 	 loss 3.459E-01 	 horizons 9.0
step 4680 	 return [0.         0.         0.00606139 0.00661962 0.00585872], ([0.         0.         0.00025333 0.00139676 0.00066104]) 	 loss 3.373E-01 	 horizons 9.0
step 4770 	 return [0.         0.00374018 0.01040902 0.00341202 0.        ], ([0.         0.00060285 0.00028854 0.00045761 0.        ]) 	 loss 2.811E-01 	 horizons 9.0
step 4860 	 return [0.         0.00252615 0.00807298 0.00324509 0.        ], ([0.         0.00166033 0.00147875 0.00075993 0.        ]) 	 loss 2.891E-01 	 horizons 9.0
step 4950 	 return [0.00164612 0.0064146  0.00315953 0.00207662 0.        ], ([9.1657246e-04 5.8369414e-04 5.9059612e-04 9.5790252e-05 0.0000000e+00]) 	 loss 2.642E-01 	 horizons 9.0
step 5040 	 return [0.         0.         0.00280748 0.00356895 0.01070057], ([0.         0.         0.001045   0.00112318 0.0016516 ]) 	 loss 2.447E-01 	 horizons 9.0
step 5130 	 return [0.         0.00277522 0.01053778 0.00481408 0.        ], ([0.0000000e+00 9.9262292e-04 2.1326734e-05 1.0186918e-03 0.0000000e+00]) 	 loss 2.740E-01 	 horizons 9.0
step 5220 	 return [0.         0.00206056 0.00976495 0.00404398 0.        ], ([0.         0.00149995 0.00096716 0.00139385 0.        ]) 	 loss 2.402E-01 	 horizons 9.0
step 5310 	 return [0.         0.00275599 0.01053319 0.00481332 0.        ], ([0.0000000e+00 9.6766622e-04 2.2856451e-05 1.0196146e-03 0.0000000e+00]) 	 loss 2.267E-01 	 horizons 9.0
step 5400 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 2.403E-01 	 horizons 9.0
step 5490 	 return [0.         0.         0.00609958 0.00739525 0.00608302], ([0.         0.         0.00025686 0.00085883 0.0003447 ]) 	 loss 1.707E-01 	 horizons 9.0
