step 7591 	 return [0.00542998 0.00789622 0.00521584], ([0.00170884 0.00284566 0.00244478]) 	 loss 6.842E-01 	 horizons 19.0
step 7781 	 return [0.0057439  0.0090114  0.00647552], ([0.00198786 0.00171484 0.00099657]) 	 loss 6.754E-01 	 horizons 19.0
step 7971 	 return [0.00658254 0.00920908 0.00628749], ([0.00227704 0.0025209  0.00183219]) 	 loss 6.652E-01 	 horizons 19.0
step 8161 	 return [0.00659759 0.00919934 0.00567613], ([0.00241916 0.00272146 0.00249447]) 	 loss 6.712E-01 	 horizons 19.0
step 8351 	 return [0.00649948 0.01051586 0.00602599], ([0.00178879 0.00167181 0.00290513]) 	 loss 6.832E-01 	 horizons 19.0
step 8541 	 return [0.00584468 0.00969656 0.00519907], ([0.00206502 0.00204034 0.00122052]) 	 loss 6.489E-01 	 horizons 19.0
step 8731 	 return [0.00731499 0.00995687 0.0050682 ], ([0.00167422 0.00147686 0.00228605]) 	 loss 6.756E-01 	 horizons 19.0
step 8921 	 return [0.00751701 0.01099021 0.00656153], ([0.00155292 0.00178865 0.00190859]) 	 loss 6.613E-01 	 horizons 19.0
step 9111 	 return [0.00467874 0.00927269 0.00554502], ([0.00251511 0.00106069 0.00230143]) 	 loss 6.321E-01 	 horizons 19.0
step 9301 	 return [0.00518908 0.00867798 0.00752624], ([0.0016289  0.00191934 0.00186929]) 	 loss 6.551E-01 	 horizons 19.0
step 9491 	 return [0.00723792 0.01049732 0.00666878], ([0.00178526 0.00170615 0.00140156]) 	 loss 6.464E-01 	 horizons 19.0
step 9681 	 return [0.00593886 0.01032394 0.00623904], ([0.00214334 0.00196731 0.00157145]) 	 loss 6.110E-01 	 horizons 19.0
step 9871 	 return [0.00510816 0.00928882 0.00649363], ([0.00153943 0.00246535 0.00165763]) 	 loss 6.499E-01 	 horizons 19.0
step 10061 	 return [0.00586671 0.00948739 0.00786887], ([0.00250587 0.00158831 0.00242214]) 	 loss 6.249E-01 	 horizons 19.0
step 10251 	 return [0.00563139 0.00917311 0.00822661], ([0.00186001 0.00133635 0.00220484]) 	 loss 6.081E-01 	 horizons 19.0
step 10441 	 return [0.00604532 0.00967057 0.0066017 ], ([0.00211993 0.00242497 0.00213928]) 	 loss 5.821E-01 	 horizons 19.0
step 10631 	 return [0.00819982 0.01114751 0.00440226], ([0.00099253 0.00218405 0.00115709]) 	 loss 6.078E-01 	 horizons 19.0
step 10821 	 return [0.00712323 0.01036462 0.00669675], ([0.00130991 0.00168593 0.00247686]) 	 loss 6.017E-01 	 horizons 19.0
step 11011 	 return [0.0072306  0.01065302 0.00706499], ([0.0014331  0.00185852 0.00238086]) 	 loss 5.984E-01 	 horizons 19.0
step 11201 	 return [0.00683295 0.01005397 0.00714573], ([0.00138463 0.00124868 0.00170696]) 	 loss 5.721E-01 	 horizons 19.0
step 11391 	 return [0.00725141 0.01094965 0.00689419], ([0.00190625 0.00132516 0.00242429]) 	 loss 5.506E-01 	 horizons 19.0
step 11581 	 return [0.00676661 0.00989681 0.0079095 ], ([0.00117295 0.00096695 0.00125533]) 	 loss 5.555E-01 	 horizons 19.0
step 11771 	 return [0.00807119 0.01016145 0.00803738], ([0.00152339 0.00235588 0.00189032]) 	 loss 5.657E-01 	 horizons 19.0
step 11961 	 return [0.00748828 0.01110491 0.00650731], ([0.00126218 0.00145676 0.00239068]) 	 loss 5.825E-01 	 horizons 19.0
step 12151 	 return [0.00636676 0.0098595  0.00907069], ([0.00085855 0.00112487 0.00074667]) 	 loss 5.626E-01 	 horizons 19.0
step 12341 	 return [0.00772825 0.0100523  0.00706547], ([0.00206787 0.00149448 0.00238051]) 	 loss 5.272E-01 	 horizons 19.0
step 12531 	 return [0.00684286 0.01085789 0.00817846], ([0.00094226 0.00125204 0.00171579]) 	 loss 5.301E-01 	 horizons 19.0
step 12721 	 return [0.00741372 0.01148677 0.0077241 ], ([0.00115128 0.00095476 0.00257802]) 	 loss 5.236E-01 	 horizons 19.0
step 12911 	 return [0.00646442 0.00995512 0.00778571], ([0.00153537 0.00110346 0.00179653]) 	 loss 4.956E-01 	 horizons 19.0
step 13101 	 return [0.00736141 0.01106189 0.00781996], ([0.00188701 0.00134764 0.00234529]) 	 loss 4.953E-01 	 horizons 19.0
step 13291 	 return [0.00759799 0.0113352  0.00702417], ([0.00078453 0.00128    0.00151114]) 	 loss 4.948E-01 	 horizons 19.0
step 13481 	 return [0.00721464 0.01144526 0.00829293], ([0.00091639 0.00185406 0.00115674]) 	 loss 5.070E-01 	 horizons 19.0
step 13671 	 return [0.00639375 0.01010964 0.00854065], ([0.00161709 0.00161395 0.00218371]) 	 loss 5.169E-01 	 horizons 19.0
step 13861 	 return [0.00712122 0.01086562 0.00857299], ([0.00243788 0.00101596 0.00274077]) 	 loss 4.899E-01 	 horizons 19.0
step 14051 	 return [0.00767009 0.01042867 0.00934029], ([0.00111304 0.00138321 0.00082732]) 	 loss 4.909E-01 	 horizons 19.0
step 14241 	 return [0.00616105 0.01006294 0.00902444], ([0.00131393 0.00133158 0.0017382 ]) 	 loss 4.741E-01 	 horizons 19.0
step 14431 	 return [0.00785726 0.01197001 0.00883798], ([0.00154561 0.00164052 0.00135064]) 	 loss 4.707E-01 	 horizons 19.0
step 14621 	 return [0.00765767 0.01118997 0.00930563], ([0.00125571 0.00173156 0.0015745 ]) 	 loss 4.561E-01 	 horizons 19.0
step 14811 	 return [0.00752228 0.01112358 0.01008506], ([0.00137018 0.0017832  0.00216367]) 	 loss 4.956E-01 	 horizons 19.0
step 15001 	 return [0.00817204 0.01021693 0.0057945 ], ([0.00223824 0.00344256 0.00300796]) 	 loss 4.591E-01 	 horizons 19.0
step 15191 	 return [0.00731024 0.01100298 0.00860898], ([0.00148703 0.00112363 0.00129737]) 	 loss 4.405E-01 	 horizons 19.0
step 15381 	 return [0.00717191 0.01054856 0.00835308], ([0.00059438 0.00069587 0.0018638 ]) 	 loss 4.440E-01 	 horizons 19.0
step 15571 	 return [0.00734646 0.01075291 0.00870565], ([0.00131229 0.00098864 0.0017147 ]) 	 loss 4.432E-01 	 horizons 19.0
step 15761 	 return [0.00727379 0.01115702 0.01020613], ([0.00165495 0.0009292  0.00093506]) 	 loss 4.088E-01 	 horizons 19.0
step 15951 	 return [0.00732448 0.01066994 0.00886939], ([0.00123493 0.00078076 0.00183455]) 	 loss 4.149E-01 	 horizons 19.0
step 16141 	 return [0.00740306 0.01131701 0.00958638], ([0.00132719 0.00129015 0.00159756]) 	 loss 4.168E-01 	 horizons 19.0
step 16331 	 return [0.00759039 0.01133684 0.00925169], ([0.00106484 0.00135162 0.00130176]) 	 loss 4.269E-01 	 horizons 19.0
step 16521 	 return [0.00841071 0.01164337 0.00923198], ([0.00096462 0.00072849 0.00128813]) 	 loss 4.218E-01 	 horizons 19.0
step 16711 	 return [0.00885702 0.01183632 0.00832259], ([0.00082631 0.000901   0.00166315]) 	 loss 4.203E-01 	 horizons 19.0
step 16901 	 return [0.00725644 0.0110856  0.00929673], ([0.0005932  0.00092276 0.0009782 ]) 	 loss 3.690E-01 	 horizons 19.0
step 17091 	 return [0.00861563 0.01086185 0.01028437], ([0.0012176  0.00126245 0.00101908]) 	 loss 3.833E-01 	 horizons 19.0
step 17281 	 return [0.00841957 0.0111249  0.00892935], ([0.00128561 0.00109499 0.00133195]) 	 loss 3.835E-01 	 horizons 19.0
step 17471 	 return [0.0089292  0.01019744 0.0104622 ], ([0.00127748 0.00118247 0.00286603]) 	 loss 3.681E-01 	 horizons 19.0
step 17661 	 return [0.00919283 0.01216767 0.00862281], ([0.00052915 0.0009965  0.00147982]) 	 loss 3.561E-01 	 horizons 19.0
step 17851 	 return [0.00721058 0.01059984 0.01073313], ([0.00074461 0.00076431 0.00096341]) 	 loss 3.511E-01 	 horizons 19.0
step 18041 	 return [0.00790442 0.01069878 0.01100315], ([0.00085068 0.00093762 0.00153441]) 	 loss 3.360E-01 	 horizons 19.0
step 18231 	 return [0.00913423 0.0120005  0.01066625], ([0.00052281 0.00158364 0.00170693]) 	 loss 3.589E-01 	 horizons 19.0
step 18421 	 return [0.00831209 0.01055111 0.01042001], ([0.00099966 0.00147731 0.00259239]) 	 loss 3.374E-01 	 horizons 19.0
step 18611 	 return [0.0082213  0.01149959 0.01029211], ([0.00119143 0.00120878 0.00134493]) 	 loss 3.455E-01 	 horizons 19.0
step 18801 	 return [0.00706048 0.01044023 0.01112888], ([0.0006825  0.00106725 0.00145893]) 	 loss 3.251E-01 	 horizons 19.0
step 18991 	 return [0.00930763 0.0119663  0.00895616], ([0.00050319 0.00152653 0.00150003]) 	 loss 3.508E-01 	 horizons 19.0
step 19181 	 return [0.00870076 0.01136375 0.01004114], ([0.00083036 0.0014593  0.00164922]) 	 loss 3.159E-01 	 horizons 19.0
step 19371 	 return [0.00838687 0.01116689 0.00888883], ([0.00130579 0.00081628 0.00105856]) 	 loss 2.856E-01 	 horizons 19.0
step 19561 	 return [0.00911537 0.01180631 0.01097873], ([0.00051552 0.00118509 0.00152339]) 	 loss 3.138E-01 	 horizons 19.0
step 19751 	 return [0.00870884 0.01140361 0.00976586], ([0.00074385 0.00115378 0.00121095]) 	 loss 2.941E-01 	 horizons 19.0
step 19941 	 return [0.00930874 0.0114858  0.01012342], ([0.00062363 0.00097626 0.00173827]) 	 loss 2.735E-01 	 horizons 19.0
step 20131 	 return [0.00934741 0.01175397 0.01053347], ([0.00033486 0.00139696 0.00163862]) 	 loss 2.735E-01 	 horizons 19.0
