step 3060 	 return [0.         0.00098388 0.00879277 0.00633046 0.00238725], ([0.         0.00132085 0.00222133 0.00132644 0.00292377]) 	 loss 5.612E-01 	 horizons 9.0
step 3150 	 return [0.         0.00249518 0.00739437 0.00091908 0.        ], ([0.         0.00114874 0.0012514  0.00057409 0.        ]) 	 loss 5.421E-01 	 horizons 9.0
step 3240 	 return [0.         0.00058977 0.00948932 0.00599031 0.        ], ([0.         0.00090089 0.00118072 0.00071707 0.        ]) 	 loss 5.317E-01 	 horizons 9.0
step 3330 	 return [0.         0.         0.00394355 0.00366439 0.00704981], ([0.         0.         0.00111989 0.00086422 0.00197126]) 	 loss 4.936E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00403281 0.0039454  0.00634837], ([0.         0.         0.00082523 0.00085501 0.00190804]) 	 loss 5.107E-01 	 horizons 9.0
step 3510 	 return [0.         0.         0.0038782  0.00395354 0.00634444], ([0.         0.         0.00055872 0.00096976 0.00170659]) 	 loss 4.924E-01 	 horizons 9.0
step 3600 	 return [0.         0.00132936 0.01031679 0.0053203  0.        ], ([0.         0.00111927 0.00096139 0.00126494 0.        ]) 	 loss 4.717E-01 	 horizons 9.0
step 3690 	 return [0.         0.         0.00413222 0.0036369  0.00688587], ([0.         0.         0.00102831 0.00075136 0.0025809 ]) 	 loss 4.519E-01 	 horizons 9.0
step 3780 	 return [0.00032782 0.00653701 0.0036651  0.00128367 0.        ], ([0.00070437 0.00114415 0.00157958 0.0002885  0.        ]) 	 loss 4.509E-01 	 horizons 9.0
step 3870 	 return [0.00147243 0.00627005 0.00202629 0.00126119 0.        ], ([0.00097229 0.00119804 0.00072761 0.00037193 0.        ]) 	 loss 4.585E-01 	 horizons 9.0
step 3960 	 return [0.         0.00530782 0.00598014 0.00139917 0.        ], ([0.         0.00113024 0.00121374 0.00057509 0.        ]) 	 loss 4.220E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.00847147 0.00653531 0.00059681], ([0.         0.         0.00120492 0.00068161 0.00179044]) 	 loss 4.275E-01 	 horizons 9.0
step 4140 	 return [0.         0.         0.00550086 0.00491962 0.00571674], ([0.         0.         0.00110401 0.00083327 0.00085994]) 	 loss 3.744E-01 	 horizons 9.0
step 4230 	 return [0.         0.         0.00488083 0.00288302 0.00663659], ([0.         0.         0.00049808 0.00063052 0.00085295]) 	 loss 3.654E-01 	 horizons 9.0
step 4320 	 return [0.         0.         0.00401933 0.00387547 0.00721093], ([0.         0.         0.00090717 0.00082991 0.00167484]) 	 loss 3.513E-01 	 horizons 9.0
step 4410 	 return [0.         0.         0.00392712 0.003419   0.00751429], ([0.         0.         0.00080619 0.00068049 0.00145411]) 	 loss 3.107E-01 	 horizons 9.0
step 4500 	 return [0.         0.00176956 0.01092615 0.005198   0.        ], ([0.         0.00058985 0.00057395 0.0008174  0.        ]) 	 loss 3.289E-01 	 horizons 9.0
step 4590 	 return [0.         0.         0.00620061 0.00605954 0.00492947], ([0.         0.         0.00040227 0.0013502  0.00175989]) 	 loss 2.760E-01 	 horizons 9.0
step 4680 	 return [0.00064656 0.00675084 0.00162595 0.00130966 0.        ], ([0.00092639 0.00108137 0.00086266 0.00023489 0.        ]) 	 loss 2.876E-01 	 horizons 9.0
step 4770 	 return [0.00015175 0.00162996 0.00117072 0.00302943 0.00040716], ([0.00023682 0.00065857 0.00078862 0.00073575 0.00122148]) 	 loss 2.595E-01 	 horizons 9.0
step 4860 	 return [0.         0.         0.00525836 0.00411292 0.00655695], ([0.         0.         0.00108284 0.00111831 0.00171125]) 	 loss 2.768E-01 	 horizons 9.0
step 4950 	 return [0.         0.         0.00380682 0.00420907 0.00793492], ([0.         0.         0.00067143 0.00070614 0.00231856]) 	 loss 2.983E-01 	 horizons 9.0
step 5040 	 return [0.         0.00585363 0.00582975 0.00168454 0.        ], ([0.         0.00096171 0.0012296  0.000445   0.        ]) 	 loss 2.921E-01 	 horizons 9.0
step 5130 	 return [0.         0.00059003 0.01031624 0.00482946 0.        ], ([0.         0.00090128 0.0009309  0.00124619 0.        ]) 	 loss 2.601E-01 	 horizons 9.0
step 5220 	 return [0.         0.00777399 0.00372255 0.00194274 0.        ], ([0.         0.00147678 0.00103884 0.00030076 0.        ]) 	 loss 2.701E-01 	 horizons 9.0
step 5310 	 return [0.         0.         0.00470685 0.00423887 0.00715426], ([0.         0.         0.00122084 0.00080585 0.00130008]) 	 loss 2.886E-01 	 horizons 9.0
step 5400 	 return [0.         0.         0.00520899 0.00479016 0.00612467], ([0.         0.         0.00123322 0.00089982 0.00106473]) 	 loss 2.935E-01 	 horizons 9.0
step 5490 	 return [0.         0.         0.00614473 0.00698739 0.005864  ], ([0.0000000e+00 0.0000000e+00 6.2134641e-05 1.0792568e-03 3.8120267e-04]) 	 loss 2.503E-01 	 horizons 9.0
step 5580 	 return [0.         0.         0.00698597 0.00641962 0.00132193], ([0.         0.         0.00083547 0.00108602 0.00266187]) 	 loss 2.227E-01 	 horizons 9.0
step 5670 	 return [0.00022483 0.00765951 0.00296354 0.00203979 0.        ], ([0.0006745  0.00056681 0.00075132 0.00027452 0.        ]) 	 loss 2.102E-01 	 horizons 9.0
step 5760 	 return [0.0028128  0.00558507 0.00118779 0.00146918 0.        ], ([0.00049434 0.00144488 0.00029816 0.00015749 0.        ]) 	 loss 2.259E-01 	 horizons 9.0
step 5850 	 return [0.         0.0035974  0.00769775 0.00151345 0.00051351], ([0.         0.0017117  0.00136457 0.00143158 0.00154052]) 	 loss 2.325E-01 	 horizons 9.0
step 5940 	 return [0.000319   0.0066445  0.00327414 0.00158103 0.00057223], ([0.00048728 0.00230122 0.00072202 0.00049815 0.00171669]) 	 loss 1.913E-01 	 horizons 9.0
step 6030 	 return [0.         0.         0.00436198 0.00440195 0.00742494], ([0.         0.         0.00126318 0.00100276 0.00100592]) 	 loss 2.059E-01 	 horizons 9.0
step 6120 	 return [0.00271094 0.00657316 0.00111702 0.00150931 0.        ], ([0.00071955 0.00134269 0.00042357 0.00017774 0.        ]) 	 loss 1.767E-01 	 horizons 9.0
step 6210 	 return [0.00197989 0.00724931 0.00164015 0.00144898 0.        ], ([0.0007776  0.00083329 0.00046043 0.00037181 0.        ]) 	 loss 1.816E-01 	 horizons 9.0
step 6300 	 return [0.00035494 0.00193783 0.00424139 0.00360135 0.00039643], ([0.00011831 0.00064594 0.00030481 0.00036878 0.00118928]) 	 loss 1.709E-01 	 horizons 9.0
step 6390 	 return [0.001349   0.00729236 0.0032979  0.00202486 0.        ], ([0.00110145 0.00111455 0.00175389 0.00044802 0.        ]) 	 loss 1.474E-01 	 horizons 9.0
step 6480 	 return [0.0000000e+00 8.8902605e-05 3.3294614e-03 4.2618313e-03 8.7057622e-03], ([0.         0.00026671 0.00059708 0.00036347 0.00316634]) 	 loss 1.609E-01 	 horizons 9.0
step 6570 	 return [0.         0.         0.00344173 0.00437459 0.00882276], ([0.         0.         0.00073428 0.00069883 0.00175855]) 	 loss 1.711E-01 	 horizons 9.0
step 6660 	 return [0.         0.         0.00618842 0.00739002 0.00590591], ([0.0000000e+00 0.0000000e+00 9.6675476e-06 8.7452045e-04 1.8662670e-04]) 	 loss 1.601E-01 	 horizons 9.0
step 6750 	 return [0.         0.         0.00392379 0.00452089 0.00880232], ([0.         0.         0.0008488  0.00074305 0.00098447]) 	 loss 1.456E-01 	 horizons 9.0
step 6840 	 return [0.         0.         0.00915737 0.0066483  0.        ], ([0.         0.         0.00018118 0.00035968 0.        ]) 	 loss 1.595E-01 	 horizons 9.0
step 6930 	 return [0.         0.00864824 0.00281049 0.00215665 0.        ], ([0.         0.00095208 0.00059082 0.00018387 0.        ]) 	 loss 1.156E-01 	 horizons 9.0
step 7020 	 return [0.0004254  0.00810797 0.00363729 0.00149707 0.        ], ([0.00052101 0.00087021 0.00124817 0.00050752 0.        ]) 	 loss 1.370E-01 	 horizons 9.0
step 7110 	 return [0.         0.00822318 0.00377426 0.00190588 0.        ], ([0.         0.00086369 0.00132776 0.00047749 0.        ]) 	 loss 1.040E-01 	 horizons 9.0
step 7200 	 return [0.0019502  0.0075038  0.00263829 0.00203267 0.        ], ([0.00075987 0.00045846 0.00059246 0.00034509 0.        ]) 	 loss 1.174E-01 	 horizons 9.0
step 7290 	 return [0.         0.0065406  0.00642473 0.00150472 0.        ], ([0.         0.00092265 0.00047863 0.00063973 0.        ]) 	 loss 9.679E-02 	 horizons 9.0
step 7380 	 return [0.00076355 0.00307483 0.00410823 0.00319993 0.        ], ([0.00073836 0.00187057 0.0005361  0.00055895 0.        ]) 	 loss 1.153E-01 	 horizons 9.0
step 7470 	 return [0.         0.00497556 0.00902822 0.00069904 0.        ], ([0.0000000e+00 8.6662895e-04 6.5134489e-04 3.7402917e-06 0.0000000e+00]) 	 loss 9.211E-02 	 horizons 9.0
step 7560 	 return [0.         0.00157323 0.01130044 0.00475016 0.        ], ([0.         0.00078662 0.00061533 0.00096705 0.        ]) 	 loss 1.218E-01 	 horizons 9.0
step 7650 	 return [0.         0.00137612 0.01096506 0.00554457 0.        ], ([0.         0.00090089 0.00063118 0.00015469 0.        ]) 	 loss 9.233E-02 	 horizons 9.0
step 7740 	 return [0.00010635 0.00820346 0.00352683 0.00189277 0.        ], ([0.00031905 0.00070649 0.00061262 0.00040713 0.        ]) 	 loss 9.538E-02 	 horizons 9.0
step 7830 	 return [0.         0.         0.00806596 0.0068391  0.        ], ([0.0000000e+00 0.0000000e+00 8.4182568e-04 5.7897825e-05 0.0000000e+00]) 	 loss 7.692E-02 	 horizons 9.0
step 7920 	 return [0.         0.005949   0.00837429 0.00101049 0.        ], ([0.         0.00110113 0.00099533 0.00052799 0.        ]) 	 loss 7.714E-02 	 horizons 9.0
step 8010 	 return [0.         0.0017693  0.01068959 0.00561208 0.        ], ([0.         0.00058977 0.00041321 0.00010127 0.        ]) 	 loss 9.413E-02 	 horizons 9.0
step 8100 	 return [0.00188728 0.00788887 0.00235    0.00196411 0.        ], ([0.00095995 0.00125574 0.000384   0.00035882 0.        ]) 	 loss 7.025E-02 	 horizons 9.0
step 8190 	 return [0.         0.00665678 0.00451748 0.00223905 0.00047904], ([0.         0.00243703 0.00150045 0.00118604 0.00143712]) 	 loss 8.186E-02 	 horizons 9.0
step 8280 	 return [0.00031905 0.00805166 0.00395581 0.00136509 0.        ], ([0.00048736 0.00088785 0.00070797 0.00044497 0.        ]) 	 loss 8.369E-02 	 horizons 9.0
step 8370 	 return [0.         0.         0.0046061  0.00441458 0.00818754], ([0.         0.         0.00114057 0.00116863 0.00093388]) 	 loss 7.728E-02 	 horizons 9.0
step 8460 	 return [0.         0.00101103 0.01033508 0.00471641 0.        ], ([0.         0.00125504 0.00049612 0.00098735 0.        ]) 	 loss 8.356E-02 	 horizons 9.0
step 8550 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.174E-01 	 horizons 9.0
step 8640 	 return [0.         0.00196589 0.01055186 0.00564583 0.        ], ([0.0000000e+00 2.3283064e-10 0.0000000e+00 4.6566129e-10 0.0000000e+00]) 	 loss 8.038E-02 	 horizons 9.0
step 8730 	 return [0.         0.00137612 0.01096506 0.00554457 0.        ], ([0.         0.00090089 0.00063118 0.00015469 0.        ]) 	 loss 8.139E-02 	 horizons 9.0
step 8820 	 return [0.         0.00196589 0.01055186 0.00564583 0.        ], ([0.0000000e+00 2.3283064e-10 0.0000000e+00 4.6566129e-10 0.0000000e+00]) 	 loss 6.259E-02 	 horizons 9.0
step 8910 	 return [0.         0.00019659 0.00930286 0.00653607 0.        ], ([0.         0.00058977 0.0004536  0.00046457 0.        ]) 	 loss 5.208E-02 	 horizons 9.0
step 9000 	 return [0.         0.         0.00612543 0.00589945 0.0059834 ], ([0.0000000e+00 0.0000000e+00 7.2152099e-05 1.5664952e-03 1.4857036e-03]) 	 loss 7.255E-02 	 horizons 9.0
step 9090 	 return [0.         0.         0.00305003 0.00426315 0.00996752], ([0.         0.         0.00050229 0.00085047 0.00130789]) 	 loss 9.159E-02 	 horizons 9.0
step 9180 	 return [0.         0.00615113 0.00762489 0.00113636 0.        ], ([0.         0.00081066 0.00122904 0.00058784 0.        ]) 	 loss 7.826E-02 	 horizons 9.0
step 9270 	 return [0.         0.00292362 0.01019552 0.00350418 0.        ], ([0.0000000e+00 5.6611846e-04 7.6876197e-04 9.1970345e-05 0.0000000e+00]) 	 loss 6.228E-02 	 horizons 9.0
step 9360 	 return [0.         0.00779542 0.00380979 0.00201316 0.        ], ([0.0000000e+00 9.3132257e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 6.292E-02 	 horizons 9.0
step 9450 	 return [0.         0.         0.00396498 0.00459234 0.00914682], ([0.         0.         0.00063419 0.00115158 0.00173192]) 	 loss 6.603E-02 	 horizons 9.0
step 9540 	 return [0.00015775 0.00086126 0.00478305 0.00428811 0.00310303], ([0.0001932  0.00105482 0.00059816 0.0008388  0.00253777]) 	 loss 5.668E-02 	 horizons 9.0
step 9630 	 return [0.00134415 0.00711159 0.00317693 0.00209226 0.        ], ([0.00109751 0.00096572 0.00057934 0.00010727 0.        ]) 	 loss 5.592E-02 	 horizons 9.0
step 9720 	 return [0.00224672 0.00709219 0.00263092 0.00205938 0.        ], ([0.00077795 0.00076302 0.00043355 0.00032853 0.        ]) 	 loss 6.704E-02 	 horizons 9.0
step 9810 	 return [0.00188772 0.00828971 0.0007773  0.00116616 0.        ], ([0.00082041 0.00079105 0.00050452 0.00032783 0.        ]) 	 loss 6.209E-02 	 horizons 9.0
step 9900 	 return [0.         0.         0.00338654 0.00565146 0.0077605 ], ([0.0000000e+00 0.0000000e+00 1.0571256e-05 8.0162565e-05 2.5309437e-05]) 	 loss 6.062E-02 	 horizons 9.0
step 9990 	 return [0.         0.00988779 0.00151274 0.00132442 0.        ], ([0.0000000e+00 3.8409594e-04 8.0923061e-04 6.2934741e-05 0.0000000e+00]) 	 loss 5.962E-02 	 horizons 9.0
step 10080 	 return [0.00180833 0.00770471 0.00156198 0.00171929 0.        ], ([0.00101001 0.00107105 0.00076517 0.00034771 0.        ]) 	 loss 9.026E-02 	 horizons 9.0
step 10170 	 return [0.         0.00664674 0.00740212 0.00136479 0.        ], ([0.         0.00111454 0.00122567 0.00066504 0.        ]) 	 loss 8.343E-02 	 horizons 9.0
step 10260 	 return [0.0004076  0.00213082 0.00354965 0.00351529 0.        ], ([5.7592788e-05 3.7551785e-05 8.0325926e-04 1.5595859e-04 0.0000000e+00]) 	 loss 6.437E-02 	 horizons 9.0
step 10350 	 return [0.         0.         0.00617148 0.00676918 0.00629327], ([0.0000000e+00 0.0000000e+00 2.3918677e-05 1.5594688e-03 1.0020449e-03]) 	 loss 5.466E-02 	 horizons 9.0
step 10440 	 return [0.00039438 0.00215314 0.00434299 0.00347843 0.        ], ([0.0000000e+00 2.3283064e-10 0.0000000e+00 4.6566129e-10 0.0000000e+00]) 	 loss 5.478E-02 	 horizons 9.0
step 10530 	 return [0.00207676 0.0061439  0.00274648 0.00241236 0.        ], ([0.00082126 0.00200778 0.00053517 0.00045134 0.        ]) 	 loss 4.885E-02 	 horizons 9.0
step 10620 	 return [0.         0.         0.00508842 0.00413463 0.00863122], ([0.         0.         0.0012055  0.00120164 0.00104939]) 	 loss 4.750E-02 	 horizons 9.0
step 10710 	 return [0.         0.00884398 0.00342736 0.00166553 0.        ], ([0.         0.00033688 0.00080977 0.00055702 0.        ]) 	 loss 4.795E-02 	 horizons 9.0
step 10800 	 return [0.         0.         0.00307535 0.00287875 0.01228282], ([0.         0.         0.00064625 0.00076166 0.00040233]) 	 loss 6.346E-02 	 horizons 9.0
step 10890 	 return [0.         0.0012953  0.00694409 0.00466957 0.00368501], ([0.         0.00204567 0.0008527  0.00154579 0.00316414]) 	 loss 8.124E-02 	 horizons 9.0
