step 6075 	 return [0.00166805 0.00579192 0.00598681 0.0047478  0.00520184], ([0.00209215 0.00255547 0.00223121 0.00554584 0.00139691]) 	 loss 7.378E-01 	 horizons 19.0
step 6265 	 return [0.00139808 0.0063748  0.00573168 0.00818985 0.00286662], ([0.00165691 0.00221503 0.0013982  0.00374532 0.00206341]) 	 loss 7.417E-01 	 horizons 19.0
step 6455 	 return [0.00085298 0.00764968 0.00564439 0.00764933 0.00486609], ([0.00103809 0.00248532 0.00236617 0.00382192 0.00384013]) 	 loss 7.538E-01 	 horizons 19.0
step 6645 	 return [0.00126233 0.00825069 0.00804923 0.00914453 0.00558789], ([0.001533   0.00228301 0.00168255 0.00438062 0.00337541]) 	 loss 7.371E-01 	 horizons 19.0
step 6835 	 return [0.0030242  0.00645541 0.00845887 0.0065905  0.00743243], ([0.0021666  0.00269927 0.00160189 0.0045696  0.00344117]) 	 loss 7.685E-01 	 horizons 19.0
step 7025 	 return [0.0018654  0.00767817 0.00754456 0.00740562 0.00593108], ([0.00147828 0.0026474  0.00159897 0.00430831 0.00287582]) 	 loss 7.344E-01 	 horizons 19.0
step 7215 	 return [0.00205188 0.00680159 0.00760814 0.00681801 0.00549101], ([0.001639   0.00209574 0.00134383 0.0038294  0.00265528]) 	 loss 7.456E-01 	 horizons 19.0
step 7405 	 return [0.0029262  0.00512938 0.00660661 0.00522575 0.00429208], ([0.00174145 0.00185258 0.00179308 0.00364144 0.00367648]) 	 loss 7.491E-01 	 horizons 19.0
step 7595 	 return [0.00205079 0.00658899 0.00879697 0.0100513  0.00564375], ([0.00154688 0.00291617 0.00145556 0.00422926 0.00277994]) 	 loss 7.497E-01 	 horizons 19.0
step 7785 	 return [0.00142077 0.00764733 0.00748512 0.01003845 0.00527004], ([0.00144413 0.00206228 0.00267898 0.00244553 0.00297878]) 	 loss 7.066E-01 	 horizons 19.0
step 7975 	 return [0.00149258 0.00836781 0.00800455 0.0103874  0.00612769], ([0.00168523 0.00298976 0.00210913 0.00479415 0.00346935]) 	 loss 6.991E-01 	 horizons 19.0
step 8165 	 return [0.00359828 0.00818399 0.00602476 0.00850627 0.00505043], ([0.00242996 0.00176803 0.0017597  0.00387869 0.00337472]) 	 loss 6.827E-01 	 horizons 19.0
step 8355 	 return [0.00158971 0.00751653 0.00830095 0.00982303 0.00585307], ([0.00140844 0.00191535 0.0020926  0.00410047 0.00264438]) 	 loss 6.898E-01 	 horizons 19.0
step 8545 	 return [0.00205596 0.00903853 0.00797269 0.01056219 0.0048463 ], ([0.00161658 0.00249504 0.00109167 0.00275258 0.00297747]) 	 loss 6.324E-01 	 horizons 19.0
step 8735 	 return [0.00247607 0.00699742 0.00874068 0.00781131 0.0067725 ], ([0.0018874  0.00229879 0.00171585 0.00335969 0.00243164]) 	 loss 6.486E-01 	 horizons 19.0
step 8925 	 return [0.00347443 0.00511147 0.00624484 0.00589781 0.00556695], ([0.00168175 0.00073457 0.00142635 0.00310081 0.00173812]) 	 loss 6.418E-01 	 horizons 19.0
step 9115 	 return [0.00457639 0.00534631 0.00723799 0.00813514 0.00559454], ([0.00181946 0.0016546  0.00145767 0.00298821 0.00284341]) 	 loss 6.183E-01 	 horizons 19.0
step 9305 	 return [0.00459484 0.00565833 0.00738908 0.00753455 0.00573927], ([0.00116672 0.00248135 0.00182137 0.00234314 0.00206663]) 	 loss 6.299E-01 	 horizons 19.0
step 9495 	 return [0.00663853 0.00589339 0.00595364 0.00401103 0.00393063], ([0.0010609  0.00106781 0.00120721 0.00270036 0.00185325]) 	 loss 6.040E-01 	 horizons 19.0
step 9685 	 return [0.00092322 0.00860646 0.0078854  0.01105577 0.00582976], ([0.00129861 0.00196781 0.00180456 0.00360705 0.00270051]) 	 loss 5.796E-01 	 horizons 19.0
step 9875 	 return [0.00456983 0.00561066 0.00767848 0.01056171 0.00663377], ([0.00133594 0.00261464 0.00179734 0.00361092 0.00364983]) 	 loss 5.825E-01 	 horizons 19.0
step 10065 	 return [0.00300343 0.00880937 0.00768424 0.00959824 0.00426475], ([0.00158648 0.00104612 0.00126443 0.00286614 0.00239387]) 	 loss 6.036E-01 	 horizons 19.0
step 10255 	 return [0.00555839 0.00512565 0.0061871  0.0048572  0.00435284], ([0.00234172 0.00137101 0.00102712 0.00197639 0.00237419]) 	 loss 6.002E-01 	 horizons 19.0
step 10445 	 return [0.00259356 0.00742175 0.00925502 0.009183   0.00571013], ([0.001457   0.00156751 0.00131871 0.00284434 0.00193387]) 	 loss 5.472E-01 	 horizons 19.0
step 10635 	 return [0.00543138 0.00606301 0.00710698 0.00764748 0.00539052], ([0.00122311 0.00139017 0.00173492 0.00299007 0.00142577]) 	 loss 5.321E-01 	 horizons 19.0
step 10825 	 return [0.00382832 0.0062635  0.00841688 0.00850086 0.0053287 ], ([0.00118328 0.00251965 0.00153644 0.00169866 0.0022365 ]) 	 loss 5.717E-01 	 horizons 19.0
step 11015 	 return [0.00222924 0.0075536  0.00932113 0.00726803 0.00650259], ([0.002034   0.00257476 0.00146523 0.00326703 0.00324593]) 	 loss 5.538E-01 	 horizons 19.0
step 11205 	 return [0.00432222 0.00680908 0.00689217 0.01207638 0.00711143], ([0.00087811 0.00180462 0.00285863 0.00279481 0.00231335]) 	 loss 5.564E-01 	 horizons 19.0
step 11395 	 return [0.00432598 0.00744902 0.00944511 0.01172047 0.00769152], ([0.00090635 0.00270153 0.00158672 0.00455087 0.00157175]) 	 loss 5.225E-01 	 horizons 19.0
step 11585 	 return [0.00337464 0.00639034 0.00754695 0.01053318 0.00679788], ([0.00134774 0.00139037 0.00222907 0.0024991  0.00135069]) 	 loss 5.315E-01 	 horizons 19.0
step 11775 	 return [0.00525791 0.00553382 0.0086159  0.00778169 0.0069134 ], ([0.00106813 0.00153974 0.00118176 0.00374422 0.00186023]) 	 loss 4.921E-01 	 horizons 19.0
step 11965 	 return [0.00593497 0.00619824 0.00757055 0.00383212 0.00653169], ([0.00121504 0.00108524 0.00068301 0.00129865 0.00203286]) 	 loss 4.718E-01 	 horizons 19.0
step 12155 	 return [0.00679516 0.00670488 0.00716213 0.00593219 0.00380018], ([0.00075973 0.00205301 0.00108084 0.0026932  0.00371596]) 	 loss 4.715E-01 	 horizons 19.0
step 12345 	 return [0.00412976 0.00578561 0.00823566 0.01133842 0.00739821], ([0.00084179 0.00202421 0.00157726 0.00230809 0.00140486]) 	 loss 4.836E-01 	 horizons 19.0
