step 3690 	 return [0.00035633 0.00479123 0.00019191], ([0.00034937 0.00067182 0.00038382]) 	 loss 7.205E-01 	 horizons 9.0
step 3780 	 return [1.3755800e-03 4.1853385e-03 9.0513997e-05], ([0.00107448 0.00086412 0.00027154]) 	 loss 6.872E-01 	 horizons 9.0
step 3870 	 return [0.00051458 0.00497339 0.00049035], ([0.00081192 0.00056685 0.00117833]) 	 loss 6.732E-01 	 horizons 9.0
step 3960 	 return [0.00150351 0.00404102 0.00028183], ([0.00086142 0.00060931 0.00043115]) 	 loss 6.687E-01 	 horizons 9.0
step 4050 	 return [0.00135259 0.00422239 0.00019526], ([0.00080349 0.00070671 0.00039054]) 	 loss 6.654E-01 	 horizons 9.0
step 4140 	 return [0.00058735 0.004867   0.        ], ([0.00079441 0.00040982 0.        ]) 	 loss 6.643E-01 	 horizons 9.0
step 4230 	 return [0.00018134 0.00565171 0.        ], ([0.00026937 0.00059475 0.        ]) 	 loss 6.433E-01 	 horizons 9.0
step 4320 	 return [0.00066145 0.00529528 0.00010059], ([0.00065868 0.00065801 0.00030177]) 	 loss 6.395E-01 	 horizons 9.0
step 4410 	 return [0.0001646  0.00434706 0.00304326], ([0.00032978 0.00089106 0.00188883]) 	 loss 6.060E-01 	 horizons 9.0
step 4500 	 return [0.00242446 0.00187198 0.0007026 ], ([0.00085983 0.00047859 0.00036757]) 	 loss 6.129E-01 	 horizons 9.0
step 4590 	 return [0.00207804 0.00417139 0.00028533], ([0.0011012  0.00053883 0.00043675]) 	 loss 6.243E-01 	 horizons 9.0
step 4680 	 return [1.2269266e-03 5.2787573e-03 9.9689132e-05], ([0.00120277 0.00092076 0.00029907]) 	 loss 5.966E-01 	 horizons 9.0
step 4770 	 return [8.2661456e-05 3.8794237e-03 4.7154790e-03], ([0.00024798 0.00037301 0.00078403]) 	 loss 5.754E-01 	 horizons 9.0
step 4860 	 return [0.00036614 0.00623469 0.        ], ([0.00031976 0.00068377 0.        ]) 	 loss 5.750E-01 	 horizons 9.0
step 4950 	 return [7.6966372e-04 5.3592212e-03 9.8321936e-05], ([0.00080719 0.00085953 0.00029497]) 	 loss 5.381E-01 	 horizons 9.0
step 5040 	 return [0.00063036 0.00580302 0.        ], ([0.00049676 0.00053584 0.        ]) 	 loss 5.182E-01 	 horizons 9.0
step 5130 	 return [0.         0.00379674 0.00400061], ([0.         0.00034967 0.00111138]) 	 loss 4.814E-01 	 horizons 9.0
step 5220 	 return [0.00254432 0.00382645 0.00041727], ([0.00103129 0.00088436 0.00051997]) 	 loss 5.049E-01 	 horizons 9.0
step 5310 	 return [0.00163029 0.00201015 0.00165404], ([0.00056622 0.00056651 0.00072773]) 	 loss 5.415E-01 	 horizons 9.0
step 5400 	 return [0.00132369 0.00209402 0.00187164], ([0.00057894 0.0006968  0.00072177]) 	 loss 4.998E-01 	 horizons 9.0
step 5490 	 return [8.4454106e-05 2.9466308e-03 5.3501138e-03], ([0.00025336 0.0004224  0.00080442]) 	 loss 4.618E-01 	 horizons 9.0
step 5580 	 return [0.         0.00641029 0.00460046], ([0.         0.00047526 0.00030489]) 	 loss 4.244E-01 	 horizons 9.0
step 5670 	 return [2.2833354e-03 4.1385489e-03 9.8893870e-05], ([0.00069371 0.00075321 0.00029668]) 	 loss 4.426E-01 	 horizons 9.0
step 5760 	 return [0.00158113 0.00268313 0.00153789], ([0.00096681 0.00080939 0.00092258]) 	 loss 4.313E-01 	 horizons 9.0
step 5850 	 return [0.00160087 0.00245233 0.0021578 ], ([0.00122263 0.00045328 0.00168703]) 	 loss 4.100E-01 	 horizons 9.0
step 5940 	 return [0.00140798 0.00193166 0.00188131], ([0.00044619 0.00014111 0.00076799]) 	 loss 3.999E-01 	 horizons 9.0
step 6030 	 return [0.00038869 0.00585859 0.        ], ([0.00041407 0.00049308 0.        ]) 	 loss 3.967E-01 	 horizons 9.0
step 6120 	 return [0.00125646 0.0043843  0.00105186], ([0.001092   0.0008276  0.00119949]) 	 loss 4.037E-01 	 horizons 9.0
step 6210 	 return [0.00281334 0.00230787 0.00092469], ([0.00084173 0.00044073 0.00011193]) 	 loss 3.701E-01 	 horizons 9.0
step 6300 	 return [8.2661456e-05 3.6432564e-03 5.1992023e-03], ([0.00024798 0.00042431 0.00075008]) 	 loss 3.685E-01 	 horizons 9.0
step 6390 	 return [0.00179404 0.0048685  0.000195  ], ([0.00104541 0.00076531 0.00039012]) 	 loss 3.625E-01 	 horizons 9.0
step 6480 	 return [8.1188264e-05 2.9417460e-03 6.0565351e-03], ([0.00024356 0.00041531 0.00070441]) 	 loss 3.852E-01 	 horizons 9.0
step 6570 	 return [2.4941065e-03 4.3979380e-03 9.9689132e-05], ([0.00053729 0.00039972 0.00029907]) 	 loss 3.927E-01 	 horizons 9.0
step 6660 	 return [0.00135901 0.00517343 0.00010116], ([0.00105722 0.00073568 0.00030349]) 	 loss 3.501E-01 	 horizons 9.0
step 6750 	 return [0.00109005 0.00382651 0.00287839], ([0.00063101 0.00043341 0.0015056 ]) 	 loss 3.633E-01 	 horizons 9.0
step 6840 	 return [0.00055084 0.00436563 0.00345527], ([0.00063022 0.00076173 0.001856  ]) 	 loss 3.629E-01 	 horizons 9.0
step 6930 	 return [0.0027466  0.00435152 0.        ], ([6.8927904e-05 3.3543771e-04 0.0000000e+00]) 	 loss 3.309E-01 	 horizons 9.0
step 7020 	 return [0.         0.00417423 0.00536938], ([0.         0.00045402 0.00080982]) 	 loss 3.294E-01 	 horizons 9.0
step 7110 	 return [0.00126023 0.00196791 0.00234767], ([0.00023055 0.00013336 0.00027633]) 	 loss 3.186E-01 	 horizons 9.0
step 7200 	 return [0.00093287 0.00271432 0.00370721], ([0.00012609 0.00038804 0.00075034]) 	 loss 2.852E-01 	 horizons 9.0
step 7290 	 return [0.00289623 0.00347792 0.00038866], ([0.00041804 0.00041433 0.00047623]) 	 loss 2.558E-01 	 horizons 9.0
step 7380 	 return [0.         0.00531975 0.00444892], ([0.         0.00113721 0.00154638]) 	 loss 2.495E-01 	 horizons 9.0
step 7470 	 return [0.00254865 0.00402928 0.00052285], ([0.00049522 0.00034485 0.00098706]) 	 loss 2.194E-01 	 horizons 9.0
step 7560 	 return [0.00095659 0.00353495 0.00370688], ([0.00098359 0.00036691 0.00172882]) 	 loss 2.408E-01 	 horizons 9.0
step 7650 	 return [0.001104   0.00216113 0.00292783], ([0.00027783 0.00026203 0.00062164]) 	 loss 2.213E-01 	 horizons 9.0
step 7740 	 return [0.00330018 0.00342019 0.00049028], ([0.00044922 0.00035832 0.00049029]) 	 loss 2.217E-01 	 horizons 9.0
step 7830 	 return [0.00187646 0.0060633  0.        ], ([0.00056151 0.00033589 0.        ]) 	 loss 2.062E-01 	 horizons 9.0
step 7920 	 return [0.00102836 0.00329145 0.00343736], ([0.00010493 0.00027208 0.00045749]) 	 loss 2.099E-01 	 horizons 9.0
step 8010 	 return [0.00312837 0.00338919 0.00078722], ([0.00052342 0.00012508 0.00039362]) 	 loss 1.803E-01 	 horizons 9.0
step 8100 	 return [0.00067999 0.00301756 0.00485337], ([0.00034922 0.00022611 0.00096651]) 	 loss 1.837E-01 	 horizons 9.0
step 8190 	 return [7.726350e-05 7.252291e-03 0.000000e+00], ([0.00015453 0.00028562 0.        ]) 	 loss 1.682E-01 	 horizons 9.0
step 8280 	 return [0.         0.0040719  0.00560028], ([0.         0.00013365 0.00023749]) 	 loss 1.819E-01 	 horizons 9.0
step 8370 	 return [0.         0.00404781 0.00559842], ([0.         0.00012023 0.00022599]) 	 loss 1.548E-01 	 horizons 9.0
step 8460 	 return [0.         0.00481574 0.00519843], ([0.         0.00035596 0.0005159 ]) 	 loss 1.244E-01 	 horizons 9.0
step 8550 	 return [0.0029361  0.00387548 0.00049514], ([0.0003422  0.00026358 0.00049515]) 	 loss 1.157E-01 	 horizons 9.0
step 8640 	 return [0.00016532 0.003815   0.00564767], ([0.00033065 0.00016307 0.00088057]) 	 loss 1.288E-01 	 horizons 9.0
step 8730 	 return [0.00304625 0.00356744 0.00068908], ([0.00053719 0.00032517 0.00045111]) 	 loss 1.178E-01 	 horizons 9.0
step 8820 	 return [3.863175e-05 7.403855e-03 0.000000e+00], ([0.0001159  0.00018843 0.        ]) 	 loss 1.216E-01 	 horizons 9.0
step 8910 	 return [0.00336977 0.00342664 0.00084851], ([0.00046553 0.00030963 0.00044226]) 	 loss 9.239E-02 	 horizons 9.0
step 9000 	 return [0.00041331 0.00399254 0.00473447], ([0.00041331 0.00023309 0.00081768]) 	 loss 8.753E-02 	 horizons 9.0
step 9090 	 return [0.         0.00373533 0.00616626], ([0.         0.00012317 0.00019235]) 	 loss 8.576E-02 	 horizons 9.0
step 9180 	 return [0.         0.00523538 0.00496228], ([0.        0.0007821 0.0016541]) 	 loss 8.432E-02 	 horizons 9.0
step 9270 	 return [0.         0.00416032 0.00566088], ([0.         0.00036421 0.00031905]) 	 loss 6.365E-02 	 horizons 9.0
step 9360 	 return [0.00048713 0.00296364 0.00550854], ([0.00039774 0.00019072 0.00107024]) 	 loss 9.338E-02 	 horizons 9.0
step 9450 	 return [0.         0.006246   0.00470119], ([0.         0.00064543 0.00040474]) 	 loss 7.492E-02 	 horizons 9.0
step 9540 	 return [0.00081188 0.00308843 0.0046352 ], ([5.8207661e-11 2.3283064e-10 0.0000000e+00]) 	 loss 5.752E-02 	 horizons 9.0
step 9630 	 return [0.         0.00491371 0.00543323], ([0.         0.00014159 0.0001638 ]) 	 loss 6.593E-02 	 horizons 9.0
step 9720 	 return [0.        0.0046077 0.0053   ], ([0.         0.00033496 0.00034966]) 	 loss 5.566E-02 	 horizons 9.0
step 9810 	 return [0.00032475 0.00296374 0.005965  ], ([0.00039774 0.0001018  0.00108578]) 	 loss 5.180E-02 	 horizons 9.0
step 9900 	 return [0.00049808 0.00689465 0.00044988], ([0.00063384 0.00032647 0.00134965]) 	 loss 4.914E-02 	 horizons 9.0
step 9990 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 4.643E-02 	 horizons 9.0
step 10080 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 4.731E-02 	 horizons 9.0
step 10170 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 4.723E-02 	 horizons 9.0
step 10260 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 3.870E-02 	 horizons 9.0
step 10350 	 return [0.00125181 0.00221033 0.00323701], ([0.00021413 0.00033011 0.00071197]) 	 loss 3.324E-02 	 horizons 9.0
step 10440 	 return [0.0035974  0.00267468 0.0011196 ], ([0.0002787  0.00028529 0.00015422]) 	 loss 2.858E-02 	 horizons 9.0
step 10530 	 return [0.00337083 0.00339003 0.00098327], ([4.8065869e-04 2.0745046e-04 2.6677083e-06]) 	 loss 4.844E-02 	 horizons 9.0
step 10620 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.999E-02 	 horizons 9.0
step 10710 	 return [0.00097522 0.00322646 0.00379834], ([0.00013336 0.0001127  0.00068329]) 	 loss 3.498E-02 	 horizons 9.0
step 10800 	 return [0.00260672 0.00451636 0.00042373], ([0.00051039 0.000489   0.00098482]) 	 loss 3.456E-02 	 horizons 9.0
step 10890 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 4.006E-02 	 horizons 9.0
step 10980 	 return [3.3539354e-03 4.4105975e-03 9.9117206e-05], ([0.00048931 0.00031147 0.00029735]) 	 loss 4.553E-02 	 horizons 9.0
step 11070 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.310E-02 	 horizons 9.0
step 11160 	 return [0.        0.0037879 0.0061179], ([0.         0.00028088 0.00033742]) 	 loss 3.035E-02 	 horizons 9.0
step 11250 	 return [0.00220793 0.0058446  0.        ], ([0.00040248 0.00031564 0.        ]) 	 loss 3.898E-02 	 horizons 9.0
step 11340 	 return [0.00108411 0.00331848 0.00324044], ([0.0000000e+00 0.0000000e+00 2.3283064e-10]) 	 loss 4.605E-02 	 horizons 9.0
step 11430 	 return [0.00108887 0.00246202 0.00374865], ([7.4891374e-05 1.1329484e-04 3.5869254e-04]) 	 loss 4.071E-02 	 horizons 9.0
step 11520 	 return [0.00151034 0.00182122 0.00239911], ([1.4278292e-05 7.7943669e-06 7.6800796e-05]) 	 loss 5.601E-02 	 horizons 9.0
step 11610 	 return [0.00129687 0.0020706  0.0029421 ], ([0.00024522 0.00053981 0.00106351]) 	 loss 5.124E-02 	 horizons 9.0
step 11700 	 return [0.00103113 0.00335236 0.00345167], ([0.00010599 0.00019107 0.00044878]) 	 loss 3.488E-02 	 horizons 9.0
step 11790 	 return [0.00087811 0.00377358 0.0038145 ], ([0.000103   0.00022755 0.00028703]) 	 loss 3.815E-02 	 horizons 9.0
step 11880 	 return [0.00108411 0.00331848 0.00324044], ([0.0000000e+00 0.0000000e+00 2.3283064e-10]) 	 loss 4.479E-02 	 horizons 9.0
step 11970 	 return [0.00094798 0.0027932  0.00410314], ([0.00010344 0.00027453 0.00017514]) 	 loss 4.055E-02 	 horizons 9.0
step 12060 	 return [0.00111557 0.00242034 0.00368799], ([0.00014148 0.00021762 0.0004988 ]) 	 loss 3.361E-02 	 horizons 9.0
step 12150 	 return [0.00282117 0.0052825  0.        ], ([3.1189061e-06 1.5991852e-04 0.0000000e+00]) 	 loss 3.719E-02 	 horizons 9.0
step 12240 	 return [0.00137421 0.00668838 0.        ], ([0.00068711 0.00031004 0.        ]) 	 loss 2.955E-02 	 horizons 9.0
step 12330 	 return [0.00282195 0.00532248 0.        ], ([2.3391797e-06 1.1993889e-04 0.0000000e+00]) 	 loss 3.931E-02 	 horizons 9.0
step 12420 	 return [0.00085236 0.00383047 0.00388626], ([7.724741e-05 1.706652e-04 2.152715e-04]) 	 loss 3.003E-02 	 horizons 9.0
step 12510 	 return [0.00373598 0.00332556 0.00088394], ([1.5689386e-04 7.1010923e-05 2.9464619e-04]) 	 loss 2.654E-02 	 horizons 9.0
step 12600 	 return [0.00282273 0.00536246 0.        ], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 2.757E-02 	 horizons 9.0
step 12690 	 return [0.00084563 0.00302524 0.0044574 ], ([7.0135444e-05 1.6910960e-04 2.3794749e-04]) 	 loss 3.349E-02 	 horizons 9.0
step 12780 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 3.911E-02 	 horizons 9.0
step 12870 	 return [0.00114197 0.00344783 0.00301651], ([0.00017359 0.00038805 0.00067178]) 	 loss 3.014E-02 	 horizons 9.0
step 12960 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 4.642E-02 	 horizons 9.0
step 13050 	 return [0.00264707 0.00550021 0.        ], ([0.00035132 0.00027551 0.        ]) 	 loss 3.831E-02 	 horizons 9.0
step 13140 	 return [0.00171777 0.00653336 0.        ], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 3.408E-02 	 horizons 9.0
step 13230 	 return [8.2661456e-05 3.7135803e-03 6.0031400e-03], ([2.4798437e-04 5.7926500e-05 6.8170863e-04]) 	 loss 2.419E-02 	 horizons 9.0
step 13320 	 return [0.00371775 0.00377574 0.00049108], ([3.4060562e-05 4.7385285e-04 4.9107696e-04]) 	 loss 1.460E-02 	 horizons 9.0
step 13410 	 return [0.00108887 0.00246202 0.00374865], ([7.4891374e-05 1.1329483e-04 3.5869254e-04]) 	 loss 1.556E-02 	 horizons 9.0
step 13500 	 return [0.00100612 0.00268164 0.00388876], ([0.00014859 0.00033176 0.00045647]) 	 loss 1.813E-02 	 horizons 9.0
step 13590 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.118E-02 	 horizons 9.0
step 13680 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 1.395E-02 	 horizons 9.0
step 13770 	 return [0.         0.00283896 0.00683835], ([0.0000000e+00 1.2498452e-04 3.9574177e-05]) 	 loss 1.588E-02 	 horizons 9.0
step 13860 	 return [0.         0.00439762 0.00571933], ([0.         0.00058864 0.00044325]) 	 loss 2.446E-02 	 horizons 9.0
step 13950 	 return [0.00282273 0.00536246 0.        ], ([0.000000e+00 4.656613e-10 0.000000e+00]) 	 loss 1.952E-02 	 horizons 9.0
step 14040 	 return [0.0027349  0.00543133 0.        ], ([0.00026349 0.00020663 0.        ]) 	 loss 2.307E-02 	 horizons 9.0
step 14130 	 return [0.0009077  0.00286052 0.00435232], ([0.00011735 0.00027912 0.00034646]) 	 loss 2.452E-02 	 horizons 9.0
step 14220 	 return [0.00229108 0.00420036 0.00107182], ([0.00085458 0.00062301 0.00144939]) 	 loss 3.619E-02 	 horizons 9.0
step 14310 	 return [0.         0.00656871 0.00449882], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.594E-02 	 horizons 9.0
step 14400 	 return [0.00278578 0.00524064 0.        ], ([7.3906318e-05 2.4362243e-04 0.0000000e+00]) 	 loss 1.611E-02 	 horizons 9.0
step 14490 	 return [0.00358715 0.00350411 0.0007864 ], ([0.00033611 0.00037462 0.00039321]) 	 loss 1.937E-02 	 horizons 9.0
step 14580 	 return [0.00123866 0.00223543 0.00303126], ([1.1641532e-10 2.3283064e-10 2.3283064e-10]) 	 loss 1.921E-02 	 horizons 9.0
step 14670 	 return [0.         0.00498451 0.00551514], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.103E-02 	 horizons 9.0
step 14760 	 return [8.140311e-05 2.920383e-03 6.547062e-03], ([0.00024421 0.00011928 0.00091344]) 	 loss 1.370E-02 	 horizons 9.0
step 14850 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.974E-02 	 horizons 9.0
step 14940 	 return [0.00266066 0.00479358 0.        ], ([7.843069e-05 8.456210e-05 0.000000e+00]) 	 loss 2.140E-02 	 horizons 9.0
step 15030 	 return [0.00103293 0.0032704  0.0034837 ], ([1.0261781e-04 9.6272081e-05 4.9302145e-04]) 	 loss 4.013E-02 	 horizons 9.0
step 15120 	 return [0.00085236 0.00383047 0.00388626], ([7.724741e-05 1.706652e-04 2.152715e-04]) 	 loss 2.222E-02 	 horizons 9.0
step 15210 	 return [0.         0.00497276 0.00551335], ([0.0000000e+00 1.4387483e-05 2.1886458e-06]) 	 loss 1.999E-02 	 horizons 9.0
step 15300 	 return [0.00105143 0.00251867 0.00392799], ([1.1641532e-10 2.3283064e-10 4.6566129e-10]) 	 loss 3.126E-02 	 horizons 9.0
step 15390 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.970E-02 	 horizons 9.0
step 15480 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 8.973E-03 	 horizons 9.0
step 15570 	 return [0.00280108 0.00530113 0.        ], ([6.4951855e-05 1.8397300e-04 0.0000000e+00]) 	 loss 1.377E-02 	 horizons 9.0
step 15660 	 return [0.00064951 0.00304686 0.00507847], ([3.2475303e-04 8.3121384e-05 8.8653818e-04]) 	 loss 1.433E-02 	 horizons 9.0
step 15750 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 7.137E-03 	 horizons 9.0
step 15840 	 return [0.00049597 0.00397435 0.00461049], ([0.00040496 0.00010654 0.00079911]) 	 loss 9.925E-03 	 horizons 9.0
step 15930 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 6.215E-03 	 horizons 9.0
step 16020 	 return [0.00382627 0.00325823 0.00096945], ([2.8613873e-04 7.1681803e-05 2.2335907e-05]) 	 loss 4.581E-03 	 horizons 9.0
step 16110 	 return [0.00105143 0.00251867 0.00392799], ([1.1641532e-10 2.3283064e-10 4.6566129e-10]) 	 loss 4.804E-03 	 horizons 9.0
step 16200 	 return [0.00264953 0.00487186 0.        ], ([8.6602478e-05 2.4529733e-04 0.0000000e+00]) 	 loss 3.438E-03 	 horizons 9.0
step 16290 	 return [0.00267118 0.00493319 0.        ], ([9.921560e-05 2.810234e-04 0.000000e+00]) 	 loss 2.911E-03 	 horizons 9.0
step 16380 	 return [0.00329357 0.00444944 0.        ], ([0.00056122 0.00024476 0.        ]) 	 loss 6.442E-03 	 horizons 9.0
step 16470 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 5.572E-03 	 horizons 9.0
step 16560 	 return [0.         0.00593503 0.00490535], ([0.         0.0007761  0.00049789]) 	 loss 7.288E-03 	 horizons 9.0
step 16650 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 5.464E-03 	 horizons 9.0
step 16740 	 return [0.         0.00288062 0.00685154], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 6.050E-03 	 horizons 9.0
