step 7592 	 return [0.00450639 0.00692866 0.0046743 ], ([0.00149439 0.00178206 0.00259482]) 	 loss 7.848E-01 	 horizons 19.0
step 7782 	 return [0.00484985 0.00739015 0.00695006], ([0.00134898 0.00128354 0.00251602]) 	 loss 7.565E-01 	 horizons 19.0
step 7972 	 return [0.00451712 0.00725695 0.00700842], ([0.00187342 0.00093036 0.00127997]) 	 loss 7.383E-01 	 horizons 19.0
step 8162 	 return [0.0042747  0.00602455 0.00592972], ([0.00114962 0.00151197 0.0022496 ]) 	 loss 7.337E-01 	 horizons 19.0
step 8352 	 return [0.00312147 0.00713901 0.00744889], ([0.00139405 0.00169437 0.00156343]) 	 loss 7.190E-01 	 horizons 19.0
step 8542 	 return [0.00449202 0.00639937 0.00603246], ([0.00140192 0.0024124  0.00267359]) 	 loss 7.443E-01 	 horizons 19.0
step 8732 	 return [0.00396237 0.00782174 0.00842652], ([0.00150236 0.00137998 0.00220073]) 	 loss 7.302E-01 	 horizons 19.0
step 8922 	 return [0.00688712 0.00725178 0.00553564], ([0.00208727 0.00188752 0.00254167]) 	 loss 7.373E-01 	 horizons 19.0
step 9112 	 return [0.00809591 0.00640832 0.00461465], ([0.00120735 0.0019177  0.00168628]) 	 loss 7.165E-01 	 horizons 19.0
step 9302 	 return [0.00532154 0.00760242 0.00629373], ([0.00283802 0.00165672 0.0028332 ]) 	 loss 7.136E-01 	 horizons 19.0
step 9492 	 return [0.00654253 0.00860739 0.00688468], ([0.00236294 0.0014379  0.00204419]) 	 loss 6.635E-01 	 horizons 19.0
step 9682 	 return [0.00550675 0.00775731 0.00691147], ([0.00206623 0.00181178 0.00250813]) 	 loss 6.859E-01 	 horizons 19.0
step 9872 	 return [0.00700483 0.00677213 0.00571195], ([0.00097002 0.0016547  0.00181364]) 	 loss 6.776E-01 	 horizons 19.0
step 10062 	 return [0.00806281 0.00676237 0.00519017], ([0.00135898 0.00238107 0.00223697]) 	 loss 6.468E-01 	 horizons 19.0
step 10252 	 return [0.00750271 0.00877453 0.0063941 ], ([0.00179504 0.0012816  0.00186735]) 	 loss 6.182E-01 	 horizons 19.0
step 10442 	 return [0.00582627 0.00820544 0.00754105], ([0.00182962 0.00152695 0.00269863]) 	 loss 6.110E-01 	 horizons 19.0
