step 7638 	 return [0.00584886 0.0092268  0.00763868], ([0.00195423 0.00179729 0.00234058]) 	 loss 6.280E-01 	 horizons 19.0
step 7828 	 return [0.00682194 0.00790071 0.00631321], ([0.00240877 0.00161452 0.00241108]) 	 loss 6.200E-01 	 horizons 19.0
step 8018 	 return [0.00524758 0.0082783  0.00703575], ([0.00182788 0.00119361 0.00164893]) 	 loss 6.237E-01 	 horizons 19.0
step 8208 	 return [0.00594926 0.00788174 0.00718564], ([0.00161408 0.00155567 0.00181963]) 	 loss 6.399E-01 	 horizons 19.0
step 8398 	 return [0.00623062 0.00875339 0.00583883], ([0.00269861 0.00139766 0.00200302]) 	 loss 5.970E-01 	 horizons 19.0
step 8588 	 return [0.0037166  0.00694426 0.00612808], ([0.0014381  0.0016325  0.00109462]) 	 loss 5.640E-01 	 horizons 19.0
step 8778 	 return [0.00502467 0.00895044 0.00818185], ([0.00148391 0.00155925 0.00137124]) 	 loss 5.514E-01 	 horizons 19.0
step 8968 	 return [0.00562468 0.0079087  0.0076837 ], ([0.00201124 0.00150841 0.00142875]) 	 loss 5.323E-01 	 horizons 19.0
step 9158 	 return [0.00392853 0.00881507 0.00894616], ([0.00163143 0.00125052 0.00072155]) 	 loss 5.318E-01 	 horizons 19.0
step 9348 	 return [0.0034076  0.00697793 0.00637861], ([0.00085448 0.0010208  0.00178404]) 	 loss 5.100E-01 	 horizons 19.0
step 9538 	 return [0.00570193 0.00918293 0.00750469], ([0.00215338 0.00118317 0.00149205]) 	 loss 5.394E-01 	 horizons 19.0
step 9728 	 return [0.00555153 0.00815967 0.00675902], ([0.00255293 0.00100162 0.00185268]) 	 loss 4.957E-01 	 horizons 19.0
step 9918 	 return [0.00456223 0.00769646 0.00880058], ([0.00158323 0.00094375 0.00110389]) 	 loss 5.083E-01 	 horizons 19.0
step 10108 	 return [0.00554539 0.00838227 0.00785156], ([0.00104784 0.0011502  0.00094481]) 	 loss 5.065E-01 	 horizons 19.0
step 10298 	 return [0.00580835 0.00982645 0.00801888], ([0.00173394 0.00129012 0.00147114]) 	 loss 5.046E-01 	 horizons 19.0
step 10488 	 return [0.00613995 0.00828544 0.00675844], ([0.00150933 0.00142512 0.00171889]) 	 loss 4.973E-01 	 horizons 19.0
step 10678 	 return [0.00550216 0.00981241 0.00816852], ([0.00143051 0.00184862 0.00093887]) 	 loss 4.745E-01 	 horizons 19.0
step 10868 	 return [0.00598913 0.00981973 0.00836448], ([0.00133434 0.00176774 0.00097763]) 	 loss 4.830E-01 	 horizons 19.0
step 11058 	 return [0.0055018  0.00969056 0.00786631], ([0.00110011 0.00087014 0.00129129]) 	 loss 5.153E-01 	 horizons 19.0
step 11248 	 return [0.00506193 0.00973707 0.00860788], ([0.00143345 0.00117395 0.00081144]) 	 loss 4.980E-01 	 horizons 19.0
step 11438 	 return [0.00538877 0.00891357 0.00846399], ([0.00143414 0.00106443 0.0013696 ]) 	 loss 4.803E-01 	 horizons 19.0
step 11628 	 return [0.00597091 0.01000324 0.0079537 ], ([0.00138468 0.00114596 0.00179454]) 	 loss 4.693E-01 	 horizons 19.0
step 11818 	 return [0.00547191 0.00950967 0.00799665], ([0.00100687 0.00183761 0.00119829]) 	 loss 4.428E-01 	 horizons 19.0
step 12008 	 return [0.00641764 0.01049755 0.00799462], ([0.00110314 0.00150239 0.0018441 ]) 	 loss 4.622E-01 	 horizons 19.0
step 12198 	 return [0.00726134 0.00985171 0.00710603], ([0.00103386 0.00203876 0.00148505]) 	 loss 4.604E-01 	 horizons 19.0
step 12388 	 return [0.00586483 0.01004403 0.00815826], ([0.00136904 0.00150926 0.00096259]) 	 loss 4.357E-01 	 horizons 19.0
step 12578 	 return [0.00579926 0.01030272 0.00844673], ([0.00119868 0.00158154 0.00113007]) 	 loss 4.545E-01 	 horizons 19.0
step 12768 	 return [0.00613728 0.00987986 0.00895703], ([0.00133347 0.0010671  0.00139592]) 	 loss 4.582E-01 	 horizons 19.0
step 12958 	 return [0.006757   0.01047784 0.00805324], ([0.00148688 0.00108522 0.00148943]) 	 loss 4.617E-01 	 horizons 19.0
step 13148 	 return [0.00616339 0.009891   0.00853556], ([0.00101851 0.00127402 0.00140488]) 	 loss 4.480E-01 	 horizons 19.0
step 13338 	 return [0.00673841 0.01058872 0.00854074], ([0.00108694 0.00105956 0.00135308]) 	 loss 4.679E-01 	 horizons 19.0
step 13528 	 return [0.00624259 0.01073786 0.00770833], ([0.00113712 0.00138331 0.00173792]) 	 loss 4.767E-01 	 horizons 19.0
step 13718 	 return [0.0065503  0.00903223 0.00788889], ([0.00090283 0.00059699 0.00192212]) 	 loss 4.543E-01 	 horizons 19.0
step 13908 	 return [0.00647933 0.01038936 0.0083539 ], ([0.00085631 0.00143875 0.00235851]) 	 loss 4.272E-01 	 horizons 19.0
step 14098 	 return [0.00699299 0.01015618 0.00895178], ([0.00120493 0.00195918 0.0014331 ]) 	 loss 4.447E-01 	 horizons 19.0
step 14288 	 return [0.00728016 0.01030446 0.00903912], ([0.00063515 0.00158868 0.00166888]) 	 loss 4.328E-01 	 horizons 19.0
step 14478 	 return [0.0067088  0.00991471 0.00925128], ([0.00073999 0.00103704 0.00135778]) 	 loss 4.322E-01 	 horizons 19.0
step 14668 	 return [0.00754525 0.0102552  0.00898851], ([0.00135099 0.00165348 0.00097289]) 	 loss 4.368E-01 	 horizons 19.0
step 14858 	 return [0.0067136  0.01015599 0.00985494], ([0.00087922 0.00124872 0.00161034]) 	 loss 4.161E-01 	 horizons 19.0
step 15048 	 return [0.00715298 0.01046483 0.00871541], ([0.00095678 0.00131494 0.00173123]) 	 loss 4.263E-01 	 horizons 19.0
step 15238 	 return [0.0073064  0.01019092 0.00943085], ([0.00123889 0.00118989 0.00183355]) 	 loss 4.238E-01 	 horizons 19.0
step 15428 	 return [0.00710323 0.0106908  0.00968641], ([0.00055661 0.00134735 0.00125639]) 	 loss 4.089E-01 	 horizons 19.0
