step 3600 	 return [0.00173336 0.00226072 0.00033473], ([0.00064933 0.00058778 0.00041677]) 	 loss 6.952E-01 	 horizons 9.0
step 3690 	 return [0.0026894  0.00197116 0.00055869], ([0.00042354 0.0006942  0.00048183]) 	 loss 6.463E-01 	 horizons 9.0
step 3780 	 return [0.00211827 0.00145566 0.00027954], ([0.00087664 0.00045718 0.00032716]) 	 loss 6.606E-01 	 horizons 9.0
step 3870 	 return [0.00205787 0.00118516 0.00024339], ([0.00100255 0.00036821 0.00033998]) 	 loss 6.533E-01 	 horizons 9.0
step 3960 	 return [0.0022868  0.00231525 0.00027499], ([0.00045948 0.00063249 0.00035774]) 	 loss 6.933E-01 	 horizons 9.0
step 4050 	 return [0.         0.00575372 0.00333022], ([0.         0.00056503 0.00018418]) 	 loss 7.033E-01 	 horizons 9.0
step 4140 	 return [0.00228273 0.00185397 0.00029891], ([0.00078724 0.00055587 0.00032181]) 	 loss 6.551E-01 	 horizons 9.0
step 4230 	 return [0.0023012  0.0018661  0.00050891], ([0.00090204 0.00046339 0.00037524]) 	 loss 6.963E-01 	 horizons 9.0
step 4320 	 return [0.         0.00721217 0.00251858], ([0.         0.00050201 0.00126075]) 	 loss 7.274E-01 	 horizons 9.0
step 4410 	 return [0.         0.00353744 0.00575658], ([0.         0.00035776 0.00050602]) 	 loss 6.818E-01 	 horizons 9.0
step 4500 	 return [0.         0.00729535 0.00314781], ([0.0000000e+00 3.0689064e-04 4.5866313e-05]) 	 loss 6.232E-01 	 horizons 9.0
step 4590 	 return [0.00211984 0.00357573 0.00019215], ([0.00087381 0.00086408 0.0003843 ]) 	 loss 5.911E-01 	 horizons 9.0
step 4680 	 return [8.1014288e-05 6.9934316e-03 2.8231395e-03], ([0.00024304 0.00057912 0.00094239]) 	 loss 5.934E-01 	 horizons 9.0
step 4770 	 return [0.00234591 0.00134524 0.00069776], ([0.00058234 0.00034758 0.00040219]) 	 loss 5.796E-01 	 horizons 9.0
step 4860 	 return [0.00267236 0.00140453 0.00046999], ([0.00066146 0.00047901 0.00038222]) 	 loss 5.371E-01 	 horizons 9.0
step 4950 	 return [0.         0.00615599 0.00366886], ([0.         0.00161851 0.0012053 ]) 	 loss 5.305E-01 	 horizons 9.0
step 5040 	 return [0.00297279 0.00139537 0.00069756], ([0.00033692 0.00027188 0.0003539 ]) 	 loss 4.784E-01 	 horizons 9.0
