step 3690 	 return [0.         0.00557096 0.00341653], ([0. 0. 0.]) 	 loss 5.814E-01 	 horizons 9.0
step 3780 	 return [1.3414683e-03 3.8672010e-03 9.3665534e-05], ([0.0009767  0.00058391 0.000281  ]) 	 loss 5.639E-01 	 horizons 9.0
step 3870 	 return [0.         0.00492158 0.00456396], ([0.         0.00077399 0.00116683]) 	 loss 5.829E-01 	 horizons 9.0
step 3960 	 return [0.00019515 0.00632221 0.00070079], ([0.0003903  0.00044714 0.00148142]) 	 loss 5.458E-01 	 horizons 9.0
step 4050 	 return [0.00186495 0.00320326 0.        ], ([0.00120377 0.00063126 0.        ]) 	 loss 5.186E-01 	 horizons 9.0
step 4140 	 return [0.         0.00556043 0.00333613], ([0.0000000e+00 5.5166911e-05 2.7047927e-04]) 	 loss 4.960E-01 	 horizons 9.0
step 4230 	 return [0.         0.00409653 0.00492777], ([0.         0.0007243  0.00075565]) 	 loss 4.532E-01 	 horizons 9.0
step 4320 	 return [0.         0.00524429 0.00426728], ([0.         0.00064775 0.00113537]) 	 loss 4.820E-01 	 horizons 9.0
step 4410 	 return [0.         0.00567073 0.00352476], ([0.         0.00029933 0.00032469]) 	 loss 4.339E-01 	 horizons 9.0
step 4500 	 return [0.00026714 0.00264852 0.00288735], ([0.00041422 0.00095004 0.00090682]) 	 loss 4.137E-01 	 horizons 9.0
step 4590 	 return [0.         0.00557096 0.00341653], ([0. 0. 0.]) 	 loss 4.467E-01 	 horizons 9.0
step 4680 	 return [4.7721023e-05 2.6319725e-03 2.8602541e-03], ([0.00014316 0.00056572 0.00056525]) 	 loss 3.901E-01 	 horizons 9.0
step 4770 	 return [0.         0.00388575 0.00608677], ([0.         0.00089654 0.00047647]) 	 loss 4.073E-01 	 horizons 9.0
step 4860 	 return [0.00058487 0.00146227 0.00152938], ([0.00051617 0.0004935  0.00069705]) 	 loss 4.318E-01 	 horizons 9.0
step 4950 	 return [0.         0.00462087 0.00553329], ([0.         0.00078383 0.00057067]) 	 loss 4.321E-01 	 horizons 9.0
step 5040 	 return [0.00023998 0.00304844 0.00263866], ([0.00038847 0.00140803 0.00072162]) 	 loss 3.996E-01 	 horizons 9.0
step 5130 	 return [0.         0.00412666 0.00380985], ([0.         0.00068443 0.0010216 ]) 	 loss 4.397E-01 	 horizons 9.0
step 5220 	 return [0.         0.00425456 0.00550835], ([0.         0.00116119 0.00096878]) 	 loss 4.210E-01 	 horizons 9.0
step 5310 	 return [0.00111306 0.00234525 0.00166337], ([0.00049718 0.00071755 0.00093023]) 	 loss 4.113E-01 	 horizons 9.0
step 5400 	 return [0.00041281 0.0026988  0.00243604], ([0.00046074 0.00124327 0.00092733]) 	 loss 4.397E-01 	 horizons 9.0
step 5490 	 return [0.        0.003996  0.0034522], ([0.         0.00061297 0.00078689]) 	 loss 3.801E-01 	 horizons 9.0
step 5580 	 return [0.00049841 0.00228982 0.00239514], ([0.00052709 0.00066794 0.00035887]) 	 loss 3.773E-01 	 horizons 9.0
step 5670 	 return [0.        0.0048227 0.0051957], ([0.         0.00068798 0.00066135]) 	 loss 3.833E-01 	 horizons 9.0
step 5760 	 return [0.00283246 0.00313791 0.00032468], ([0.00128426 0.00104211 0.00046283]) 	 loss 3.572E-01 	 horizons 9.0
step 5850 	 return [0.00164515 0.00349026 0.00100965], ([0.00107534 0.00106151 0.00108537]) 	 loss 3.515E-01 	 horizons 9.0
step 5940 	 return [0.         0.00441025 0.00579182], ([0.         0.00112334 0.00062925]) 	 loss 3.264E-01 	 horizons 9.0
step 6030 	 return [0.         0.00615087 0.00450011], ([0.         0.00111532 0.00097966]) 	 loss 3.112E-01 	 horizons 9.0
step 6120 	 return [0.00285914 0.00340629 0.00034112], ([0.00107195 0.00066937 0.00052482]) 	 loss 2.657E-01 	 horizons 9.0
step 6210 	 return [0.00044574 0.00616941 0.        ], ([0.00044578 0.00048792 0.        ]) 	 loss 2.510E-01 	 horizons 9.0
step 6300 	 return [0.00037111 0.00375794 0.00338984], ([0.00047986 0.00107255 0.00073774]) 	 loss 2.489E-01 	 horizons 9.0
step 6390 	 return [0.         0.00444823 0.00375189], ([0.         0.00024897 0.00033893]) 	 loss 2.482E-01 	 horizons 9.0
step 6480 	 return [0.00132445 0.00459224 0.00074146], ([0.00119911 0.00086755 0.00123351]) 	 loss 2.458E-01 	 horizons 9.0
step 6570 	 return [0.00088327 0.00138496 0.001947  ], ([0.00021045 0.00027838 0.0004334 ]) 	 loss 2.536E-01 	 horizons 9.0
step 6660 	 return [0.00067336 0.00625349 0.        ], ([0.00044162 0.00059252 0.        ]) 	 loss 2.438E-01 	 horizons 9.0
step 6750 	 return [0.00073301 0.00301829 0.003099  ], ([0.00040133 0.00068972 0.00044265]) 	 loss 2.293E-01 	 horizons 9.0
step 6840 	 return [0.00027935 0.00542852 0.00075683], ([0.00042796 0.00043963 0.00152164]) 	 loss 2.182E-01 	 horizons 9.0
step 6930 	 return [0.         0.00498294 0.00309273], ([0.         0.00057523 0.00103091]) 	 loss 1.945E-01 	 horizons 9.0
step 7020 	 return [0.00357776 0.00303478 0.00048697], ([0.00052823 0.00066163 0.00059676]) 	 loss 1.885E-01 	 horizons 9.0
step 7110 	 return [9.1915857e-04 5.0966903e-03 9.9689132e-05], ([0.00093345 0.00057515 0.00029907]) 	 loss 1.974E-01 	 horizons 9.0
step 7200 	 return [0.         0.00561775 0.00510146], ([0.         0.00077646 0.00049205]) 	 loss 1.946E-01 	 horizons 9.0
step 7290 	 return [0.00074223 0.00333239 0.00319575], ([0.00048597 0.00085334 0.00013425]) 	 loss 1.713E-01 	 horizons 9.0
step 7380 	 return [0.00048843 0.00682917 0.00125517], ([0.00048843 0.00063679 0.00153727]) 	 loss 1.387E-01 	 horizons 9.0
step 7470 	 return [0.00093612 0.00227968 0.0022667 ], ([0.00032352 0.00018146 0.00035557]) 	 loss 1.605E-01 	 horizons 9.0
step 7560 	 return [0.00111784 0.00157446 0.00200416], ([0.00021681 0.00037418 0.00035862]) 	 loss 1.543E-01 	 horizons 9.0
step 7650 	 return [0.         0.00514227 0.00540278], ([0.         0.00047548 0.00030132]) 	 loss 1.440E-01 	 horizons 9.0
step 7740 	 return [0.00044724 0.00425184 0.00336078], ([5.4817525e-04 6.6523027e-04 9.2682603e-05]) 	 loss 1.501E-01 	 horizons 9.0
