step 3780 	 return [0.00297975 0.00289158 0.00035993], ([0.0006695  0.0005372  0.00038538]) 	 loss 4.412E-01 	 horizons 9.0
step 3870 	 return [0.00216826 0.00252556 0.00054544], ([0.00060072 0.00068277 0.00047382]) 	 loss 4.302E-01 	 horizons 9.0
step 3960 	 return [0.00285647 0.00246304 0.00070631], ([0.00082949 0.00050605 0.00041631]) 	 loss 4.531E-01 	 horizons 9.0
step 4050 	 return [0.00336229 0.00200524 0.00069396], ([0.00066532 0.0004654  0.00027482]) 	 loss 4.468E-01 	 horizons 9.0
step 4140 	 return [0.00335846 0.00259069 0.00071907], ([0.00079402 0.00050538 0.00041393]) 	 loss 4.188E-01 	 horizons 9.0
step 4230 	 return [0.00293844 0.00219183 0.00069088], ([0.00087226 0.00057264 0.00044716]) 	 loss 4.065E-01 	 horizons 9.0
step 4320 	 return [0.00332143 0.00228848 0.00096788], ([0.00055073 0.00058442 0.00022337]) 	 loss 3.684E-01 	 horizons 9.0
step 4410 	 return [0.00296276 0.00369918 0.0003932 ], ([0.00062167 0.00035392 0.00048159]) 	 loss 3.892E-01 	 horizons 9.0
step 4500 	 return [0.00330378 0.00229869 0.00095973], ([0.00052876 0.00051623 0.00011556]) 	 loss 3.794E-01 	 horizons 9.0
step 4590 	 return [0.00280903 0.00371171 0.00029449], ([0.00088236 0.00051503 0.00044984]) 	 loss 3.961E-01 	 horizons 9.0
step 4680 	 return [0.         0.00587028 0.00374122], ([0.         0.00045723 0.00049597]) 	 loss 4.059E-01 	 horizons 9.0
step 4770 	 return [0.00327418 0.00350246 0.00037208], ([0.00060466 0.00062059 0.00049006]) 	 loss 4.196E-01 	 horizons 9.0
step 4860 	 return [0.00316176 0.00371793 0.00038877], ([0.00042112 0.00031954 0.00047628]) 	 loss 4.181E-01 	 horizons 9.0
step 4950 	 return [0.00357265 0.00324865 0.00067617], ([0.00056592 0.00051068 0.00044292]) 	 loss 4.603E-01 	 horizons 9.0
step 5040 	 return [0.00332481 0.00283225 0.00069206], ([0.00093294 0.0004582  0.00037049]) 	 loss 4.634E-01 	 horizons 9.0
step 5130 	 return [0.00338984 0.00323982 0.00057416], ([0.00052533 0.00066148 0.00046899]) 	 loss 4.716E-01 	 horizons 9.0
step 5220 	 return [0.00314671 0.00366582 0.00028304], ([0.00056954 0.00042008 0.00043246]) 	 loss 4.742E-01 	 horizons 9.0
