step 3780 	 return [0.         0.00456424 0.0046071 ], ([0.         0.00095706 0.00080659]) 	 loss 5.524E-01 	 horizons 9.0
step 3870 	 return [0.         0.00478615 0.00425711], ([0.         0.00021911 0.00046584]) 	 loss 5.129E-01 	 horizons 9.0
step 3960 	 return [0.00168611 0.00357751 0.00098936], ([0.00117257 0.00093239 0.00112484]) 	 loss 4.785E-01 	 horizons 9.0
step 4050 	 return [0.         0.00468963 0.00397943], ([0.0000000e+00 4.1182244e-05 3.1988116e-04]) 	 loss 4.787E-01 	 horizons 9.0
step 4140 	 return [0.00210606 0.00377715 0.00020531], ([0.00083321 0.00092321 0.00041294]) 	 loss 4.848E-01 	 horizons 9.0
step 4230 	 return [0.00026054 0.00487574 0.00235729], ([0.00055116 0.00060865 0.00153669]) 	 loss 4.596E-01 	 horizons 9.0
step 4320 	 return [0.         0.00502661 0.00452096], ([0.         0.00034204 0.00022361]) 	 loss 4.449E-01 	 horizons 9.0
step 4410 	 return [0.00325448 0.00281569 0.00039647], ([0.0006631  0.00083555 0.00044226]) 	 loss 4.361E-01 	 horizons 9.0
step 4500 	 return [0.         0.00485559 0.0043278 ], ([0.         0.0002961  0.00063532]) 	 loss 4.390E-01 	 horizons 9.0
step 4590 	 return [0.00262168 0.00396562 0.00079318], ([0.00060592 0.00031841 0.00032446]) 	 loss 4.238E-01 	 horizons 9.0
step 4680 	 return [2.388720e-03 4.170154e-03 9.293111e-05], ([0.00083693 0.00075762 0.00027879]) 	 loss 4.598E-01 	 horizons 9.0
step 4770 	 return [0.         0.00494982 0.00394903], ([0.         0.00032482 0.00068404]) 	 loss 4.539E-01 	 horizons 9.0
step 4860 	 return [0.00045909 0.00466721 0.00172385], ([0.00066922 0.00042242 0.00157997]) 	 loss 4.314E-01 	 horizons 9.0
step 4950 	 return [0.         0.005067   0.00441761], ([0.         0.000336   0.00058126]) 	 loss 4.032E-01 	 horizons 9.0
step 5040 	 return [0.002772   0.00333347 0.00063294], ([0.00049006 0.00061721 0.00043628]) 	 loss 3.739E-01 	 horizons 9.0
step 5130 	 return [0.00153398 0.00467506 0.00042589], ([0.00087657 0.00098807 0.00073904]) 	 loss 3.721E-01 	 horizons 9.0
step 5220 	 return [0.00134451 0.00446081 0.0013731 ], ([0.0010057  0.0006616  0.00132822]) 	 loss 3.607E-01 	 horizons 9.0
step 5310 	 return [0.         0.00533586 0.00385979], ([0.         0.00022051 0.00104331]) 	 loss 3.704E-01 	 horizons 9.0
step 5400 	 return [0.         0.00464519 0.00485004], ([0.         0.00062416 0.00047332]) 	 loss 3.687E-01 	 horizons 9.0
step 5490 	 return [0.00272469 0.00402336 0.00059224], ([0.00020795 0.00048082 0.00048359]) 	 loss 3.098E-01 	 horizons 9.0
step 5580 	 return [0.00166406 0.00364543 0.0021832 ], ([0.0013587  0.00067338 0.00152401]) 	 loss 3.102E-01 	 horizons 9.0
step 5670 	 return [0.         0.00490908 0.00458976], ([0.         0.00033276 0.00029064]) 	 loss 3.164E-01 	 horizons 9.0
step 5760 	 return [0.00026666 0.00507585 0.00325482], ([0.00055853 0.00037031 0.00174451]) 	 loss 2.961E-01 	 horizons 9.0
step 5850 	 return [0.00254707 0.00348444 0.00129587], ([0.00087483 0.00029896 0.00094325]) 	 loss 2.797E-01 	 horizons 9.0
step 5940 	 return [1.9002076e-03 4.8463349e-03 9.3944924e-05], ([0.00076696 0.00045838 0.00028183]) 	 loss 2.447E-01 	 horizons 9.0
step 6030 	 return [0.00302022 0.00254052 0.00082722], ([0.00054523 0.00091492 0.00032033]) 	 loss 2.528E-01 	 horizons 9.0
step 6120 	 return [0.00141377 0.00523314 0.00020081], ([0.00037585 0.00045823 0.00040165]) 	 loss 2.325E-01 	 horizons 9.0
step 6210 	 return [0.00368099 0.00264975 0.00058109], ([0.0003561  0.00082277 0.00043387]) 	 loss 2.494E-01 	 horizons 9.0
step 6300 	 return [0.00271782 0.00361781 0.0008403 ], ([0.00014344 0.00034413 0.0003137 ]) 	 loss 1.994E-01 	 horizons 9.0
step 6390 	 return [0.00222256 0.0044523  0.00029195], ([0.00051295 0.00049856 0.0004461 ]) 	 loss 2.075E-01 	 horizons 9.0
step 6480 	 return [0.00144168 0.00499783 0.00040013], ([0.00075234 0.00045933 0.00049009]) 	 loss 2.008E-01 	 horizons 9.0
step 6570 	 return [0.00299808 0.00392706 0.00057631], ([0.00042987 0.00040561 0.00047097]) 	 loss 2.227E-01 	 horizons 9.0
step 6660 	 return [0.00279514 0.00382918 0.00088073], ([0.00027928 0.00032357 0.000294  ]) 	 loss 2.152E-01 	 horizons 9.0
step 6750 	 return [0.         0.00498403 0.00427686], ([0.         0.00037462 0.00108067]) 	 loss 1.990E-01 	 horizons 9.0
step 6840 	 return [0.00134322 0.00494387 0.00112005], ([0.00067173 0.00053267 0.00108909]) 	 loss 2.144E-01 	 horizons 9.0
step 6930 	 return [0.         0.00511412 0.0045376 ], ([0.         0.00038516 0.00023695]) 	 loss 1.964E-01 	 horizons 9.0
step 7020 	 return [0.00134614 0.00488493 0.00119959], ([0.00067316 0.00039421 0.00094994]) 	 loss 2.116E-01 	 horizons 9.0
step 7110 	 return [0.00145879 0.00524425 0.00030279], ([0.00034484 0.00036838 0.00046255]) 	 loss 1.929E-01 	 horizons 9.0
step 7200 	 return [0.00113082 0.00550885 0.00023372], ([0.00052647 0.00026138 0.00070117]) 	 loss 2.127E-01 	 horizons 9.0
step 7290 	 return [9.6859949e-05 5.4014004e-03 3.2980435e-03], ([0.00029058 0.00025909 0.0015367 ]) 	 loss 2.014E-01 	 horizons 9.0
step 7380 	 return [0.00169236 0.00516497 0.00060974], ([8.5842394e-06 4.1936676e-04 4.9785350e-04]) 	 loss 1.897E-01 	 horizons 9.0
step 7470 	 return [0.         0.00536877 0.00450866], ([0.0000000e+00 2.1195653e-04 4.6637189e-05]) 	 loss 1.777E-01 	 horizons 9.0
step 7560 	 return [0.00176992 0.00481808 0.00101064], ([2.4081081e-04 2.7445563e-05 1.6799377e-05]) 	 loss 1.924E-01 	 horizons 9.0
step 7650 	 return [0.00288396 0.00438858 0.00019823], ([0.00030633 0.00023927 0.00039647]) 	 loss 1.647E-01 	 horizons 9.0
step 7740 	 return [0.00249803 0.00432243 0.00079657], ([0.00042017 0.00039252 0.00039836]) 	 loss 1.433E-01 	 horizons 9.0
step 7830 	 return [0.         0.00254935 0.00637085], ([0.         0.00109821 0.00043223]) 	 loss 1.304E-01 	 horizons 9.0
step 7920 	 return [0.00177427 0.00495048 0.00080463], ([0.00023956 0.00031919 0.00040264]) 	 loss 1.457E-01 	 horizons 9.0
step 8010 	 return [0.00168716 0.00530711 0.        ], ([5.6860605e-05 1.6017756e-04 0.0000000e+00]) 	 loss 1.204E-01 	 horizons 9.0
step 8100 	 return [0.         0.00522195 0.00442673], ([0.         0.00031724 0.00045453]) 	 loss 1.165E-01 	 horizons 9.0
step 8190 	 return [0.0031614  0.00393434 0.00096317], ([3.8762088e-04 6.8848138e-05 2.7998964e-05]) 	 loss 1.240E-01 	 horizons 9.0
step 8280 	 return [3.4838268e-03 3.8869076e-03 8.8573717e-05], ([0.00047127 0.00056218 0.00026572]) 	 loss 1.111E-01 	 horizons 9.0
step 8370 	 return [0.         0.0039918  0.00559084], ([0.         0.00091799 0.00072541]) 	 loss 1.369E-01 	 horizons 9.0
step 8460 	 return [0.00112297 0.00573545 0.00070117], ([0.00077125 0.00036232 0.00107106]) 	 loss 1.492E-01 	 horizons 9.0
step 8550 	 return [0.0018514  0.00521221 0.00049692], ([0.00032064 0.00043168 0.0004973 ]) 	 loss 1.303E-01 	 horizons 9.0
step 8640 	 return [4.0575229e-03 3.1699971e-03 8.4546547e-05], ([0.00031053 0.0006755  0.00016939]) 	 loss 1.308E-01 	 horizons 9.0
step 8730 	 return [4.1852342e-03 3.4394669e-03 4.5106855e-05], ([3.1553907e-05 1.9469144e-04 1.3532056e-04]) 	 loss 1.227E-01 	 horizons 9.0
step 8820 	 return [0.         0.00296814 0.00677732], ([0.         0.00048234 0.00035996]) 	 loss 1.062E-01 	 horizons 9.0
step 8910 	 return [0.00274889 0.00416096 0.00088758], ([8.6141481e-05 3.3840325e-04 2.9601698e-04]) 	 loss 1.113E-01 	 horizons 9.0
step 9000 	 return [0.00045507 0.00233319 0.00429118], ([0.00080077 0.00059489 0.00214473]) 	 loss 1.138E-01 	 horizons 9.0
step 9090 	 return [0.00160935 0.00536421 0.00070462], ([0.00058617 0.00045441 0.00120223]) 	 loss 1.558E-01 	 horizons 9.0
step 9180 	 return [0.         0.00308794 0.00668696], ([0.         0.00046744 0.00039553]) 	 loss 1.353E-01 	 horizons 9.0
step 9270 	 return [1.4023145e-03 5.7565481e-03 9.8598000e-05], ([0.00037291 0.00015515 0.00029579]) 	 loss 1.113E-01 	 horizons 9.0
step 9360 	 return [0.         0.00367534 0.00607491], ([0.         0.00067639 0.00037559]) 	 loss 1.273E-01 	 horizons 9.0
step 9450 	 return [0.00277398 0.00437168 0.00029735], ([0.00061528 0.00032482 0.00045421]) 	 loss 1.065E-01 	 horizons 9.0
step 9540 	 return [0.         0.00412765 0.00587645], ([0.         0.00062567 0.0004927 ]) 	 loss 9.721E-02 	 horizons 9.0
step 9630 	 return [0.         0.00492563 0.0050851 ], ([0.         0.00046683 0.00047366]) 	 loss 1.100E-01 	 horizons 9.0
step 9720 	 return [0.         0.00497938 0.00507316], ([0.         0.00049133 0.00049013]) 	 loss 1.103E-01 	 horizons 9.0
step 9810 	 return [0.00277378 0.00400319 0.00099117], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 1.151E-01 	 horizons 9.0
step 9900 	 return [0.         0.00381509 0.00605756], ([0.00000000e+00 5.20330868e-05 1.10707144e-04]) 	 loss 1.007E-01 	 horizons 9.0
step 9990 	 return [0.         0.00382699 0.00604235], ([0.         0.00043271 0.00025468]) 	 loss 8.867E-02 	 horizons 9.0
step 10080 	 return [0.00377907 0.00269961 0.00092796], ([0.00046049 0.00033859 0.00019353]) 	 loss 9.659E-02 	 horizons 9.0
step 10170 	 return [0.00375559 0.00271907 0.00092553], ([0.00036408 0.00057192 0.00026593]) 	 loss 9.428E-02 	 horizons 9.0
step 10260 	 return [0.0017157  0.00549975 0.        ], ([7.8974008e-06 1.5373308e-04 0.0000000e+00]) 	 loss 1.038E-01 	 horizons 9.0
step 10350 	 return [0.00019442 0.00631935 0.0001972 ], ([0.00038885 0.00030987 0.00039439]) 	 loss 8.551E-02 	 horizons 9.0
step 10440 	 return [0.00029251 0.00218696 0.00453645], ([0.00035383 0.000378   0.00206578]) 	 loss 9.239E-02 	 horizons 9.0
step 10530 	 return [4.1165231e-03 3.3414322e-03 4.4814507e-05], ([0.00039896 0.00028297 0.00013444]) 	 loss 8.003E-02 	 horizons 9.0
step 10620 	 return [0.00425617 0.00272482 0.00109255], ([0.00028237 0.00040442 0.0001361 ]) 	 loss 8.777E-02 	 horizons 9.0
step 10710 	 return [9.721141e-05 6.418216e-03 9.859800e-05], ([0.00029163 0.00023799 0.00029579]) 	 loss 6.083E-02 	 horizons 9.0
step 10800 	 return [0.0044764  0.0024113  0.00090033], ([0.00028238 0.00029851 0.00042023]) 	 loss 6.494E-02 	 horizons 9.0
step 10890 	 return [0.         0.00290783 0.0057384 ], ([0.0000000e+00 2.3283064e-10 4.6566129e-10]) 	 loss 6.532E-02 	 horizons 9.0
step 10980 	 return [0.00426389 0.00334431 0.        ], ([0.00044126 0.0002772  0.        ]) 	 loss 8.823E-02 	 horizons 9.0
step 11070 	 return [5.0008320e-03 2.6609502e-03 8.8410095e-05], ([9.3634233e-05 2.6730140e-04 1.7682018e-04]) 	 loss 6.768E-02 	 horizons 9.0
step 11160 	 return [0.00170536 0.00570103 0.        ], ([5.1700626e-06 1.0064193e-04 0.0000000e+00]) 	 loss 6.848E-02 	 horizons 9.0
step 11250 	 return [0.00274143 0.00488572 0.00019199], ([1.3415833e-04 8.0544058e-05 3.8397129e-04]) 	 loss 7.022E-02 	 horizons 9.0
step 11340 	 return [0.00354377 0.00379926 0.00093956], ([4.9867740e-05 1.6605348e-04 1.4201419e-05]) 	 loss 7.957E-02 	 horizons 9.0
step 11430 	 return [0.00026672 0.00248389 0.00363727], ([0.00021778 0.00058629 0.00144591]) 	 loss 6.471E-02 	 horizons 9.0
step 11520 	 return [0.0042047  0.00296481 0.0010408 ], ([0.00038737 0.00032289 0.00014068]) 	 loss 9.279E-02 	 horizons 9.0
