step 3060 	 return [0.         0.         0.00604876 0.00756919 0.0058381 ], ([0.         0.         0.00040932 0.000337   0.00039007]) 	 loss 6.107E-01 	 horizons 9.0
step 3150 	 return [0.         0.00735776 0.0048239  0.00158218 0.        ], ([0.         0.00188793 0.00144882 0.0002768  0.        ]) 	 loss 6.415E-01 	 horizons 9.0
step 3240 	 return [0.00126679 0.00232421 0.00045112 0.00045339 0.        ], ([0.00116101 0.00103708 0.00025834 0.00016038 0.        ]) 	 loss 5.771E-01 	 horizons 9.0
step 3330 	 return [0.         0.         0.00539522 0.00593053 0.00596651], ([0.         0.         0.00120524 0.00116347 0.00066203]) 	 loss 5.853E-01 	 horizons 9.0
step 3420 	 return [0.         0.         0.00516117 0.0061213  0.00608919], ([0.         0.         0.00132667 0.00092819 0.00092188]) 	 loss 5.670E-01 	 horizons 9.0
step 3510 	 return [0.         0.00639754 0.00484391 0.00134643 0.        ], ([0.         0.00122205 0.00098143 0.00021707 0.        ]) 	 loss 5.276E-01 	 horizons 9.0
step 3600 	 return [0.00010115 0.00656912 0.00153474 0.0013704  0.        ], ([0.00030344 0.00115234 0.00078479 0.00032086 0.        ]) 	 loss 4.940E-01 	 horizons 9.0
step 3690 	 return [5.3021628e-05 3.7068538e-03 1.1445744e-03 2.0882632e-03 2.2408561e-04], ([0.00015906 0.00267077 0.00061666 0.00143671 0.00067226]) 	 loss 5.047E-01 	 horizons 9.0
step 3780 	 return [0.         0.00714542 0.00489468 0.00153337 0.        ], ([0.         0.00206241 0.00069417 0.00041974 0.        ]) 	 loss 5.217E-01 	 horizons 9.0
step 3870 	 return [0.         0.         0.00447613 0.0058371  0.00641627], ([0.         0.         0.00136973 0.00100303 0.00121583]) 	 loss 5.210E-01 	 horizons 9.0
step 3960 	 return [0.00177968 0.00674399 0.00090822 0.00124279 0.        ], ([0.00091085 0.00113856 0.0003133  0.00035719 0.        ]) 	 loss 4.777E-01 	 horizons 9.0
step 4050 	 return [0.00180196 0.00687511 0.00075009 0.00117604 0.        ], ([0.00086329 0.00174583 0.00033825 0.00041338 0.        ]) 	 loss 5.074E-01 	 horizons 9.0
step 4140 	 return [0.00122516 0.00671765 0.00155875 0.00126714 0.        ], ([0.00137284 0.00075194 0.00066438 0.00042654 0.        ]) 	 loss 4.678E-01 	 horizons 9.0
step 4230 	 return [0.00294549 0.00328983 0.00052064 0.00115412 0.        ], ([0.0011073  0.0017673  0.0001129  0.00041208 0.        ]) 	 loss 4.497E-01 	 horizons 9.0
step 4320 	 return [0.00208456 0.00597983 0.00109911 0.00109542 0.        ], ([0.00091608 0.00142179 0.00039776 0.00055415 0.        ]) 	 loss 4.686E-01 	 horizons 9.0
step 4410 	 return [0.         0.00622488 0.00331364 0.00127553 0.        ], ([0.         0.00120085 0.00134542 0.00024178 0.        ]) 	 loss 4.540E-01 	 horizons 9.0
step 4500 	 return [0.00304283 0.00615424 0.00108698 0.00139701 0.        ], ([0.00049857 0.00079056 0.00034083 0.00019396 0.        ]) 	 loss 4.734E-01 	 horizons 9.0
step 4590 	 return [0.00076247 0.00823521 0.00107242 0.00121487 0.        ], ([0.00100714 0.00109418 0.00063939 0.00026831 0.        ]) 	 loss 4.983E-01 	 horizons 9.0
step 4680 	 return [0.         0.0071986  0.0032232  0.00134254 0.        ], ([0.         0.00113081 0.00083308 0.00042432 0.        ]) 	 loss 4.494E-01 	 horizons 9.0
step 4770 	 return [0.         0.00723684 0.00195947 0.00138989 0.        ], ([0.         0.00084737 0.00061373 0.00012987 0.        ]) 	 loss 4.440E-01 	 horizons 9.0
step 4860 	 return [0.00068571 0.00672826 0.00120486 0.0013784  0.        ], ([0.00089699 0.00150805 0.00079586 0.00016384 0.        ]) 	 loss 4.219E-01 	 horizons 9.0
step 4950 	 return [0.00076166 0.00781251 0.0010965  0.00147724 0.        ], ([0.00086365 0.00055955 0.00039689 0.00017708 0.        ]) 	 loss 4.707E-01 	 horizons 9.0
step 5040 	 return [0.00245214 0.00675902 0.00114972 0.00150924 0.        ], ([0.00087524 0.0008946  0.00036055 0.00021719 0.        ]) 	 loss 4.360E-01 	 horizons 9.0
step 5130 	 return [0.00164737 0.007282   0.00113907 0.00145105 0.        ], ([0.00092446 0.00093965 0.00037994 0.00020653 0.        ]) 	 loss 3.976E-01 	 horizons 9.0
step 5220 	 return [0.00221823 0.00706247 0.00121195 0.0015629  0.        ], ([0.00073603 0.00079705 0.00031811 0.00010271 0.        ]) 	 loss 3.699E-01 	 horizons 9.0
step 5310 	 return [0.00118028 0.00784945 0.00093603 0.00119512 0.        ], ([0.0006035  0.00048793 0.00054663 0.00029643 0.        ]) 	 loss 3.510E-01 	 horizons 9.0
step 5400 	 return [0.00238511 0.00694368 0.00063137 0.00114426 0.        ], ([0.00109665 0.00084997 0.00021442 0.00034102 0.        ]) 	 loss 3.298E-01 	 horizons 9.0
step 5490 	 return [0.0022175  0.00708671 0.00130697 0.00160801 0.        ], ([1.3296395e-05 1.2474509e-04 2.0097886e-04 8.7237102e-05 0.0000000e+00]) 	 loss 3.369E-01 	 horizons 9.0
step 5580 	 return [0.         0.00778415 0.00234161 0.00155821 0.        ], ([0.         0.00036832 0.00134361 0.00030703 0.        ]) 	 loss 3.510E-01 	 horizons 9.0
step 5670 	 return [0.00300936 0.00639563 0.00111486 0.00146126 0.        ], ([0.0004917  0.00076818 0.00035567 0.00020117 0.        ]) 	 loss 3.313E-01 	 horizons 9.0
step 5760 	 return [0.         0.         0.00620709 0.00726369 0.00563354], ([0.0000000e+00 0.0000000e+00 5.7568905e-05 6.3830643e-04 5.1117147e-04]) 	 loss 2.901E-01 	 horizons 9.0
step 5850 	 return [0.00310959 0.00584629 0.00125516 0.0014987  0.        ], ([0.00042016 0.00050823 0.00019291 0.00016124 0.        ]) 	 loss 2.537E-01 	 horizons 9.0
