step 3690 	 return [0.00188904 0.00234653 0.00013625], ([0.00079823 0.00086485 0.00028889]) 	 loss 6.810E-01 	 horizons 9.0
step 3780 	 return [0.00247175 0.00156614 0.00038502], ([0.00134128 0.0008319  0.00059451]) 	 loss 6.274E-01 	 horizons 9.0
step 3870 	 return [0.0007921  0.00352539 0.00144159], ([0.00087783 0.00073875 0.00178742]) 	 loss 6.288E-01 	 horizons 9.0
step 3960 	 return [0.         0.00509555 0.00470128], ([0.         0.00051723 0.0008259 ]) 	 loss 6.005E-01 	 horizons 9.0
step 4050 	 return [0.         0.0033062  0.00506913], ([0.         0.00041793 0.00068189]) 	 loss 5.764E-01 	 horizons 9.0
step 4140 	 return [7.1945979e-05 3.6922470e-03 3.9516375e-03], ([0.00021584 0.00074876 0.00155285]) 	 loss 5.702E-01 	 horizons 9.0
step 4230 	 return [0.00017412 0.00381048 0.00433437], ([0.0003488  0.00076101 0.00055701]) 	 loss 5.472E-01 	 horizons 9.0
step 4320 	 return [0.00258996 0.00252899 0.00017818], ([0.00069328 0.00075353 0.00029236]) 	 loss 5.312E-01 	 horizons 9.0
step 4410 	 return [0.00038167 0.00172977 0.00283727], ([0.00037728 0.00070432 0.0013457 ]) 	 loss 5.395E-01 	 horizons 9.0
step 4500 	 return [0.         0.00449338 0.00513854], ([0.         0.000752   0.00053114]) 	 loss 5.194E-01 	 horizons 9.0
step 4590 	 return [0.         0.00393155 0.00521415], ([0.         0.00084405 0.00053284]) 	 loss 4.789E-01 	 horizons 9.0
step 4680 	 return [2.9443896e-03 2.6308254e-03 9.2907474e-05], ([0.00062704 0.00082331 0.00018625]) 	 loss 4.970E-01 	 horizons 9.0
step 4770 	 return [0.00251724 0.00273085 0.00023009], ([0.00081098 0.00059224 0.00037014]) 	 loss 5.004E-01 	 horizons 9.0
step 4860 	 return [0.000516   0.00397208 0.00144016], ([0.00046631 0.00069345 0.00228645]) 	 loss 5.127E-01 	 horizons 9.0
step 4950 	 return [0.         0.00284165 0.00587716], ([0.         0.00069464 0.0007033 ]) 	 loss 4.726E-01 	 horizons 9.0
step 5040 	 return [0.00027092 0.0038509  0.00244607], ([0.00029696 0.00079095 0.00252471]) 	 loss 4.556E-01 	 horizons 9.0
step 5130 	 return [0.00079745 0.00136428 0.00209322], ([0.00044292 0.0003619  0.00019234]) 	 loss 4.564E-01 	 horizons 9.0
step 5220 	 return [0.         0.00407072 0.00466261], ([0.         0.00074968 0.00063955]) 	 loss 4.049E-01 	 horizons 9.0
step 5310 	 return [3.4442019e-05 4.9165124e-03 2.9528146e-03], ([0.00010333 0.0003838  0.00152928]) 	 loss 4.128E-01 	 horizons 9.0
step 5400 	 return [0.00104716 0.00455931 0.        ], ([0.00062176 0.00041801 0.        ]) 	 loss 3.894E-01 	 horizons 9.0
step 5490 	 return [0.00230995 0.0033668  0.        ], ([0.00092115 0.00057851 0.        ]) 	 loss 3.903E-01 	 horizons 9.0
step 5580 	 return [0.         0.00453381 0.00552251], ([0.         0.00059614 0.0004661 ]) 	 loss 3.881E-01 	 horizons 9.0
step 5670 	 return [2.7978742e-03 2.8626870e-03 4.8527672e-05], ([0.00074898 0.00057631 0.00014558]) 	 loss 3.477E-01 	 horizons 9.0
step 5760 	 return [0.00053587 0.00456738 0.00046991], ([0.00056796 0.00068932 0.00140973]) 	 loss 3.809E-01 	 horizons 9.0
step 5850 	 return [8.2661456e-05 3.3623751e-03 5.5336501e-03], ([0.00024798 0.00054218 0.00084743]) 	 loss 3.472E-01 	 horizons 9.0
step 5940 	 return [0.00029111 0.00545812 0.0019271 ], ([0.00044467 0.00029172 0.00200288]) 	 loss 3.473E-01 	 horizons 9.0
step 6030 	 return [0.         0.00449164 0.00536125], ([0.         0.00071106 0.00034966]) 	 loss 3.473E-01 	 horizons 9.0
step 6120 	 return [0.         0.0054038  0.00438819], ([0.         0.00040136 0.0006611 ]) 	 loss 3.219E-01 	 horizons 9.0
step 6210 	 return [0.         0.00362266 0.00556889], ([0.         0.0007515  0.00046287]) 	 loss 2.865E-01 	 horizons 9.0
step 6300 	 return [0.         0.00516066 0.00475413], ([0.         0.00043859 0.00073093]) 	 loss 2.871E-01 	 horizons 9.0
step 6390 	 return [0.         0.00436184 0.0053167 ], ([0.         0.00081981 0.0004348 ]) 	 loss 2.841E-01 	 horizons 9.0
step 6480 	 return [0.00396085 0.00138946 0.00031541], ([0.00039058 0.0003903  0.00020754]) 	 loss 2.845E-01 	 horizons 9.0
step 6570 	 return [0.00107425 0.00135873 0.00233937], ([0.00013007 0.00022667 0.00040257]) 	 loss 2.788E-01 	 horizons 9.0
step 6660 	 return [0.0020346  0.00352656 0.        ], ([0.00095875 0.00077493 0.        ]) 	 loss 2.485E-01 	 horizons 9.0
step 6750 	 return [0.00125754 0.00441877 0.        ], ([0.00026212 0.00040406 0.        ]) 	 loss 2.515E-01 	 horizons 9.0
step 6840 	 return [0.00105086 0.0015219  0.00241921], ([0.00015395 0.00044733 0.00052779]) 	 loss 2.623E-01 	 horizons 9.0
step 6930 	 return [0.         0.00554917 0.00350336], ([0.         0.00025349 0.00061362]) 	 loss 2.671E-01 	 horizons 9.0
step 7020 	 return [0.         0.00414919 0.0055287 ], ([0.         0.00081481 0.0002236 ]) 	 loss 2.495E-01 	 horizons 9.0
step 7110 	 return [0.00112794 0.00126925 0.00218417], ([4.1778214e-05 1.8595782e-04 2.1491035e-04]) 	 loss 2.458E-01 	 horizons 9.0
step 7200 	 return [3.2673806e-03 2.8734435e-03 7.4924072e-05], ([0.00106307 0.00076796 0.0001537 ]) 	 loss 2.100E-01 	 horizons 9.0
step 7290 	 return [0.         0.00392719 0.0056022 ], ([0.         0.00080254 0.00038832]) 	 loss 2.075E-01 	 horizons 9.0
step 7380 	 return [9.701900e-05 5.529876e-03 2.820845e-03], ([0.00029106 0.00100824 0.00195753]) 	 loss 2.069E-01 	 horizons 9.0
step 7470 	 return [0.00158033 0.00440056 0.        ], ([0.00047157 0.00087656 0.        ]) 	 loss 2.153E-01 	 horizons 9.0
step 7560 	 return [0.         0.00554576 0.00408266], ([0.         0.00044855 0.00074107]) 	 loss 2.189E-01 	 horizons 9.0
step 7650 	 return [0.00113955 0.00126645 0.00214766], ([3.1643503e-05 1.0034864e-04 1.5261736e-04]) 	 loss 1.875E-01 	 horizons 9.0
step 7740 	 return [8.2661456e-05 3.8871788e-03 5.7255942e-03], ([0.00024798 0.00066599 0.0010591 ]) 	 loss 1.790E-01 	 horizons 9.0
step 7830 	 return [0.         0.00475921 0.00544166], ([0.         0.0001937  0.00028859]) 	 loss 1.917E-01 	 horizons 9.0
step 7920 	 return [0.         0.00593965 0.00307066], ([0.         0.00048825 0.0015357 ]) 	 loss 1.628E-01 	 horizons 9.0
step 8010 	 return [0.00191651 0.00416209 0.        ], ([0.00058374 0.00047718 0.        ]) 	 loss 1.564E-01 	 horizons 9.0
step 8100 	 return [0.00084545 0.00546054 0.        ], ([0.00047283 0.00063544 0.        ]) 	 loss 1.532E-01 	 horizons 9.0
step 8190 	 return [0.0004784  0.00468251 0.00335506], ([0.00049151 0.00104023 0.00117106]) 	 loss 1.478E-01 	 horizons 9.0
step 8280 	 return [2.5212152e-03 3.9446289e-03 8.7530803e-05], ([0.0011043  0.00058934 0.00026259]) 	 loss 1.742E-01 	 horizons 9.0
step 8370 	 return [0.00284351 0.00407847 0.        ], ([0.00114925 0.00060716 0.        ]) 	 loss 1.857E-01 	 horizons 9.0
step 8460 	 return [0.00428941 0.0012454  0.00030495], ([0.00018532 0.00030591 0.00019964]) 	 loss 1.767E-01 	 horizons 9.0
step 8550 	 return [0.00033065 0.00457787 0.00416834], ([0.00040496 0.0007342  0.0007523 ]) 	 loss 2.002E-01 	 horizons 9.0
step 8640 	 return [0.00435296 0.00159333 0.00019519], ([0.00034491 0.00041561 0.00020238]) 	 loss 2.427E-01 	 horizons 9.0
step 8730 	 return [0.00178201 0.0045081  0.        ], ([0.00082687 0.00053987 0.        ]) 	 loss 2.171E-01 	 horizons 9.0
step 8820 	 return [0.00118788 0.00479591 0.00032373], ([0.00050273 0.00070498 0.00097119]) 	 loss 2.060E-01 	 horizons 9.0
step 8910 	 return [0.         0.00286549 0.0068714 ], ([0.0000000e+00 2.3115350e-05 3.0331867e-05]) 	 loss 2.014E-01 	 horizons 9.0
step 9000 	 return [0.         0.00551766 0.00414649], ([0.         0.00035804 0.00059577]) 	 loss 1.992E-01 	 horizons 9.0
step 9090 	 return [0.         0.00447703 0.00547187], ([0.         0.00068952 0.00084214]) 	 loss 1.774E-01 	 horizons 9.0
step 9180 	 return [0.         0.00480275 0.00535306], ([0.0000000e+00 2.2485851e-06 3.4836306e-05]) 	 loss 1.798E-01 	 horizons 9.0
step 9270 	 return [0.         0.00298282 0.00684516], ([0.         0.00040811 0.0001544 ]) 	 loss 1.564E-01 	 horizons 9.0
step 9360 	 return [0.00361075 0.00368899 0.        ], ([0.00072434 0.00051024 0.        ]) 	 loss 1.648E-01 	 horizons 9.0
step 9450 	 return [0.00362989 0.00359652 0.0001482 ], ([0.00024604 0.00051092 0.00031421]) 	 loss 1.493E-01 	 horizons 9.0
step 9540 	 return [0.         0.00532327 0.00451631], ([0.         0.00028025 0.00054102]) 	 loss 1.683E-01 	 horizons 9.0
step 9630 	 return [0.00366887 0.00385856 0.        ], ([0.00024613 0.00031466 0.        ]) 	 loss 1.662E-01 	 horizons 9.0
step 9720 	 return [9.7019001e-05 6.7784423e-03 0.0000000e+00], ([0.00029106 0.00041306 0.        ]) 	 loss 1.626E-01 	 horizons 9.0
step 9810 	 return [8.1188264e-05 3.0086483e-03 6.6169044e-03], ([0.00024356 0.0004058  0.00067794]) 	 loss 1.338E-01 	 horizons 9.0
step 9900 	 return [0.00093861 0.00395649 0.00335111], ([0.00014594 0.00054668 0.00116052]) 	 loss 1.523E-01 	 horizons 9.0
step 9990 	 return [0.         0.0035724  0.00641299], ([0.         0.00091494 0.00065936]) 	 loss 1.212E-01 	 horizons 9.0
step 10080 	 return [1.4044511e-03 5.1737777e-03 9.9689132e-05], ([0.00089559 0.00060337 0.00029907]) 	 loss 1.402E-01 	 horizons 9.0
step 10170 	 return [0.00236865 0.00465773 0.00019938], ([0.0011769  0.00071996 0.00039876]) 	 loss 1.188E-01 	 horizons 9.0
step 10260 	 return [8.1188264e-05 3.1310276e-03 6.5840445e-03], ([0.00024356 0.00054254 0.00068208]) 	 loss 1.202E-01 	 horizons 9.0
step 10350 	 return [0.         0.00581645 0.0034436 ], ([0.         0.00036657 0.00114816]) 	 loss 1.110E-01 	 horizons 9.0
step 10440 	 return [0.00348805 0.0032701  0.00053832], ([8.2745501e-05 6.4299715e-04 4.5976625e-04]) 	 loss 9.669E-02 	 horizons 9.0
step 10530 	 return [0.         0.00456679 0.00567727], ([0.         0.00060801 0.00050246]) 	 loss 1.048E-01 	 horizons 9.0
step 10620 	 return [0.00408508 0.00327413 0.00025906], ([0.00030582 0.00042306 0.00029885]) 	 loss 1.012E-01 	 horizons 9.0
step 10710 	 return [0.00350056 0.00334605 0.0005951 ], ([8.9222747e-05 3.6504061e-04 2.8553352e-04]) 	 loss 1.110E-01 	 horizons 9.0
step 10800 	 return [0.0022851  0.00458861 0.00029907], ([0.00111859 0.00071218 0.00045683]) 	 loss 9.910E-02 	 horizons 9.0
step 10890 	 return [0.00412302 0.00258412 0.00045992], ([4.7427726e-05 1.4512052e-04 7.4409443e-05]) 	 loss 8.866E-02 	 horizons 9.0
step 10980 	 return [0.00105116 0.00309537 0.0037357 ], ([0.00013816 0.00038534 0.00040258]) 	 loss 1.007E-01 	 horizons 9.0
step 11070 	 return [0.00202192 0.00461003 0.00038839], ([0.00109676 0.00069983 0.00047652]) 	 loss 9.965E-02 	 horizons 9.0
step 11160 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 9.869E-02 	 horizons 9.0
step 11250 	 return [0.00358576 0.00313477 0.00087462], ([0.00013039 0.00023875 0.00018569]) 	 loss 7.928E-02 	 horizons 9.0
step 11340 	 return [0.         0.00512844 0.00509118], ([0.         0.00030182 0.00047114]) 	 loss 8.008E-02 	 horizons 9.0
step 11430 	 return [0.00082661 0.00388736 0.00395801], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 7.197E-02 	 horizons 9.0
step 11520 	 return [0.00351849 0.00334749 0.0007063 ], ([0.00015866 0.00031444 0.00037775]) 	 loss 9.471E-02 	 horizons 9.0
step 11610 	 return [0.00098935 0.00372726 0.00360618], ([0.00016274 0.0001601  0.00035183]) 	 loss 8.106E-02 	 horizons 9.0
step 11700 	 return [0.00085916 0.00385534 0.00388765], ([9.7642223e-05 9.6059121e-05 2.1110018e-04]) 	 loss 8.429E-02 	 horizons 9.0
step 11790 	 return [0.         0.00509939 0.004962  ], ([0.         0.0002806  0.00061503]) 	 loss 6.318E-02 	 horizons 9.0
step 11880 	 return [0.00087742 0.00310431 0.00442799], ([0.00013119 0.00018139 0.00044217]) 	 loss 6.523E-02 	 horizons 9.0
step 11970 	 return [0.00079373 0.002962   0.0047054 ], ([0.00029232 0.00020851 0.00072464]) 	 loss 5.990E-02 	 horizons 9.0
step 12060 	 return [0.00097019 0.00553926 0.        ], ([5.820766e-11 4.656613e-10 0.000000e+00]) 	 loss 5.931E-02 	 horizons 9.0
step 12150 	 return [0.00346238 0.00366237 0.00059077], ([0.00034382 0.00037114 0.00048238]) 	 loss 5.338E-02 	 horizons 9.0
step 12240 	 return [0.00276611 0.00410589 0.00079604], ([0.00068375 0.00052531 0.00039804]) 	 loss 5.920E-02 	 horizons 9.0
step 12330 	 return [0.00081188 0.00308843 0.0046352 ], ([5.8207661e-11 2.3283064e-10 0.0000000e+00]) 	 loss 6.242E-02 	 horizons 9.0
