step 3060 	 return [0.         0.         0.00592727 0.00533234 0.00727228], ([0.         0.         0.00052881 0.0003798  0.00092462]) 	 loss 6.790E-01 	 horizons 9.0
step 3150 	 return [0.00142904 0.00178445 0.00059284 0.00079833 0.        ], ([0.00156794 0.00231584 0.00020957 0.00023765 0.        ]) 	 loss 6.526E-01 	 horizons 9.0
step 3240 	 return [0.         0.         0.00556705 0.0051523  0.00575348], ([0.         0.         0.00106824 0.00109199 0.00190823]) 	 loss 6.437E-01 	 horizons 9.0
step 3330 	 return [0.0021097  0.00531367 0.00104917 0.00107634 0.        ], ([0.00136305 0.00215425 0.0006832  0.00036335 0.        ]) 	 loss 6.336E-01 	 horizons 9.0
step 3420 	 return [0.00010599 0.00461151 0.00374746 0.00161089 0.00046617], ([0.00031796 0.00183965 0.00161187 0.00124489 0.00139852]) 	 loss 6.428E-01 	 horizons 9.0
step 3510 	 return [0.00151481 0.0075969  0.00122572 0.00120109 0.        ], ([0.00102659 0.00109556 0.00072135 0.00029349 0.        ]) 	 loss 6.267E-01 	 horizons 9.0
step 3600 	 return [0.00033016 0.00760469 0.00233681 0.00141498 0.        ], ([0.0007092  0.00061204 0.00106704 0.00014913 0.        ]) 	 loss 5.919E-01 	 horizons 9.0
step 3690 	 return [0.00263937 0.00658437 0.00079172 0.00104347 0.        ], ([0.00113118 0.00126581 0.00037757 0.0004138  0.        ]) 	 loss 5.961E-01 	 horizons 9.0
step 3780 	 return [0.         0.         0.00617079 0.00540537 0.00658786], ([0.         0.         0.00010648 0.001029   0.0018153 ]) 	 loss 5.528E-01 	 horizons 9.0
step 3870 	 return [0.         0.00543307 0.00572877 0.00185108 0.00046617], ([0.         0.00272475 0.00139114 0.00116093 0.00139852]) 	 loss 5.452E-01 	 horizons 9.0
step 3960 	 return [0.00064273 0.00738267 0.00154997 0.00122151 0.        ], ([0.00072427 0.00091982 0.0010593  0.00027982 0.        ]) 	 loss 5.168E-01 	 horizons 9.0
step 4050 	 return [0.         0.         0.00560616 0.00576682 0.00613234], ([0.         0.         0.00108072 0.00060379 0.00088884]) 	 loss 4.764E-01 	 horizons 9.0
step 4140 	 return [0.         0.         0.0059525  0.00609988 0.00555855], ([0.         0.         0.0006994  0.00046349 0.00072623]) 	 loss 4.564E-01 	 horizons 9.0
step 4230 	 return [0.         0.         0.00612945 0.00525718 0.00565116], ([0.         0.         0.0001004  0.00112351 0.00170914]) 	 loss 4.713E-01 	 horizons 9.0
step 4320 	 return [0.0006364  0.00730922 0.00127926 0.00136472 0.        ], ([0.00087745 0.00058883 0.00023339 0.00013647 0.        ]) 	 loss 4.423E-01 	 horizons 9.0
step 4410 	 return [0.         0.         0.00613603 0.00553918 0.00644388], ([0.0000000e+00 0.0000000e+00 8.4404739e-05 4.8718028e-04 1.4674163e-03]) 	 loss 4.131E-01 	 horizons 9.0
