step 7610 	 return [0.00542242 0.00774133 0.00462434], ([0.00140493 0.0027377  0.00238056]) 	 loss 7.847E-01 	 horizons 19.0
step 7800 	 return [0.00620344 0.01005896 0.00688994], ([0.00083187 0.00155171 0.00200377]) 	 loss 7.584E-01 	 horizons 19.0
step 7990 	 return [0.00609221 0.00970303 0.00628305], ([0.00174312 0.00217795 0.00250132]) 	 loss 7.484E-01 	 horizons 19.0
step 8180 	 return [0.00662442 0.00798477 0.00596253], ([0.00241245 0.00202822 0.00331469]) 	 loss 7.379E-01 	 horizons 19.0
step 8370 	 return [0.00654119 0.00898472 0.00667499], ([0.00214989 0.00181621 0.00180062]) 	 loss 7.351E-01 	 horizons 19.0
step 8560 	 return [0.00583863 0.01013887 0.00567029], ([0.00136474 0.00203974 0.0014857 ]) 	 loss 7.611E-01 	 horizons 19.0
step 8750 	 return [0.00626493 0.00907206 0.00712104], ([0.00156309 0.00109579 0.0018947 ]) 	 loss 7.261E-01 	 horizons 19.0
step 8940 	 return [0.00663585 0.01042882 0.00790463], ([0.00146708 0.00138424 0.00199903]) 	 loss 6.937E-01 	 horizons 19.0
step 9130 	 return [0.00673272 0.00773507 0.00522363], ([0.0011507  0.00216894 0.00275163]) 	 loss 7.119E-01 	 horizons 19.0
step 9320 	 return [0.0062434  0.0075587  0.00540905], ([0.00176116 0.00217374 0.00206064]) 	 loss 6.873E-01 	 horizons 19.0
step 9510 	 return [0.00619278 0.0092072  0.00623602], ([0.00201856 0.00150898 0.00220882]) 	 loss 6.647E-01 	 horizons 19.0
step 9700 	 return [0.00612747 0.01110394 0.00832228], ([0.0021586  0.00167525 0.00220197]) 	 loss 6.646E-01 	 horizons 19.0
step 9890 	 return [0.00714121 0.01005422 0.00708372], ([0.00124512 0.00174557 0.00223211]) 	 loss 6.581E-01 	 horizons 19.0
step 10080 	 return [0.00821448 0.01031358 0.00818289], ([0.00127339 0.00101512 0.0022486 ]) 	 loss 6.467E-01 	 horizons 19.0
step 10270 	 return [0.00656914 0.01119727 0.00751976], ([0.00131886 0.00134203 0.00205921]) 	 loss 6.428E-01 	 horizons 19.0
step 10460 	 return [0.00687165 0.01052797 0.00903196], ([0.00128791 0.00115516 0.00136172]) 	 loss 6.451E-01 	 horizons 19.0
step 10650 	 return [0.00644589 0.01047582 0.00858785], ([0.0012124  0.00100761 0.00197087]) 	 loss 6.063E-01 	 horizons 19.0
step 10840 	 return [0.00615092 0.01031141 0.00824553], ([0.00221451 0.00198863 0.00243147]) 	 loss 5.855E-01 	 horizons 19.0
step 11030 	 return [0.00827529 0.01018534 0.00605952], ([0.00174156 0.00169536 0.00366083]) 	 loss 5.994E-01 	 horizons 19.0
step 11220 	 return [0.00677308 0.01029391 0.00930982], ([0.0015643  0.00167146 0.0014778 ]) 	 loss 6.135E-01 	 horizons 19.0
step 11410 	 return [0.00698031 0.01022524 0.007934  ], ([0.00221843 0.0017616  0.0029459 ]) 	 loss 5.662E-01 	 horizons 19.0
step 11600 	 return [0.00697912 0.01074196 0.00851251], ([0.00214821 0.0011302  0.00198267]) 	 loss 5.672E-01 	 horizons 19.0
step 11790 	 return [0.00739842 0.01027937 0.00853449], ([0.00199189 0.0017901  0.00262304]) 	 loss 5.594E-01 	 horizons 19.0
step 11980 	 return [0.00709898 0.01136152 0.00808495], ([0.00142702 0.00108479 0.00130797]) 	 loss 5.004E-01 	 horizons 19.0
step 12170 	 return [0.00749156 0.01117158 0.00854567], ([0.00151645 0.00071914 0.0010922 ]) 	 loss 5.285E-01 	 horizons 19.0
step 12360 	 return [0.00752588 0.0110179  0.00800793], ([0.00129673 0.00150651 0.00221965]) 	 loss 5.004E-01 	 horizons 19.0
step 12550 	 return [0.00769342 0.01058162 0.008526  ], ([0.00163233 0.00081528 0.00148368]) 	 loss 4.691E-01 	 horizons 19.0
step 12740 	 return [0.00836283 0.01059954 0.00825772], ([0.00123645 0.00097052 0.00142511]) 	 loss 4.626E-01 	 horizons 19.0
step 12930 	 return [0.00611333 0.01081404 0.00831235], ([0.00184713 0.00186141 0.00272747]) 	 loss 4.311E-01 	 horizons 19.0
step 13120 	 return [0.00725762 0.01073291 0.00969996], ([0.00166952 0.00150832 0.00193721]) 	 loss 4.196E-01 	 horizons 19.0
step 13310 	 return [0.0075016  0.01057578 0.00868711], ([0.00124342 0.0011596  0.00166518]) 	 loss 4.137E-01 	 horizons 19.0
step 13500 	 return [0.00899714 0.01089245 0.00889204], ([0.000846   0.00115228 0.00251957]) 	 loss 4.026E-01 	 horizons 19.0
step 13690 	 return [0.00806121 0.01188689 0.00851962], ([0.00135802 0.00168308 0.00279584]) 	 loss 4.260E-01 	 horizons 19.0
step 13880 	 return [0.0083201  0.01181653 0.00789378], ([0.00079117 0.00104949 0.00227013]) 	 loss 4.125E-01 	 horizons 19.0
step 14070 	 return [0.00818474 0.0111369  0.01013354], ([0.00118367 0.00175119 0.00139455]) 	 loss 4.030E-01 	 horizons 19.0
step 14260 	 return [0.00907338 0.01035604 0.01000747], ([0.00110955 0.00118995 0.00197944]) 	 loss 3.766E-01 	 horizons 19.0
step 14450 	 return [0.00919759 0.0112939  0.00930378], ([0.00076134 0.00091579 0.00174861]) 	 loss 3.832E-01 	 horizons 19.0
step 14640 	 return [0.00745506 0.01054887 0.00966833], ([0.00155928 0.00168647 0.00135422]) 	 loss 3.766E-01 	 horizons 19.0
step 14830 	 return [0.00838211 0.01125943 0.00912651], ([0.00070425 0.00074302 0.00084634]) 	 loss 3.684E-01 	 horizons 19.0
