step 6119 	 return [0.0049096  0.0062163  0.00746921 0.00705477 0.00306413], ([0.00278503 0.00313708 0.00230569 0.00422335 0.00362382]) 	 loss 8.239E-01 	 horizons 19.0
step 6309 	 return [0.00093593 0.00872097 0.00578954 0.00605782 0.00292646], ([0.00169413 0.00332736 0.00244326 0.00387619 0.00182702]) 	 loss 7.840E-01 	 horizons 19.0
step 6499 	 return [0.00107864 0.00822932 0.00499974 0.00850546 0.00537251], ([0.00162085 0.00351801 0.00170342 0.0040003  0.00238676]) 	 loss 7.953E-01 	 horizons 19.0
step 6689 	 return [0.00065092 0.00612825 0.00628711 0.008309   0.00337196], ([0.00107974 0.0018359  0.00174381 0.00346928 0.00257582]) 	 loss 8.038E-01 	 horizons 19.0
step 6879 	 return [0.00024792 0.0054398  0.00851783 0.00683449 0.00686513], ([0.00074375 0.00276067 0.00099345 0.00259813 0.00233701]) 	 loss 7.836E-01 	 horizons 19.0
step 7069 	 return [0.00290465 0.00473322 0.00883421 0.00883036 0.0056455 ], ([0.00269201 0.00178948 0.00252001 0.00412816 0.00423653]) 	 loss 7.748E-01 	 horizons 19.0
step 7259 	 return [0.0004336  0.00788213 0.00770453 0.00772106 0.00535389], ([0.00086964 0.00319324 0.00250214 0.00358587 0.00277685]) 	 loss 7.602E-01 	 horizons 19.0
step 7449 	 return [0.00067312 0.00984452 0.00755    0.00936007 0.00484564], ([0.0013609  0.00284271 0.00266402 0.00485389 0.00422411]) 	 loss 7.569E-01 	 horizons 19.0
step 7639 	 return [0.00224614 0.00703417 0.0066492  0.00891617 0.0051385 ], ([0.0024393  0.00425246 0.00198054 0.00344489 0.0029156 ]) 	 loss 7.406E-01 	 horizons 19.0
step 7829 	 return [0.00134988 0.00786759 0.00968253 0.0085607  0.00398844], ([0.00137161 0.00318547 0.00258601 0.00288806 0.00324663]) 	 loss 7.479E-01 	 horizons 19.0
step 8019 	 return [0.00174586 0.00992201 0.00666745 0.00936672 0.00505022], ([0.0018243  0.00404889 0.00226998 0.00446415 0.00161333]) 	 loss 7.438E-01 	 horizons 19.0
step 8209 	 return [0.00427814 0.00633643 0.00812456 0.00878947 0.00604901], ([0.00138434 0.00227277 0.00249773 0.00328587 0.00359586]) 	 loss 7.084E-01 	 horizons 19.0
step 8399 	 return [0.00639579 0.00356319 0.00790414 0.00821158 0.00420377], ([0.00158868 0.00229111 0.00258815 0.00336084 0.00219636]) 	 loss 7.227E-01 	 horizons 19.0
step 8589 	 return [0.00240677 0.00477079 0.00903047 0.01028783 0.00565317], ([0.00249291 0.00290773 0.00222524 0.00273272 0.00237789]) 	 loss 7.085E-01 	 horizons 19.0
step 8779 	 return [0.00440666 0.00305928 0.00869412 0.00676632 0.00689367], ([0.00059818 0.00105874 0.00286272 0.0033249  0.00371369]) 	 loss 6.973E-01 	 horizons 19.0
step 8969 	 return [0.00589832 0.00498259 0.00840859 0.00688387 0.00463715], ([0.0023672  0.0023016  0.00223128 0.0036492  0.00372329]) 	 loss 6.792E-01 	 horizons 19.0
step 9159 	 return [0.00501981 0.00349176 0.00996294 0.00749431 0.00720873], ([0.00095281 0.00228848 0.00207295 0.00253757 0.00329266]) 	 loss 6.669E-01 	 horizons 19.0
step 9349 	 return [0.0001075  0.00996951 0.00632312 0.0073993  0.00425509], ([0.00021581 0.00253952 0.00228753 0.00314165 0.00208436]) 	 loss 6.750E-01 	 horizons 19.0
step 9539 	 return [0.00439807 0.00385159 0.00958679 0.00913895 0.00579117], ([0.0021294  0.00184349 0.00233862 0.00386849 0.00350909]) 	 loss 6.461E-01 	 horizons 19.0
step 9729 	 return [0.00439969 0.00477963 0.00748224 0.01078996 0.00505841], ([0.00068837 0.0024379  0.0013142  0.00261309 0.00260905]) 	 loss 6.460E-01 	 horizons 19.0
step 9919 	 return [0.00088448 0.00313554 0.00899643 0.00686065 0.00759637], ([0.0013601  0.00155275 0.00192613 0.00224531 0.00305851]) 	 loss 6.182E-01 	 horizons 19.0
step 10109 	 return [0.00669451 0.00491585 0.00869723 0.00674923 0.00354302], ([0.00145416 0.002161   0.00244332 0.00242065 0.00264187]) 	 loss 6.214E-01 	 horizons 19.0
step 10299 	 return [0.00615203 0.00502536 0.00996471 0.00770088 0.00434608], ([0.00179142 0.00245178 0.0018891  0.00264302 0.003035  ]) 	 loss 6.030E-01 	 horizons 19.0
step 10489 	 return [0.00526687 0.00570316 0.00784682 0.01175174 0.00544743], ([0.00056048 0.00232929 0.0014607  0.00213662 0.00285012]) 	 loss 5.938E-01 	 horizons 19.0
step 10679 	 return [0.00418348 0.00802197 0.00850077 0.01208958 0.00636024], ([0.00068978 0.00167112 0.00188048 0.00444451 0.00327837]) 	 loss 5.848E-01 	 horizons 19.0
step 10869 	 return [0.00577904 0.00455111 0.00754402 0.00610198 0.00488892], ([0.00106997 0.00208163 0.00265688 0.00283982 0.00286825]) 	 loss 5.791E-01 	 horizons 19.0
step 11059 	 return [0.00566112 0.00610041 0.00638141 0.01117129 0.00429252], ([0.00127078 0.00262131 0.00163592 0.00204028 0.00153011]) 	 loss 5.352E-01 	 horizons 19.0
step 11249 	 return [0.00531262 0.0053565  0.00681953 0.00946988 0.00507462], ([0.00145917 0.00221722 0.00150088 0.00226991 0.00219079]) 	 loss 5.588E-01 	 horizons 19.0
step 11439 	 return [0.00405939 0.01059253 0.00673136 0.01182503 0.00484293], ([0.00031468 0.00381075 0.00192086 0.00375977 0.00248452]) 	 loss 5.384E-01 	 horizons 19.0
step 11629 	 return [0.00437025 0.00785992 0.00888039 0.01377079 0.0067051 ], ([0.00042002 0.00222022 0.00155304 0.00340407 0.0021725 ]) 	 loss 5.425E-01 	 horizons 19.0
step 11819 	 return [0.00282114 0.01132619 0.0090884  0.01178551 0.00309541], ([0.00154636 0.00366051 0.00224233 0.00307276 0.00201174]) 	 loss 5.277E-01 	 horizons 19.0
step 12009 	 return [0.00462699 0.00859459 0.01028115 0.01197292 0.00691371], ([0.00059764 0.00083598 0.00131829 0.0015948  0.00382022]) 	 loss 4.968E-01 	 horizons 19.0
step 12199 	 return [0.00481371 0.00608929 0.00823329 0.01151095 0.00781397], ([0.00046308 0.0018487  0.00176816 0.00431421 0.00237106]) 	 loss 5.175E-01 	 horizons 19.0
step 12389 	 return [0.00462004 0.0059901  0.00906096 0.01221864 0.00807185], ([0.00054959 0.00231751 0.00187617 0.00232438 0.00229662]) 	 loss 4.976E-01 	 horizons 19.0
step 12579 	 return [0.00503169 0.00377334 0.00903829 0.01361606 0.00624865], ([0.00072426 0.00206343 0.00148473 0.00250665 0.00119022]) 	 loss 4.658E-01 	 horizons 19.0
step 12769 	 return [0.00525839 0.00664638 0.00784637 0.01387517 0.0069996 ], ([0.00040589 0.00254815 0.00126979 0.00172311 0.00232091]) 	 loss 5.087E-01 	 horizons 19.0
step 12959 	 return [0.00413624 0.00870118 0.0091693  0.01239261 0.00731463], ([0.00019946 0.00105457 0.00104456 0.00292346 0.0016865 ]) 	 loss 4.530E-01 	 horizons 19.0
step 13149 	 return [0.00566528 0.0048321  0.00951115 0.010349   0.00724265], ([0.00066106 0.00172141 0.00068755 0.00347731 0.00313236]) 	 loss 4.371E-01 	 horizons 19.0
step 13339 	 return [0.00432047 0.00842008 0.00918354 0.01239127 0.0064736 ], ([0.00046477 0.00118234 0.00184804 0.00133459 0.00095287]) 	 loss 4.213E-01 	 horizons 19.0
step 13529 	 return [0.00505451 0.00741454 0.00847906 0.01416748 0.00629049], ([0.00049755 0.00254477 0.00159868 0.00101784 0.00164225]) 	 loss 4.149E-01 	 horizons 19.0
step 13719 	 return [0.00451952 0.0075837  0.00902779 0.0148268  0.00819845], ([0.00065187 0.00154263 0.00104544 0.00176718 0.001996  ]) 	 loss 4.079E-01 	 horizons 19.0
step 13909 	 return [0.0048438  0.00671219 0.00949905 0.01370695 0.00714401], ([0.0006692  0.00239844 0.00129173 0.00184282 0.00207293]) 	 loss 4.050E-01 	 horizons 19.0
step 14099 	 return [0.00449381 0.00843309 0.0077742  0.01472416 0.0071699 ], ([0.00068046 0.00067574 0.00209192 0.00215933 0.00262555]) 	 loss 4.264E-01 	 horizons 19.0
step 14289 	 return [0.00429777 0.00785515 0.00892877 0.01224324 0.0073652 ], ([0.00040046 0.00246013 0.00121519 0.00145328 0.00180293]) 	 loss 4.087E-01 	 horizons 19.0
step 14479 	 return [0.0043439  0.00335618 0.01058171 0.01005366 0.00919641], ([0.00025612 0.00085001 0.00153416 0.0026902  0.00138964]) 	 loss 4.033E-01 	 horizons 19.0
step 14669 	 return [0.00417867 0.00945172 0.00728681 0.01505586 0.00768957], ([0.00017669 0.00194979 0.00126927 0.00370122 0.00156322]) 	 loss 4.081E-01 	 horizons 19.0
step 14859 	 return [0.00512983 0.00737078 0.00951729 0.01220139 0.00700451], ([0.0004651  0.00218681 0.00142218 0.00156994 0.00176887]) 	 loss 4.103E-01 	 horizons 19.0
step 15049 	 return [0.0041963  0.00876667 0.00761907 0.0147347  0.00587627], ([0.00024079 0.00074777 0.00174601 0.00158874 0.00113334]) 	 loss 4.218E-01 	 horizons 19.0
step 15239 	 return [0.00421157 0.00945947 0.00745449 0.01482319 0.00542167], ([0.00040259 0.00145593 0.00192076 0.00215207 0.00229406]) 	 loss 3.554E-01 	 horizons 19.0
step 15429 	 return [0.00449215 0.0062455  0.00828343 0.0135474  0.00777906], ([0.00068291 0.00164968 0.00104316 0.00159576 0.0028157 ]) 	 loss 3.567E-01 	 horizons 19.0
step 15619 	 return [0.00419776 0.00874565 0.00957175 0.01220665 0.00766804], ([0.00014319 0.00036341 0.00107682 0.00261468 0.00216314]) 	 loss 3.545E-01 	 horizons 19.0
step 15809 	 return [0.00439647 0.00839993 0.01025946 0.01093242 0.00877308], ([0.00074096 0.00048594 0.00161143 0.00130732 0.00239865]) 	 loss 3.348E-01 	 horizons 19.0
step 15999 	 return [0.00409359 0.00790104 0.01017715 0.00864571 0.00684179], ([0.00144051 0.00185729 0.00103129 0.0015409  0.00254628]) 	 loss 3.665E-01 	 horizons 19.0
