step 3060 	 return [0.00110651 0.00568526 0.00075933 0.00120342 0.        ], ([0.00140176 0.00135571 0.00026744 0.00034564 0.        ]) 	 loss 5.733E-01 	 horizons 9.0
step 3150 	 return [0.         0.         0.00628188 0.00466029 0.00608297], ([0.         0.         0.00096889 0.00054283 0.00172942]) 	 loss 5.677E-01 	 horizons 9.0
step 3240 	 return [0.         0.         0.00565846 0.00520685 0.00727152], ([0.         0.         0.00080081 0.00058742 0.0009896 ]) 	 loss 5.777E-01 	 horizons 9.0
step 3330 	 return [0.00031498 0.00577995 0.00405782 0.00174016 0.        ], ([0.00048126 0.00125772 0.00112791 0.00051606 0.        ]) 	 loss 5.236E-01 	 horizons 9.0
step 3420 	 return [0.00053126 0.00535698 0.00358628 0.00120067 0.        ], ([0.00053127 0.00146961 0.00139847 0.0003366  0.        ]) 	 loss 5.337E-01 	 horizons 9.0
step 3510 	 return [0.         0.         0.00593082 0.00525511 0.0076555 ], ([0.         0.         0.00052816 0.00049654 0.00027557]) 	 loss 5.426E-01 	 horizons 9.0
step 3600 	 return [0.00098713 0.00617216 0.00306676 0.00172768 0.        ], ([0.00095228 0.00094699 0.0009566  0.0004295  0.        ]) 	 loss 4.986E-01 	 horizons 9.0
step 3690 	 return [0.00146958 0.00608099 0.00057014 0.00142125 0.        ], ([0.0011172  0.00073757 0.0001013  0.00041265 0.        ]) 	 loss 4.887E-01 	 horizons 9.0
step 3780 	 return [0.00010571 0.0051867  0.00615849 0.00119724 0.        ], ([0.00031714 0.00129373 0.00058658 0.0006504  0.        ]) 	 loss 4.742E-01 	 horizons 9.0
step 3870 	 return [0.         0.         0.00576197 0.00500198 0.00650099], ([0.         0.         0.00061746 0.00020425 0.00111402]) 	 loss 4.512E-01 	 horizons 9.0
step 3960 	 return [0.00305922 0.00464106 0.00064477 0.00125439 0.        ], ([0.00027561 0.00253289 0.0002112  0.00028669 0.        ]) 	 loss 4.148E-01 	 horizons 9.0
step 4050 	 return [0.0029274  0.00513946 0.00050992 0.00114472 0.        ], ([9.5961284e-04 1.8038951e-03 9.5786840e-05 3.6431491e-04 0.0000000e+00]) 	 loss 4.281E-01 	 horizons 9.0
step 4140 	 return [0.00145678 0.00726206 0.00289623 0.00192265 0.        ], ([0.00101542 0.00087577 0.00063713 0.00042729 0.        ]) 	 loss 4.275E-01 	 horizons 9.0
step 4230 	 return [0.00053933 0.00674117 0.00421085 0.00180965 0.        ], ([0.00073518 0.00159826 0.00096918 0.00051207 0.        ]) 	 loss 3.959E-01 	 horizons 9.0
step 4320 	 return [0.         0.         0.00570335 0.00531552 0.0078207 ], ([0.         0.         0.00081518 0.00050932 0.00059322]) 	 loss 3.730E-01 	 horizons 9.0
step 4410 	 return [0.00042475 0.00605462 0.00428946 0.00151514 0.        ], ([0.00052022 0.00108348 0.00102256 0.00046518 0.        ]) 	 loss 3.776E-01 	 horizons 9.0
step 4500 	 return [0.00145574 0.00702582 0.00305787 0.00201267 0.        ], ([0.0010146  0.00126414 0.00094495 0.00037706 0.        ]) 	 loss 3.591E-01 	 horizons 9.0
