step 7701 	 return [0.00428552 0.0061832  0.00549335], ([0.00112971 0.00287794 0.0037989 ]) 	 loss 6.118E-01 	 horizons 19.0
step 7891 	 return [0.00529325 0.00747811 0.00644055], ([0.00159966 0.00112387 0.00171641]) 	 loss 6.001E-01 	 horizons 19.0
step 8081 	 return [0.00503609 0.00525058 0.00408315], ([0.00089225 0.0022224  0.00215895]) 	 loss 5.333E-01 	 horizons 19.0
step 8271 	 return [0.00441189 0.00761522 0.00591195], ([0.00162671 0.00181508 0.00253019]) 	 loss 5.625E-01 	 horizons 19.0
step 8461 	 return [0.00533395 0.00817675 0.00663742], ([0.00191235 0.00168449 0.00243283]) 	 loss 5.736E-01 	 horizons 19.0
step 8651 	 return [0.00718881 0.00292178 0.00119177], ([0.00089613 0.00135441 0.00086112]) 	 loss 5.660E-01 	 horizons 19.0
step 8841 	 return [0.00479959 0.0064132  0.00571859], ([0.00155201 0.00125465 0.00238125]) 	 loss 5.309E-01 	 horizons 19.0
step 9031 	 return [0.00583539 0.00860305 0.00591014], ([0.00184587 0.00117509 0.00301606]) 	 loss 5.244E-01 	 horizons 19.0
step 9221 	 return [0.00435966 0.00620209 0.00617805], ([0.00142745 0.00141886 0.00256185]) 	 loss 5.545E-01 	 horizons 19.0
step 9411 	 return [0.00583228 0.00891941 0.006406  ], ([0.00136247 0.00181946 0.00168286]) 	 loss 5.862E-01 	 horizons 19.0
step 9601 	 return [0.00728536 0.00371251 0.00270117], ([0.00154173 0.00177819 0.00250721]) 	 loss 6.286E-01 	 horizons 19.0
step 9791 	 return [0.00592742 0.00932684 0.00704372], ([0.00175078 0.0012846  0.00264843]) 	 loss 6.150E-01 	 horizons 19.0
step 9981 	 return [0.00577903 0.0089903  0.00678252], ([0.00197128 0.00201359 0.00202349]) 	 loss 6.167E-01 	 horizons 19.0
step 10171 	 return [0.00694804 0.00876964 0.00526006], ([0.00136121 0.00219696 0.00221917]) 	 loss 6.340E-01 	 horizons 19.0
step 10361 	 return [0.00439256 0.00779448 0.00619034], ([0.00136601 0.00150047 0.00229219]) 	 loss 6.618E-01 	 horizons 19.0
step 10551 	 return [0.00616534 0.00918957 0.0067022 ], ([0.00134912 0.00157873 0.00178205]) 	 loss 6.306E-01 	 horizons 19.0
step 10741 	 return [0.00628374 0.00880918 0.00659608], ([0.0023441  0.00156311 0.00161605]) 	 loss 6.518E-01 	 horizons 19.0
step 10931 	 return [0.00518492 0.00914688 0.00698462], ([0.00288452 0.00099838 0.00219014]) 	 loss 6.457E-01 	 horizons 19.0
step 11121 	 return [0.00711806 0.00965629 0.00699099], ([0.00088488 0.00107871 0.00113281]) 	 loss 6.157E-01 	 horizons 19.0
step 11311 	 return [0.00636762 0.009054   0.00722183], ([0.0015677  0.00167987 0.00144297]) 	 loss 6.025E-01 	 horizons 19.0
