/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 7i7f640q
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-7i7f640q
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__1024__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/7i7f640q
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=1024, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 6273 	 return [0.00253573 0.003536   0.0057717  0.00603332 0.00341286], ([0.00221579 0.00106006 0.00291884 0.00272874 0.0025723 ]) 	 loss 6.616E-01 	 horizons 19.0
step 6463 	 return [0.00052662 0.00474158 0.00720914 0.0049039  0.00528012], ([0.00102517 0.00242132 0.00346472 0.00200257 0.00204379]) 	 loss 7.169E-01 	 horizons 19.0
step 6653 	 return [0.00243392 0.00359552 0.00798886 0.00645366 0.00507057], ([0.00208673 0.00209538 0.00302554 0.00302931 0.0034828 ]) 	 loss 6.968E-01 	 horizons 19.0
step 6843 	 return [6.5383697e-03 4.3684468e-03 1.5666801e-03 3.4152847e-06 1.3095728e-04], ([1.4574100e-03 8.4704364e-04 1.0692658e-03 6.8437635e-06 1.6044413e-04]) 	 loss 6.575E-01 	 horizons 19.0
step 7033 	 return [0.00096342 0.00355594 0.00794928 0.00723297 0.00433839], ([0.00176518 0.00116016 0.00325974 0.00377893 0.00233019]) 	 loss 6.208E-01 	 horizons 19.0
step 7223 	 return [0.00121814 0.00772839 0.00634689 0.00812042 0.00364363], ([0.00151931 0.00251471 0.00290522 0.00357292 0.00261129]) 	 loss 6.632E-01 	 horizons 19.0
step 7413 	 return [0.00327633 0.00256953 0.00575829 0.00742404 0.00411551], ([0.00119599 0.00131813 0.00247729 0.003573   0.00257871]) 	 loss 6.284E-01 	 horizons 19.0
step 7603 	 return [0.00293066 0.00585524 0.00786574 0.01020863 0.00326895], ([0.00205878 0.00287393 0.00322408 0.00276673 0.00298508]) 	 loss 6.033E-01 	 horizons 19.0
step 7793 	 return [0.00076414 0.00764513 0.00767897 0.00804128 0.00570779], ([0.00126842 0.00216354 0.00376982 0.00217292 0.00177204]) 	 loss 6.157E-01 	 horizons 19.0
step 7983 	 return [0.00843996 0.00418412 0.00268356 0.0004438  0.00037625], ([0.00213795 0.00101285 0.0023782  0.0013314  0.00112875]) 	 loss 6.048E-01 	 horizons 19.0
step 8173 	 return [0.00063494 0.00774302 0.00765993 0.0082585  0.00516653], ([0.00116652 0.00303781 0.00207146 0.00395692 0.00386872]) 	 loss 6.100E-01 	 horizons 19.0
step 8363 	 return [0.00074886 0.00511091 0.01051544 0.00752542 0.00753566], ([0.00152599 0.00274188 0.00254433 0.00378951 0.00321864]) 	 loss 5.776E-01 	 horizons 19.0
step 8553 	 return [0.00357443 0.00420715 0.00462837 0.00950474 0.00568755], ([0.00184416 0.00174885 0.00179867 0.00167206 0.00240522]) 	 loss 6.040E-01 	 horizons 19.0
step 8743 	 return [0.00377112 0.00323231 0.00642942 0.00790688 0.00484559], ([0.00036476 0.00139778 0.00213255 0.00286597 0.00349122]) 	 loss 5.846E-01 	 horizons 19.0
step 8933 	 return [0.00101981 0.00832975 0.0084564  0.00951282 0.00399266], ([0.00145799 0.00307358 0.00393161 0.0044346  0.00283482]) 	 loss 5.632E-01 	 horizons 19.0
step 9123 	 return [7.1005546e-05 8.4463237e-03 1.1617321e-02 8.8397618e-03 5.7460438e-03], ([0.00021302 0.00178837 0.00283321 0.00302687 0.0029744 ]) 	 loss 5.699E-01 	 horizons 19.0
step 9313 	 return [0.00376705 0.00387052 0.00720103 0.00728965 0.00430893], ([0.00066746 0.00195175 0.00212433 0.00294819 0.00313374]) 	 loss 5.432E-01 	 horizons 19.0
step 9503 	 return [0.00047748 0.00862713 0.01121526 0.00904801 0.00540737], ([0.00127154 0.00226825 0.00214104 0.00380156 0.00234615]) 	 loss 6.093E-01 	 horizons 19.0
step 9693 	 return [0.00387703 0.00306588 0.00615437 0.00822626 0.00436377], ([0.000501   0.00095791 0.00226086 0.00208572 0.00360589]) 	 loss 5.631E-01 	 horizons 19.0
step 9883 	 return [0.00076591 0.00648586 0.01106833 0.00726848 0.00613165], ([0.00153207 0.00237057 0.00202206 0.00313522 0.00330124]) 	 loss 5.721E-01 	 horizons 19.0
step 10073 	 return [0.00271662 0.00784677 0.00740919 0.01273239 0.0065052 ], ([0.00229102 0.00256718 0.00204058 0.00395116 0.00362927]) 	 loss 5.486E-01 	 horizons 19.0
step 10263 	 return [0.00326133 0.00433923 0.00814523 0.00776011 0.00560349], ([0.00118908 0.00237659 0.00210669 0.00141236 0.00279101]) 	 loss 5.030E-01 	 horizons 19.0
step 10453 	 return [0.00261272 0.00407456 0.00792773 0.01032675 0.0041083 ], ([0.00177518 0.00178546 0.00300822 0.00216326 0.00328153]) 	 loss 5.179E-01 	 horizons 19.0
step 10643 	 return [0.0042712  0.00357272 0.00818699 0.00705413 0.00590997], ([0.00144332 0.00111714 0.00282676 0.00272171 0.00277242]) 	 loss 5.013E-01 	 horizons 19.0
step 10833 	 return [0.00085807 0.00512437 0.00727853 0.00751429 0.00647191], ([0.00125473 0.00227019 0.00290568 0.00275767 0.00268027]) 	 loss 4.613E-01 	 horizons 19.0
step 11023 	 return [0.00415819 0.00508831 0.00702598 0.01119428 0.00611842], ([0.00060282 0.00226438 0.00142668 0.00261438 0.00272882]) 	 loss 4.816E-01 	 horizons 19.0
step 11213 	 return [0.0001228  0.00973688 0.01228291 0.009935   0.00709271], ([0.00024765 0.0011544  0.00174305 0.00267027 0.00311469]) 	 loss 4.821E-01 	 horizons 19.0
step 11403 	 return [0.00227385 0.00913957 0.00695249 0.01323325 0.0055329 ], ([0.00170215 0.00192448 0.00244595 0.00327517 0.00113948]) 	 loss 4.695E-01 	 horizons 19.0
step 11593 	 return [0.0050947  0.00281753 0.00789441 0.0034184  0.00436352], ([0.00236812 0.00145788 0.00351879 0.00198552 0.00249974]) 	 loss 4.662E-01 	 horizons 19.0
step 11783 	 return [0.00353389 0.00539446 0.00856943 0.0099558  0.00461336], ([0.00163222 0.00244001 0.0014672  0.00353516 0.00239536]) 	 loss 4.618E-01 	 horizons 19.0
step 11973 	 return [0.00411755 0.00308679 0.01050361 0.00696594 0.00668644], ([0.00034337 0.00072331 0.00057154 0.00178947 0.00188965]) 	 loss 4.420E-01 	 horizons 19.0
step 12163 	 return [0.0002317  0.01016734 0.0107255  0.01248896 0.00620577], ([0.00028892 0.00068882 0.00175772 0.00124254 0.00171068]) 	 loss 4.396E-01 	 horizons 19.0
step 12353 	 return [0.0081484  0.00534373 0.00408534 0.00057482 0.00039539], ([0.00138304 0.00117055 0.00173625 0.00126088 0.00118618]) 	 loss 4.544E-01 	 horizons 19.0
step 12543 	 return [0.00391709 0.00364795 0.01042598 0.00759924 0.00659615], ([0.00151339 0.00157237 0.00140446 0.00258177 0.00188867]) 	 loss 4.137E-01 	 horizons 19.0
step 12733 	 return [0.00464669 0.00393721 0.00771151 0.00907519 0.00585583], ([0.00052989 0.00150768 0.00239379 0.00307426 0.00259481]) 	 loss 3.940E-01 	 horizons 19.0
step 12923 	 return [0.00042527 0.00867582 0.00838889 0.01228989 0.00449873], ([0.00035264 0.0016503  0.00206776 0.0030324  0.00251357]) 	 loss 3.896E-01 	 horizons 19.0
step 13113 	 return [4.3606113e-05 8.3732400e-03 1.2597887e-02 6.3589262e-03 7.6624192e-03], ([9.2342794e-05 2.3600692e-03 1.6907795e-03 2.4968435e-03 1.2519403e-03]) 	 loss 4.313E-01 	 horizons 19.0
step 13303 	 return [0.         0.00976391 0.01279545 0.0071836  0.00736747], ([0.         0.00119623 0.00121156 0.00141994 0.00222004]) 	 loss 3.953E-01 	 horizons 19.0
step 13493 	 return [6.4271379e-05 9.6897827e-03 1.2668356e-02 7.8639463e-03 8.0458373e-03], ([0.00019281 0.00057115 0.00181268 0.00147788 0.00212325]) 	 loss 3.995E-01 	 horizons 19.0
step 13683 	 return [0.         0.01053546 0.01308301 0.01144714 0.00699466], ([0.         0.00094045 0.00153781 0.00213875 0.00259801]) 	 loss 4.184E-01 	 horizons 19.0
step 13873 	 return [0.00404093 0.00490139 0.00793595 0.01144332 0.00725439], ([0.00064668 0.00204928 0.00254005 0.00213477 0.00175505]) 	 loss 4.083E-01 	 horizons 19.0
step 14063 	 return [0.00476286 0.00364677 0.00694838 0.011319   0.00738581], ([0.00063583 0.00144351 0.00234484 0.00237808 0.00117896]) 	 loss 4.117E-01 	 horizons 19.0
step 14253 	 return [0.00025277 0.00970368 0.01136773 0.0124274  0.00329452], ([0.00032616 0.00205079 0.00295831 0.002384   0.0021646 ]) 	 loss 3.718E-01 	 horizons 19.0
step 14443 	 return [0.00884596 0.00550687 0.00441424 0.00161074 0.00135969], ([0.00187242 0.00104921 0.00300192 0.00107249 0.00272059]) 	 loss 4.004E-01 	 horizons 19.0
step 14633 	 return [9.2915352e-03 5.9577757e-03 2.9944913e-03 4.3908373e-04 3.3488090e-05], ([0.00111893 0.00074447 0.00065551 0.00087817 0.00010046]) 	 loss 3.562E-01 	 horizons 19.0
step 14823 	 return [0.00415972 0.00696553 0.00654876 0.00818294 0.00627397], ([0.00083103 0.00113294 0.00153912 0.00121507 0.00203304]) 	 loss 3.447E-01 	 horizons 19.0
step 15013 	 return [0.00012611 0.00710946 0.00750643 0.01036598 0.00898139], ([0.00022061 0.00110636 0.00140398 0.00155985 0.0020297 ]) 	 loss 3.409E-01 	 horizons 19.0
step 15203 	 return [0.00428638 0.00323023 0.00929206 0.01037989 0.00533171], ([0.00061063 0.00095782 0.00295485 0.00196457 0.00325732]) 	 loss 3.531E-01 	 horizons 19.0
step 15393 	 return [0.00477889 0.00338136 0.00809909 0.01010428 0.00827014], ([0.00070675 0.00101545 0.00214872 0.00112787 0.00229559]) 	 loss 3.481E-01 	 horizons 19.0
step 15583 	 return [0.         0.01001801 0.01284799 0.00899521 0.00985775], ([0.         0.00063516 0.00088326 0.00194794 0.00185076]) 	 loss 3.499E-01 	 horizons 19.0
