/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yo8kts51
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-yo8kts51
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__42__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/yo8kts51
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 6512 	 return [0.00135567 0.00475753 0.00795179 0.00850738 0.00703408], ([0.00172961 0.00191939 0.00291516 0.00208195 0.00239449]) 	 loss 6.999E-01 	 horizons 19.0
step 6702 	 return [0.00079693 0.0077262  0.0045177  0.0098615  0.00547605], ([0.0012434  0.00190822 0.00242711 0.00260506 0.00227502]) 	 loss 7.107E-01 	 horizons 19.0
step 6892 	 return [0.00771544 0.00374508 0.00258264 0.00062373 0.00013193], ([0.00236282 0.00049165 0.00081474 0.00147094 0.00024953]) 	 loss 7.218E-01 	 horizons 19.0
step 7082 	 return [0.00234214 0.0038593  0.00692818 0.00708936 0.00589889], ([0.00213401 0.00144916 0.00240047 0.00282457 0.00331316]) 	 loss 6.945E-01 	 horizons 19.0
step 7272 	 return [0.00139717 0.00562639 0.00649034 0.00797411 0.0053724 ], ([0.00174648 0.0028526  0.00224201 0.00261198 0.00345921]) 	 loss 6.515E-01 	 horizons 19.0
step 7462 	 return [0.00451177 0.0034483  0.00624118 0.00666586 0.00586322], ([0.00189557 0.00246713 0.00230374 0.00250851 0.00296366]) 	 loss 6.647E-01 	 horizons 19.0
step 7652 	 return [0.0012454  0.00740592 0.00858646 0.00837642 0.00783216], ([0.00155212 0.00254089 0.00218858 0.00381857 0.00297354]) 	 loss 6.649E-01 	 horizons 19.0
step 7842 	 return [0.0004635  0.00620841 0.00406915 0.01045154 0.00502192], ([0.00139049 0.00087488 0.00241683 0.00158123 0.00245562]) 	 loss 6.221E-01 	 horizons 19.0
step 8032 	 return [0.00349177 0.0101128  0.00853185 0.00858104 0.00441159], ([0.00238829 0.00293997 0.00172086 0.00332168 0.00399851]) 	 loss 6.354E-01 	 horizons 19.0
step 8222 	 return [0.00284105 0.00839819 0.0098134  0.00789269 0.00340903], ([0.00308833 0.0035721  0.00179148 0.00315625 0.00408174]) 	 loss 6.255E-01 	 horizons 19.0
step 8412 	 return [0.00056946 0.01010002 0.00811689 0.01084549 0.00583233], ([0.00170837 0.00264372 0.00193332 0.00464206 0.00290651]) 	 loss 6.168E-01 	 horizons 19.0
step 8602 	 return [0.00372332 0.00745397 0.00859339 0.00776992 0.00480454], ([0.00224725 0.00223078 0.00135225 0.00292626 0.00466722]) 	 loss 6.014E-01 	 horizons 19.0
step 8792 	 return [0.00421128 0.01070754 0.00934933 0.00634619 0.00318855], ([0.00377304 0.00253902 0.0016021  0.00297018 0.00425363]) 	 loss 6.041E-01 	 horizons 19.0
step 8982 	 return [0.00422201 0.00430063 0.00636903 0.00929696 0.00542688], ([0.0006889  0.00201541 0.00186513 0.00394362 0.00274706]) 	 loss 5.388E-01 	 horizons 19.0
step 9172 	 return [0.00785648 0.00386706 0.00303002 0.00219148 0.00062658], ([0.00222692 0.00132935 0.00183807 0.00278691 0.00128343]) 	 loss 5.307E-01 	 horizons 19.0
step 9362 	 return [0.00937482 0.00474502 0.00436681 0.00056464 0.        ], ([0.001918   0.00114965 0.00152797 0.00087671 0.        ]) 	 loss 5.066E-01 	 horizons 19.0
step 9552 	 return [0.00432974 0.00539176 0.00793194 0.00907461 0.00656152], ([0.0011066  0.00189571 0.00127843 0.00279819 0.00316951]) 	 loss 5.442E-01 	 horizons 19.0
step 9742 	 return [0.00223551 0.01156741 0.01067933 0.00762825 0.00280069], ([0.00251975 0.00214408 0.001031   0.00254945 0.00449343]) 	 loss 5.323E-01 	 horizons 19.0
step 9932 	 return [0.00315438 0.00753003 0.00915383 0.00953266 0.00710844], ([0.00245285 0.00211776 0.00134671 0.0026563  0.00321582]) 	 loss 4.946E-01 	 horizons 19.0
step 10122 	 return [0.00258727 0.01290354 0.01028778 0.00693768 0.00463623], ([0.00243951 0.00130042 0.00255441 0.00222868 0.00452322]) 	 loss 5.081E-01 	 horizons 19.0
step 10312 	 return [0.00023421 0.00540243 0.00648533 0.01036932 0.00694773], ([0.00070263 0.00158937 0.0022497  0.00266727 0.00212446]) 	 loss 5.093E-01 	 horizons 19.0
step 10502 	 return [0.00102914 0.01104817 0.01039176 0.00831072 0.00502389], ([0.00175658 0.00203856 0.00192243 0.00230623 0.00283856]) 	 loss 4.866E-01 	 horizons 19.0
step 10692 	 return [0.00287018 0.00716532 0.00678187 0.00946611 0.00652254], ([0.0019757  0.00156403 0.00226849 0.00225322 0.0020727 ]) 	 loss 4.913E-01 	 horizons 19.0
step 10882 	 return [0.00417294 0.00826973 0.00958238 0.00991228 0.00564954], ([0.00212553 0.00238432 0.00108685 0.00264689 0.00442586]) 	 loss 4.982E-01 	 horizons 19.0
step 11072 	 return [0.0005511  0.0099454  0.01022785 0.00768389 0.00517881], ([0.0009183  0.00277878 0.00190402 0.00283575 0.00319669]) 	 loss 4.861E-01 	 horizons 19.0
step 11262 	 return [0.003964   0.0060695  0.00680105 0.01017531 0.00885947], ([0.00154899 0.00138152 0.00157454 0.00220159 0.00186968]) 	 loss 5.037E-01 	 horizons 19.0
step 11452 	 return [0.00446678 0.00929369 0.0099178  0.0089213  0.00315596], ([0.00210061 0.00130817 0.00103261 0.00142461 0.00386664]) 	 loss 4.563E-01 	 horizons 19.0
step 11642 	 return [0.00147629 0.00843354 0.00720564 0.00965214 0.00703454], ([0.0018625  0.00088686 0.00124184 0.0028359  0.00243468]) 	 loss 4.432E-01 	 horizons 19.0
step 11832 	 return [0.00405123 0.00579612 0.00469605 0.01281178 0.00580997], ([0.0005891  0.00174817 0.00106477 0.00357927 0.0012804 ]) 	 loss 4.459E-01 	 horizons 19.0
step 12022 	 return [0.00359531 0.0131455  0.00994385 0.00700716 0.00158105], ([0.00200345 0.00202748 0.00162128 0.0034526  0.00318819]) 	 loss 4.332E-01 	 horizons 19.0
step 12212 	 return [0.00535244 0.0089667  0.00921261 0.00741759 0.00460734], ([0.00155529 0.00151448 0.00184065 0.00279315 0.0025848 ]) 	 loss 4.172E-01 	 horizons 19.0
step 12402 	 return [0.00080828 0.01065694 0.0108861  0.00930238 0.00785016], ([0.00171088 0.00247247 0.00248874 0.00328207 0.00329943]) 	 loss 4.208E-01 	 horizons 19.0
step 12592 	 return [0.00089625 0.01140394 0.01071705 0.00947664 0.00752015], ([0.00137103 0.00129475 0.00253045 0.00299296 0.00275024]) 	 loss 3.945E-01 	 horizons 19.0
step 12782 	 return [0.00055969 0.00943446 0.00674231 0.01248778 0.00737447], ([0.00113123 0.0026189  0.00199161 0.0024355  0.00269335]) 	 loss 3.985E-01 	 horizons 19.0
step 12972 	 return [0.00358587 0.00831247 0.0088978  0.01272739 0.00890144], ([0.00125179 0.00096344 0.00168788 0.00116247 0.00205377]) 	 loss 3.868E-01 	 horizons 19.0
step 13162 	 return [0.00421234 0.00785748 0.00865008 0.01087218 0.00645576], ([0.0006871  0.00128052 0.00185828 0.00264236 0.00281049]) 	 loss 3.545E-01 	 horizons 19.0
step 13352 	 return [0.00165179 0.01298066 0.01009931 0.00606785 0.        ], ([0.00252534 0.00108339 0.00111614 0.00072981 0.        ]) 	 loss 3.413E-01 	 horizons 19.0
step 13542 	 return [0.00402859 0.00795136 0.0073888  0.0139066  0.00786386], ([0.00039227 0.00127833 0.00146045 0.00201023 0.00229759]) 	 loss 3.352E-01 	 horizons 19.0
step 13732 	 return [0.010413   0.00385228 0.00419101 0.0005163  0.00026061], ([0.00110821 0.00054813 0.00079523 0.00154889 0.00078182]) 	 loss 3.229E-01 	 horizons 19.0
step 13922 	 return [0.00376699 0.01294554 0.01104416 0.00655546 0.00169387], ([0.00142363 0.00140438 0.00175805 0.00166778 0.00217424]) 	 loss 3.094E-01 	 horizons 19.0
step 14112 	 return [0.00517239 0.00977941 0.00983481 0.00769656 0.00479638], ([0.00265378 0.00122123 0.00230175 0.00205873 0.00240373]) 	 loss 3.192E-01 	 horizons 19.0
step 14302 	 return [0.00374338 0.00349511 0.00704815 0.01456889 0.00811653], ([0.000336   0.00125885 0.00098021 0.00276289 0.00237196]) 	 loss 3.025E-01 	 horizons 19.0
step 14492 	 return [0.0073969  0.00997679 0.00763983 0.00768405 0.00209992], ([0.00193743 0.00168588 0.00124578 0.00161334 0.0033942 ]) 	 loss 3.050E-01 	 horizons 19.0
step 14682 	 return [0.004275   0.00462773 0.00581149 0.01509849 0.0082687 ], ([0.00056944 0.00175446 0.00170464 0.00187758 0.00236298]) 	 loss 2.952E-01 	 horizons 19.0
step 14872 	 return [0.00369519 0.00972384 0.00896741 0.0134356  0.00683225], ([0.00086468 0.00138409 0.00116968 0.00229458 0.00168491]) 	 loss 2.974E-01 	 horizons 19.0
step 15062 	 return [0.00206973 0.0118427  0.01176849 0.00892765 0.00681413], ([0.00181837 0.00127078 0.00184167 0.00193589 0.00291799]) 	 loss 3.069E-01 	 horizons 19.0
step 15252 	 return [0.01195648 0.00382502 0.0037044  0.         0.        ], ([0.00104774 0.00070919 0.00084804 0.         0.        ]) 	 loss 2.756E-01 	 horizons 19.0
step 15442 	 return [0.00391033 0.01061414 0.00899405 0.0153833  0.00596656], ([0.00080469 0.00178051 0.00199611 0.00225048 0.00189193]) 	 loss 2.701E-01 	 horizons 19.0
step 15632 	 return [0.00561167 0.00803096 0.00906052 0.01109309 0.00487318], ([0.00127905 0.00146678 0.0024409  0.00179669 0.00226073]) 	 loss 2.706E-01 	 horizons 19.0
step 15822 	 return [0.00416946 0.00717708 0.01099367 0.01045997 0.00879339], ([0.00113373 0.00233072 0.00155235 0.00208551 0.00294202]) 	 loss 2.735E-01 	 horizons 19.0
