/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run vj6s7kx9
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260618_110541-vj6s7kx9
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__PCN-xian-g5__123__1781773540
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/vj6s7kx9
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/pcn/pcn_tndp.py:236: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=123, cd_threshold=0.2, project_name='cl_ablation', experiment_name='PCN-xian-g5', wandb_entity=None)
step 6303 	 return [0.00463066 0.00693334 0.00397345 0.00483185 0.00232683], ([0.00292533 0.0023962  0.00156968 0.00493303 0.00245706]) 	 loss 6.717E-01 	 horizons 19.0
step 6493 	 return [0.0008989  0.00792073 0.00830248 0.00828825 0.00646335], ([0.00148279 0.0025696  0.00286732 0.00281951 0.00387975]) 	 loss 6.816E-01 	 horizons 19.0
step 6683 	 return [0.00045061 0.00551034 0.00871936 0.00695015 0.00419679], ([0.00071323 0.00392745 0.00108701 0.0039652  0.00123148]) 	 loss 6.530E-01 	 horizons 19.0
step 6873 	 return [0.00720525 0.00537578 0.00371232 0.00067324 0.00174222], ([0.00251976 0.00203913 0.00259717 0.00135274 0.0038161 ]) 	 loss 6.265E-01 	 horizons 19.0
step 7063 	 return [0.00711767 0.0053748  0.00260837 0.00213103 0.00074774], ([0.00301211 0.001535   0.00101704 0.00439162 0.00207613]) 	 loss 6.314E-01 	 horizons 19.0
step 7253 	 return [0.00175772 0.00599474 0.00692979 0.00893512 0.00536712], ([0.00227624 0.0032143  0.00263941 0.00538833 0.00216436]) 	 loss 5.889E-01 	 horizons 19.0
step 7443 	 return [0.00138    0.00928983 0.00623946 0.00879739 0.00476802], ([0.00142411 0.00173741 0.00219784 0.00222335 0.00225513]) 	 loss 6.216E-01 	 horizons 19.0
step 7633 	 return [0.00160293 0.00489042 0.0069963  0.00768392 0.00757091], ([0.00162452 0.0015973  0.00241145 0.00251292 0.00370388]) 	 loss 6.103E-01 	 horizons 19.0
step 7823 	 return [0.00419233 0.00559176 0.00609971 0.00647126 0.00467375], ([0.00334099 0.00138876 0.00203419 0.00315564 0.00404334]) 	 loss 5.689E-01 	 horizons 19.0
step 8013 	 return [0.00260978 0.0059647  0.00728379 0.00749964 0.00892713], ([0.00228494 0.00141791 0.00279871 0.00443004 0.00413566]) 	 loss 5.961E-01 	 horizons 19.0
step 8203 	 return [0.00092883 0.0061146  0.00598697 0.00965386 0.00789995], ([0.00168459 0.0019701  0.00196817 0.00198824 0.00182562]) 	 loss 6.023E-01 	 horizons 19.0
step 8393 	 return [8.5535292e-03 5.2022380e-03 3.4163937e-03 5.0167285e-04 2.5923951e-05], ([1.9718104e-03 9.7565749e-04 6.6203496e-04 6.8104477e-04 7.7771860e-05]) 	 loss 5.818E-01 	 horizons 19.0
step 8583 	 return [7.8244805e-03 4.8712101e-03 2.7974278e-03 6.3809624e-04 2.5923951e-05], ([1.811870e-03 8.017444e-04 8.596523e-04 7.235003e-04 7.777186e-05]) 	 loss 5.011E-01 	 horizons 19.0
step 8773 	 return [0.0002135  0.00851514 0.0087407  0.00985396 0.00793742], ([0.00033337 0.00221402 0.00195858 0.00320893 0.00212976]) 	 loss 5.264E-01 	 horizons 19.0
step 8963 	 return [0.00232258 0.00780248 0.00614023 0.00815863 0.0051118 ], ([0.00200914 0.00221607 0.00194015 0.00410223 0.00213711]) 	 loss 5.379E-01 	 horizons 19.0
step 9153 	 return [0.00322232 0.00631178 0.00505474 0.01000562 0.00683071], ([0.00214274 0.00229248 0.00195303 0.00359517 0.0028699 ]) 	 loss 4.830E-01 	 horizons 19.0
step 9343 	 return [0.00030407 0.01147449 0.01005588 0.01082793 0.00758387], ([0.00087685 0.00238997 0.00260664 0.0035468  0.00321616]) 	 loss 4.733E-01 	 horizons 19.0
step 9533 	 return [0.00285563 0.00606411 0.00681117 0.00966839 0.00720994], ([0.00196415 0.00223725 0.00232229 0.00382788 0.00329534]) 	 loss 4.639E-01 	 horizons 19.0
step 9723 	 return [0.00340358 0.0057925  0.00497806 0.00958683 0.00548582], ([0.00175891 0.00101412 0.00106429 0.00489349 0.00384716]) 	 loss 4.740E-01 	 horizons 19.0
step 9913 	 return [0.00333992 0.00663029 0.00669386 0.0093257  0.00631031], ([0.00239668 0.0020749  0.00195251 0.00411886 0.00345677]) 	 loss 4.786E-01 	 horizons 19.0
step 10103 	 return [0.00223842 0.00622273 0.00871314 0.00743696 0.00489438], ([0.0024559  0.0033213  0.00274623 0.00418755 0.00219002]) 	 loss 4.665E-01 	 horizons 19.0
step 10293 	 return [0.00482437 0.00594805 0.00600547 0.01148837 0.00703482], ([0.00134829 0.00142896 0.00172615 0.00489201 0.00313196]) 	 loss 4.432E-01 	 horizons 19.0
step 10483 	 return [0.00269473 0.00626675 0.00523669 0.01135403 0.00834184], ([0.00150318 0.00161339 0.00148217 0.00209829 0.00221073]) 	 loss 4.661E-01 	 horizons 19.0
step 10673 	 return [0.00127262 0.0060376  0.00677502 0.00987704 0.00829452], ([0.00164933 0.00155153 0.00187927 0.00408689 0.00218651]) 	 loss 4.305E-01 	 horizons 19.0
step 10863 	 return [0.00158542 0.00865996 0.00949601 0.01137969 0.00797758], ([0.00213322 0.00329392 0.00177491 0.00496636 0.00306806]) 	 loss 5.038E-01 	 horizons 19.0
