step 5902 	 return [0.0015807  0.00271792 0.00605042 0.00870834 0.00577408], ([0.00200034 0.00105657 0.00127826 0.00387116 0.002353  ]) 	 loss 7.672E-01 	 horizons 19.0
step 6092 	 return [0.0016564  0.00618867 0.00475445 0.00837081 0.00352404], ([0.00170651 0.00242426 0.00206345 0.00440296 0.00149457]) 	 loss 7.592E-01 	 horizons 19.0
step 6282 	 return [0.00591068 0.00353964 0.00435183 0.00360805 0.00162553], ([0.00283023 0.00105325 0.00262151 0.00342565 0.0017866 ]) 	 loss 7.499E-01 	 horizons 19.0
step 6472 	 return [0.00299336 0.00251653 0.00530608 0.00561447 0.00381078], ([0.00276503 0.00114241 0.00269189 0.00408447 0.00291835]) 	 loss 7.260E-01 	 horizons 19.0
step 6662 	 return [0.0027285  0.00261533 0.00598796 0.01002606 0.00584332], ([0.00142823 0.00112877 0.00114338 0.00372236 0.00290791]) 	 loss 7.388E-01 	 horizons 19.0
step 6852 	 return [0.00267703 0.0028604  0.0055089  0.01012674 0.00545497], ([0.00137409 0.00116495 0.00122583 0.00189345 0.00218642]) 	 loss 7.327E-01 	 horizons 19.0
step 7042 	 return [0.00314645 0.00338056 0.00469336 0.00960614 0.00408646], ([0.0013031  0.00165752 0.00154066 0.00399566 0.00296964]) 	 loss 7.403E-01 	 horizons 19.0
step 7232 	 return [0.00505616 0.00293534 0.00469302 0.00476071 0.00344753], ([0.0023793  0.00110494 0.00112876 0.00351177 0.00263118]) 	 loss 7.042E-01 	 horizons 19.0
step 7422 	 return [0.00162585 0.00376444 0.00637098 0.00928342 0.00476853], ([0.00140873 0.00119159 0.00199291 0.00314713 0.00253817]) 	 loss 6.970E-01 	 horizons 19.0
step 7612 	 return [0.00472441 0.00500495 0.00577183 0.00503409 0.00283415], ([0.00214318 0.00181541 0.00192943 0.00318145 0.00296538]) 	 loss 6.894E-01 	 horizons 19.0
