step 6573 	 return [0.00534457 0.00711685 0.00719658], ([0.00144614 0.0017833  0.00259541]) 	 loss 7.647E-01 	 horizons 19.0
step 6763 	 return [0.00493379 0.00593713 0.0048813 ], ([0.00207595 0.00163817 0.00123818]) 	 loss 7.716E-01 	 horizons 19.0
step 6953 	 return [0.00612027 0.00659455 0.00528855], ([0.00054984 0.00256402 0.00215539]) 	 loss 7.891E-01 	 horizons 19.0
step 7143 	 return [0.0045961  0.00668671 0.00509923], ([0.0023137  0.00292012 0.00302632]) 	 loss 7.627E-01 	 horizons 19.0
step 7333 	 return [0.00606756 0.00761515 0.00588183], ([0.00205027 0.00342232 0.00243131]) 	 loss 7.617E-01 	 horizons 19.0
step 7523 	 return [0.00476608 0.00795416 0.00585538], ([0.00210244 0.00157587 0.00166698]) 	 loss 7.716E-01 	 horizons 19.0
step 7713 	 return [0.00472679 0.00638856 0.00791867], ([0.00155299 0.00128733 0.00255111]) 	 loss 7.661E-01 	 horizons 19.0
step 7903 	 return [0.00441486 0.00728374 0.00683516], ([0.00198845 0.00181821 0.00196047]) 	 loss 7.575E-01 	 horizons 19.0
step 8093 	 return [0.00503916 0.00810788 0.00640186], ([0.00127759 0.00298214 0.00177273]) 	 loss 7.555E-01 	 horizons 19.0
step 8283 	 return [0.00551489 0.00924013 0.00554701], ([0.00205144 0.0011998  0.00152773]) 	 loss 7.520E-01 	 horizons 19.0
step 8473 	 return [0.00479274 0.00783465 0.00675106], ([0.00151284 0.00233028 0.00268636]) 	 loss 7.238E-01 	 horizons 19.0
step 8663 	 return [0.00631868 0.00750356 0.00709456], ([0.00121706 0.00191155 0.00231178]) 	 loss 7.243E-01 	 horizons 19.0
step 8853 	 return [0.0067462  0.00791302 0.00571232], ([0.00141872 0.00160732 0.00169199]) 	 loss 7.352E-01 	 horizons 19.0
step 9043 	 return [0.00624837 0.00970493 0.00702786], ([0.00254981 0.00216652 0.00167862]) 	 loss 7.310E-01 	 horizons 19.0
step 9233 	 return [0.0062093  0.0066778  0.00516219], ([0.00100142 0.00278605 0.00349712]) 	 loss 7.432E-01 	 horizons 19.0
step 9423 	 return [0.00555349 0.00721887 0.00687956], ([0.00112006 0.00212224 0.0015112 ]) 	 loss 7.216E-01 	 horizons 19.0
step 9613 	 return [0.00498354 0.00852615 0.00721523], ([0.00166293 0.00154259 0.00102199]) 	 loss 7.039E-01 	 horizons 19.0
step 9803 	 return [0.00537692 0.00927298 0.00724592], ([0.00177947 0.00168252 0.00144004]) 	 loss 6.914E-01 	 horizons 19.0
step 9993 	 return [0.00506844 0.00847221 0.00818974], ([0.00122056 0.00173651 0.00237008]) 	 loss 6.885E-01 	 horizons 19.0
step 10183 	 return [0.00592418 0.00970978 0.00786939], ([0.00203142 0.001386   0.00222949]) 	 loss 7.189E-01 	 horizons 19.0
step 10373 	 return [0.0061081  0.00692853 0.00515151], ([0.00050332 0.00341911 0.00371632]) 	 loss 6.658E-01 	 horizons 19.0
step 10563 	 return [0.00526554 0.00921978 0.00685737], ([0.0013476  0.0015241  0.00096911]) 	 loss 6.797E-01 	 horizons 19.0
step 10753 	 return [0.00599858 0.00927202 0.00649605], ([0.00202267 0.00207902 0.00140529]) 	 loss 6.675E-01 	 horizons 19.0
step 10943 	 return [0.00698369 0.00868994 0.00751548], ([0.00142945 0.00199202 0.00154626]) 	 loss 6.648E-01 	 horizons 19.0
step 11133 	 return [0.00608322 0.00877077 0.00828576], ([0.00175031 0.00145056 0.00173706]) 	 loss 6.234E-01 	 horizons 19.0
step 11323 	 return [0.00558419 0.00919488 0.00691788], ([0.00153389 0.00160939 0.00133972]) 	 loss 6.583E-01 	 horizons 19.0
step 11513 	 return [0.00550742 0.00895092 0.00725344], ([0.00169425 0.00178513 0.0013926 ]) 	 loss 6.748E-01 	 horizons 19.0
step 11703 	 return [0.00729972 0.00958105 0.00792805], ([0.00258893 0.00098931 0.00102778]) 	 loss 6.344E-01 	 horizons 19.0
step 11893 	 return [0.00634357 0.00819216 0.00826861], ([0.00171958 0.00142638 0.00243333]) 	 loss 6.116E-01 	 horizons 19.0
step 12083 	 return [0.00617181 0.0089903  0.00850557], ([0.00216921 0.00218605 0.0012167 ]) 	 loss 6.297E-01 	 horizons 19.0
step 12273 	 return [0.0064536  0.00970721 0.00770336], ([0.0019088  0.00087653 0.0008382 ]) 	 loss 6.146E-01 	 horizons 19.0
step 12463 	 return [0.00808654 0.00876581 0.00791182], ([0.00217834 0.00102585 0.00083376]) 	 loss 5.894E-01 	 horizons 19.0
step 12653 	 return [0.00844275 0.00917821 0.00689928], ([0.00198471 0.00132921 0.00167277]) 	 loss 5.774E-01 	 horizons 19.0
step 12843 	 return [0.00668799 0.0094833  0.00803947], ([0.0016288  0.00193154 0.00156458]) 	 loss 5.897E-01 	 horizons 19.0
step 13033 	 return [0.00664802 0.0091139  0.00717359], ([0.0016696  0.00210099 0.00234227]) 	 loss 5.940E-01 	 horizons 19.0
step 13223 	 return [0.00826166 0.00869723 0.00741814], ([0.0020665  0.00081216 0.00110243]) 	 loss 5.537E-01 	 horizons 19.0
step 13413 	 return [0.00739877 0.00938252 0.00741593], ([0.0021298  0.00143565 0.00158612]) 	 loss 5.586E-01 	 horizons 19.0
step 13603 	 return [0.00838938 0.00970664 0.00806374], ([0.00187413 0.00145369 0.00199833]) 	 loss 5.319E-01 	 horizons 19.0
