step 5888 	 return [0.00378922 0.00598389 0.00622982 0.00275752 0.0042818 ], ([0.00363431 0.00265644 0.00336113 0.00238868 0.0035301 ]) 	 loss 7.960E-01 	 horizons 19.0
step 6078 	 return [0.00130552 0.00333915 0.00805456 0.00609515 0.00845552], ([0.00132399 0.00171708 0.00362029 0.00297768 0.0030826 ]) 	 loss 8.004E-01 	 horizons 19.0
step 6268 	 return [0.00551597 0.0075094  0.00621071 0.00373841 0.00126985], ([0.00371663 0.00435677 0.00328382 0.0025593  0.00231926]) 	 loss 7.955E-01 	 horizons 19.0
step 6458 	 return [0.0005474  0.00354107 0.00785904 0.00566199 0.00583905], ([0.00098967 0.00206666 0.00354282 0.00213226 0.00305754]) 	 loss 7.779E-01 	 horizons 19.0
step 6648 	 return [0.0012898  0.00284994 0.00665382 0.00404075 0.00615003], ([0.00136329 0.00200691 0.00275151 0.00188389 0.00261401]) 	 loss 7.946E-01 	 horizons 19.0
step 6838 	 return [0.00138527 0.00424027 0.01017673 0.00466061 0.00585024], ([0.00141258 0.00197959 0.00257312 0.00274348 0.00306704]) 	 loss 7.578E-01 	 horizons 19.0
step 7028 	 return [0.00250765 0.00574879 0.00657374 0.00370578 0.00598421], ([0.00155218 0.00262008 0.00290048 0.00207739 0.0031367 ]) 	 loss 7.709E-01 	 horizons 19.0
step 7218 	 return [0.00149662 0.00570487 0.00740071 0.00479907 0.00533669], ([0.00146234 0.00184709 0.0033221  0.00202836 0.00310985]) 	 loss 7.307E-01 	 horizons 19.0
step 7408 	 return [0.00220862 0.00483222 0.00797643 0.00557733 0.00591109], ([0.00132733 0.00212744 0.00300597 0.00247181 0.00328085]) 	 loss 7.441E-01 	 horizons 19.0
step 7598 	 return [0.00259931 0.00494732 0.00919799 0.00355344 0.00590324], ([0.00188022 0.00189754 0.00400288 0.00207385 0.00269297]) 	 loss 7.681E-01 	 horizons 19.0
step 7788 	 return [0.00164839 0.00417504 0.00909656 0.00514872 0.008959  ], ([0.00135813 0.00167875 0.00191488 0.00404609 0.00280277]) 	 loss 7.303E-01 	 horizons 19.0
step 7978 	 return [0.00223697 0.0046425  0.00863171 0.00448754 0.00715606], ([0.00083054 0.00318323 0.00423133 0.001772   0.00177771]) 	 loss 7.307E-01 	 horizons 19.0
step 8168 	 return [0.00285639 0.00648389 0.00803308 0.0038772  0.00717249], ([0.0003297  0.00243403 0.00257359 0.00240629 0.0027914 ]) 	 loss 7.098E-01 	 horizons 19.0
step 8358 	 return [0.00266375 0.00481847 0.00914727 0.00487784 0.00743019], ([0.00108987 0.00119017 0.00230182 0.00152384 0.00225982]) 	 loss 7.073E-01 	 horizons 19.0
step 8548 	 return [0.00206316 0.00516549 0.0094061  0.00489139 0.00625971], ([0.00121133 0.00177239 0.00290268 0.00287004 0.00278018]) 	 loss 7.160E-01 	 horizons 19.0
step 8738 	 return [0.00268337 0.00578295 0.01099451 0.00376133 0.00829116], ([0.0011045  0.00152976 0.00194457 0.00179033 0.00239035]) 	 loss 6.995E-01 	 horizons 19.0
step 8928 	 return [0.00286695 0.0066039  0.01092844 0.0053637  0.00551004], ([0.00119803 0.00168441 0.00321293 0.00194607 0.00287646]) 	 loss 6.647E-01 	 horizons 19.0
step 9118 	 return [0.00295726 0.0067089  0.00952351 0.00476246 0.00930573], ([0.00024224 0.00176085 0.00306271 0.00240686 0.00190045]) 	 loss 6.533E-01 	 horizons 19.0
step 9308 	 return [0.00338916 0.0062909  0.0106644  0.0048665  0.00792925], ([0.00075845 0.00191412 0.00123413 0.00267124 0.00198426]) 	 loss 6.421E-01 	 horizons 19.0
step 9498 	 return [0.00279266 0.00475608 0.00896919 0.00573293 0.00776957], ([0.00114202 0.00080588 0.00237904 0.00218946 0.00180915]) 	 loss 6.184E-01 	 horizons 19.0
step 9688 	 return [0.00543425 0.0094232  0.00883237 0.00255994 0.00450936], ([0.00341219 0.00253449 0.0038406  0.00218911 0.00279807]) 	 loss 6.030E-01 	 horizons 19.0
step 9878 	 return [0.0041636  0.01073312 0.00715728 0.00270778 0.00422426], ([0.00296602 0.00271781 0.00316855 0.00123805 0.00281432]) 	 loss 5.782E-01 	 horizons 19.0
step 10068 	 return [0.00357387 0.01055884 0.00911777 0.00413681 0.0056877 ], ([0.00175633 0.00143103 0.00251037 0.00246336 0.0027643 ]) 	 loss 5.449E-01 	 horizons 19.0
step 10258 	 return [0.00328121 0.00508018 0.00869459 0.0061905  0.00840573], ([0.00084168 0.00159938 0.00258724 0.00291837 0.00185432]) 	 loss 5.467E-01 	 horizons 19.0
step 10448 	 return [0.00507416 0.01059397 0.00993324 0.00353315 0.00538672], ([0.0031982  0.00084976 0.00329179 0.00168732 0.00193021]) 	 loss 5.248E-01 	 horizons 19.0
step 10638 	 return [0.00247647 0.00509197 0.01039876 0.00487814 0.00891864], ([0.00083107 0.00139372 0.00186323 0.00185323 0.0027413 ]) 	 loss 5.432E-01 	 horizons 19.0
step 10828 	 return [0.00348779 0.00866971 0.0093258  0.0035569  0.0065122 ], ([0.0010596  0.00144856 0.00338101 0.00273295 0.00341836]) 	 loss 5.081E-01 	 horizons 19.0
